Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1993,21.535,-13.744,7.790999,-4.819,2.972,-3.449,0,0.327,-0.15,0.0,-0.15,18.339001,0,18.188999,0,18.188999,,-0.15,,-0.02,0.16,112.199997,,,,,
06/30/1993,35.084,-21.829,13.254999,-5.011,8.244,-2.811,0,0.22,5.653,-1.725,3.928,123.652999,0,127.581001,0,127.581001,,3.928,,0.04,1.14,112.199997,,,,,
09/30/1993,83.154999,-53.695999,29.459,-10.326,19.132999,-2.249,0,0.508,17.391999,-8.145,9.247,0.0,0,9.247,0,9.247,,9.246999,,0.08,0.08,112.199997,,,,,
12/31/1993,93.914001,-58.252998,35.661003,-14.456,21.205,-3.245,0,0.182,18.142,-3.499,14.643,0.0,0,14.643,0,14.643,,14.643,,-0.14,,,,,,,
03/31/1994,84.279999,-53.977001,30.302998,-8.731,21.572001,-2.69,0,0.136,19.018,-5.666,13.352,0.0,0,13.352,0,13.352,,13.352001,,0.12,0.12,112.199997,,,,,
06/30/1994,93.482002,-60.577,32.905003,-12.029,20.875999,-3.128,0,1.192,18.939999,-4.644,14.296,0.0,0,14.296,0,14.296,,14.295999,,0.12,0.12,115.454002,,,,,
09/30/1994,95.935997,-62.716999,33.218998,-13.396,19.823,-1.508,0,0.36,18.675,-5.543,13.132,0.0,0,13.132,0,13.132,,13.132,,0.1,0.1,131.356003,,,,,
12/31/1994,101.905998,-68.110001,33.795997,-12.586,21.209999,-1.439,0,0.292,20.062999,-4.142,15.921,0.0,0,15.921,0,15.921,,15.920999,0.12,0.12,0.12,131.356003,0.12,0.12,0.12,131.356003,
03/31/1995,84.711998,-56.377998,28.334,-9.764,18.57,-1.626,0,0.267,17.211,-4.901,12.31,0.0,0,12.31,0,12.31,,12.31,,0.09,0.09,131.356003,,,,,
06/30/1995,85.366997,-56.235001,29.131996,-12.305,16.827,-1.794,0,0.693,15.726,-4.48,11.246,0.0,0,11.246,0,11.246,,11.246,,0.09,0.09,131.356003,,,,,
09/30/1995,87.985001,-58.541,29.444,-13.929,15.515,-3.694,0,1.38,13.201,-4.488,8.713,0.0,0,8.713,0,8.713,,8.713,,0.07,0.07,131.449005,,,,,
12/31/1995,92.309998,-63.285999,29.023999,-15.867,13.157,-3.57,0,0.919,10.506,-2.963,7.543,0.0,0,7.543,0,7.543,,7.543,0.06,0.06,0.06,131.449005,0.06,0.06,0.06,131.449005,
03/31/1996,83.306999,-59.585999,23.721001,-12.076,11.645,-3.391,0,0.521,8.775,-2.547,6.228,0.0,0,6.228,0,6.228,,6.228001,0.05,0.05,0.05,131.455994,,,,,
06/30/1996,81.246002,-60.214001,21.032001,-11.68,9.352,-2.688,0,1.567,8.231,-2.387,5.844,0.0,0,5.844,0,5.844,,5.844,0.04,0.04,0.04,131.468002,,,,,
09/30/1996,77.372002,-57.178001,20.194,-11.937,8.257,-3.549,0,0.223,4.931,-1.429,3.502,0.0,0,3.502,0,3.502,,3.502,0.03,0.03,0.03,131.468994,,,,,
12/31/1996,101.264,-68.703003,32.560997,-13.634,18.927,-5.004,0,-6.035,7.888,-2.394,5.494,0.0,0,5.494,0,5.494,5.367,10.861,0.08,0.04,0.04,131.462006,,,,,
