Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/2014,203.6,92.8,29.8,12.6,0.9,29.0,-17.3,68.6,10.9,-12.3,70.0,,-163.8,-128.5,4.9,4.9,0,-133.4,-133.4,0,0,0,0,0,0,0,0,-35.3,-39.9,0.0,-39.9,-211.5,171.6,0.0,0.0,0.0,0.0,0.0,0,-0.1,19.2,0.3,
06/30/2014,133.8,59.1,28.8,-6.6,0.8,18.6,-26.0,52.8,-17.0,18.9,50.9,,-189.7,-163.2,0.0,0.0,0,-163.2,-163.2,0,0,0,0,0,0,0,0,-26.5,55.7,0.0,55.7,-101.1,156.8,0.0,0.0,0.0,0.0,0.0,0,-0.2,15.2,21.1,
09/30/2014,108.1,53.6,29.3,58.0,2.7,31.2,24.1,-32.6,24.1,-1.1,-55.6,,-264.1,-229.8,1.0,1.0,0,-230.8,-230.8,0,0,0,0,0,0,0,0,-34.3,156.3,0.0,156.3,-66.3,222.6,0.0,0.0,0.0,0.0,0.0,0,0.3,12.5,33.6,
12/31/2014,119.3,62.6,30.9,36.3,1.9,63.8,-29.4,-10.4,-41.9,9.7,21.8,,-242.5,-216.4,3.4,3.4,0,-219.8,-219.8,0,0,0,0,0,0,0,0,-26.1,123.3,0.0,129.7,-88.2,217.9,0.0,0.0,0.0,0.0,-6.4,0,0.1,-25.7,,
03/31/2015,163.8,90.0,32.5,47.5,2.1,36.1,9.3,-6.2,27.4,-24.2,-9.4,0.0,-852.8,-153.7,10.2,10.2,0,-163.9,-163.9,0,0,0,0,0,0,0,0,-699.1,695.8,0.0,27.4,-232.1,1217.3,-957.8,1168.4,1168.4,0.0,-500.0,0,6.8,9.4,15.6,
06/30/2015,103.0,50.8,33.9,-1.1,1.8,-4.2,1.3,19.2,-11.8,-0.4,31.4,,-113.0,-299.2,7.1,7.1,0,-306.3,-306.3,0,0,0,0,0,0,0,0,186.2,139.5,0.0,1616.1,718.4,2745.9,-1848.2,0.0,0.0,0.0,-1476.6,0,129.5,18.4,24.1,
09/30/2015,147.4,63.0,35.0,23.4,0.5,45.8,-22.9,25.9,20.7,-8.4,13.6,,323.2,-326.8,36.0,36.0,0,-362.8,-362.8,0,0,0,0,0,0,0,0,650.0,-543.6,-39.7,-493.8,-493.8,0.0,0.0,0.0,0.0,0.0,-10.1,0,-73.0,3.0,2.2,
12/31/2015,79.3,63.4,38.5,36.4,5.0,54.2,-22.8,-62.7,-19.0,-25.6,-18.1,,-326.0,-323.7,24.3,24.3,0,-348.0,-348.0,0,0,0,0,0,0,0,0,-2.3,1113.8,-39.8,-231.8,-230.0,0.0,-1.8,1394.7,1394.7,0.0,-9.3,0,867.1,1.5,55.0,
03/31/2016,170.3,72.2,40.4,58.7,6.2,40.6,11.9,-1.1,-6.6,-4.4,9.9,,-392.6,-388.9,0.0,0.0,0,-388.9,-388.9,0,0,0,0,0,0,0,0,-3.7,-67.7,-51.5,0.0,0.0,0.0,0.0,-6.0,0.0,-6.0,-10.2,0,-290.0,1.1,6.2,
06/30/2016,98.5,38.9,41.2,-7.5,4.3,21.1,-32.9,25.9,1.3,13.9,10.7,,-285.9,-284.8,0.1,0.1,0,-284.9,-284.9,0,0,0,0,0,0,0,0,-1.1,-79.0,-53.5,-15.0,-15.0,0.0,0.0,-0.2,0.0,-0.2,-10.3,0,-266.4,0.9,49.8,
09/30/2016,-15.8,-52.5,43.6,17.4,-8.9,19.8,6.5,-21.8,-34.5,20.5,-7.8,,-408.2,-412.2,9.8,9.8,0,-422.0,-422.0,0,0,0,0,0,0,0,0,4.0,182.1,-0.1,250.0,250.0,0.0,0.0,0.1,0.1,0.0,-67.9,0,-241.9,1.6,,
12/31/2016,107.2,58.2,47.6,54.5,0.1,47.9,6.5,-52.6,-55.2,-10.6,13.2,,-341.4,-341.8,0.5,0.5,0,-342.3,-342.3,0,0,0,0,0,0,0,0,0.4,181.5,0.0,-250.0,-250.0,0.0,0.0,500.0,500.0,0.0,-68.5,0,-52.7,0.5,56.2,
