Date,Total Interest Income,Total Interest Expense,Net Interest Income,Trading Account Profit,Commissions & Fees Earned,Other Operating Income,Net Revenue,Provisions for Loan Losses,Net Revenue After Provisions,Non-Interest Expense,Operating Income or Losses,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1994,1314.0,-602.0,712.0,0.0,0.0,624.0,1336.0,-65.0,1271.0,-815.0,456.0,0.0,456.0,-155.0,301.0,0.0,0.0,301.0,-14.0,287.0,,,287.0,,0.9,0.9,318.888,0.9,0.9,0.9,318.888,
06/30/1994,1461.0,-722.0,739.0,0.0,0.0,558.0,1297.0,-52.0,1245.0,-788.0,457.0,0.0,457.0,-153.0,304.0,0.0,0.0,304.0,-14.0,290.0,,,290.0,,0.89,0.89,329.545013,0.89,0.89,0.89,329.545013,
09/30/1994,1607.0,-858.0,749.0,65.0,505.0,19.0,1338.0,-63.0,1275.0,-811.0,464.0,0.0,464.0,-163.0,301.0,0.0,0.0,301.0,-10.0,291.0,,,291.0,,0.89,0.89,326.966003,0.89,0.89,0.89,326.966003,
12/31/1994,1754.0,-998.0,756.0,88.0,510.0,24.0,1378.0,-96.0,1282.0,-806.0,476.0,0.0,476.0,-161.0,315.0,0.0,0.0,315.0,-10.0,305.0,,,305.0,,0.94,0.94,323.700012,0.94,0.94,0.94,323.700012,
03/31/1995,1959.0,-1165.0,794.0,111.0,471.0,21.0,1397.0,-85.0,1312.0,-799.0,513.0,0.0,513.0,-177.0,336.0,0.0,0.0,336.0,-10.0,326.0,,,326.0,,1.01,1.01,324.100006,1.01,1.01,1.01,324.100006,
06/30/1995,2011.0,-1227.0,784.0,82.0,508.0,41.0,1415.0,-90.0,1325.0,-821.0,504.0,0.0,504.0,-173.0,331.0,0.0,0.0,331.0,-10.0,321.0,,,321.0,,0.99,0.99,322.799988,0.99,0.99,0.99,322.799988,
09/30/1995,2054.0,-1258.0,796.0,153.0,529.0,20.0,1498.0,-125.0,1373.0,-827.0,546.0,0.0,546.0,-189.0,357.0,0.0,0.0,357.0,-10.0,347.0,,,347.0,,1.07,1.07,324.399994,1.07,1.07,1.07,324.399994,
12/31/1995,2066.0,-1232.0,834.0,101.0,532.0,22.0,1489.0,-210.0,1279.0,-821.0,458.0,-267.0,191.0,-65.0,126.0,0.0,0.0,126.0,-7.0,119.0,,,119.0,0.37,0.37,0.37,320.0,0.37,0.37,0.37,320.0,
03/31/1996,1992.0,-1107.0,885.0,107.0,496.0,23.0,1511.0,-175.0,1336.0,-828.0,508.0,0.0,508.0,-168.0,340.0,0.0,0.0,340.0,-8.0,332.0,0.0,0.0,332.0,1.05,1.05,1.05,316.190002,1.03,1.03,1.03,319.200012,
06/30/1996,1922.0,-1012.0,910.0,110.0,513.0,20.0,1553.0,-185.0,1368.0,-814.0,554.0,0.0,554.0,-193.0,361.0,0.0,0.0,361.0,-8.0,353.0,0.0,0.0,353.0,1.11,1.11,1.11,318.018005,1.09,1.09,1.09,320.200012,
09/30/1996,1908.0,-966.0,942.0,40.0,529.0,28.0,1539.0,-185.0,1354.0,-798.0,556.0,-18.0,538.0,-180.0,358.0,0.0,0.0,358.0,-8.0,350.0,18.0,-7.0,361.0,1.13,1.1,1.1,318.182007,1.11,1.08,1.08,320.200012,
12/31/1996,1747.0,-864.0,883.0,91.0,579.0,12.0,1565.0,-190.0,1375.0,-813.0,562.0,0.0,562.0,-185.0,377.0,0.0,0.0,377.0,-7.0,370.0,0.0,0.0,370.0,1.17,1.17,1.17,317.200012,1.14,1.14,1.14,327.299988,
03/31/1997,1734.0,-858.0,876.0,107.0,552.0,20.0,1555.0,-187.0,1368.0,-800.0,568.0,0.0,568.0,-188.0,380.0,0.0,0.0,380.0,-7.0,373.0,0.0,0.0,373.0,1.19,1.19,1.19,312.123993,1.17,1.17,1.17,320.792999,
06/30/1997,1860.0,-935.0,925.0,86.0,533.0,25.0,1569.0,-180.0,1389.0,-825.0,564.0,0.0,564.0,-186.0,378.0,0.0,0.0,378.0,-5.0,373.0,0.0,0.0,373.0,1.22,1.22,1.22,306.753998,1.2,1.2,1.2,310.928986,
09/30/1997,1881.0,-982.0,899.0,68.0,570.0,63.0,1600.0,-191.0,1409.0,-835.0,574.0,0.0,574.0,-189.0,385.0,0.0,0.0,385.0,-5.0,380.0,0.0,0.0,380.0,1.28,1.28,1.28,296.875,1.26,1.26,1.26,301.600006,
12/31/1997,1872.0,-1000.0,872.0,45.0,592.0,90.0,1599.0,-167.0,1432.0,-872.0,560.0,0.0,560.0,-178.0,382.0,0.0,0.0,382.0,-4.0,378.0,0.0,0.0,378.0,1.3,1.3,1.3,290.299988,1.28,1.28,1.28,295.200012,
03/31/1998,1864.0,-1003.0,861.0,114.0,591.0,34.0,1600.0,-179.0,1421.0,-848.0,573.0,0.0,573.0,-190.0,383.0,0.0,0.0,383.0,-2.0,381.0,0.0,0.0,381.0,1.32,1.32,1.32,288.126007,1.3,1.3,1.3,293.039001,
06/30/1998,1911.0,-1027.0,884.0,145.0,625.0,72.0,1726.0,-206.0,1520.0,-911.0,609.0,0.0,609.0,-201.0,408.0,0.0,0.0,408.0,-4.0,404.0,0.0,0.0,404.0,1.41,1.41,1.41,287.444,1.38,1.38,1.38,292.580994,
09/30/1998,,,,,,,,,,,,,,,,,,,,,,,,1.33,,,,1.33,,,,
