Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
03/31/2012,-20,-58,51,3,,3,-16,1,-13,0.0,-4,0.0,35,-23,0,0.0,0.0,-23,-23,0,58,58,0,0,0,0,0,0,-1,0,-1,0.0,0.0,-1.0,0,0.0,0.0,0,0.0,14,
06/30/2012,-86,-69,45,-27,-7.0,-20,-35,-15,14,0.0,-34,0.0,392,-14,0,0.0,0.0,-14,-14,0,-3,0,-3,256,0,256,0,153,-6,0,-6,0.0,0.0,-6.0,0,0.0,0.0,0,,300,
09/30/2012,69,-41,101,-53,-2.0,-51,62,23,6,0.0,33,0.0,-127,-26,0,0.0,0.0,-26,-26,0,49,49,0,0,0,0,0,-150,23,0,-4,0.0,0.0,-4.0,0,0.0,0.0,27,,-35,
12/31/2012,-44,-107,86,-71,,-71,48,0,1,0.0,47,,265,-46,0,0.0,0.0,-46,-46,0,311,311,0,0,0,0,0,0,-328,0,-328,0.0,0.0,-328.0,0,0.0,0.0,0,0.0,-107,
03/31/2013,-7,-142,113,28,,28,-6,22,8,0.0,-36,,-6,-20,0,0.0,0.0,-20,-20,0,13,13,0,0,0,0,0,1,-31,0,-28,0.0,0.0,-28.0,0,0.0,0.0,-3,0.0,-44,
06/30/2013,-3,-145,117,-4,,-4,29,-19,17,0.0,31,,289,-35,0,0.0,0.0,-35,-35,0,-13,0,-13,0,0,0,0,337,-129,0,-132,0.0,1753.0,-1885.0,0,0.0,0.0,3,,157,
09/30/2013,142,22,116,-4,-18.0,14,8,13,1,0.0,-6,,-12,-12,0,0.0,0.0,-12,-12,0,335,335,0,0,0,0,0,-335,-2,0,-2,0.0,0.0,-2.0,0,0.0,0.0,0,,128,
12/31/2013,43,-91,121,-24,-38.0,14,37,-91,-2,0.0,130,,203,-31,0,0.0,0.0,-31,-31,0,0,13,-13,0,0,0,0,234,8,0,13,0.0,15.0,-2.0,0,0.0,0.0,-5,,254,
03/31/2014,166,-41,83,77,2.0,75,47,23,0,0.0,24,0.0,-17,-17,0,0.0,0.0,-17,-17,0,0,0,0,0,0,0,0,0,4,0,9,0.0,11.0,-2.0,0,0.0,0.0,-5,0.0,153,
06/30/2014,-3,-123,76,60,-3.0,63,-16,40,-18,0.0,-38,0.0,-38,-52,0,0.0,0.0,-52,-52,0,0,0,0,0,0,0,0,14,-7,0,-2,0.0,0.0,-2.0,0,0.0,0.0,-5,,-48,
09/30/2014,113,-5,64,-11,,-11,65,124,19,0.0,-78,0.0,-22,-25,0,0.0,0.0,-25,-25,0,0,0,0,0,0,0,0,3,-7,0,-3,0.0,0.0,-3.0,0,0.0,0.0,-4,,84,
12/31/2014,-113,-104,69,-14,,-14,-64,-26,-21,0.0,-17,0.0,-5185,-38,0,0.0,0.0,-38,-38,0,0,0,0,0,0,0,0,1,6136,0,5037,0.0,5045.0,-8.0,1106,1106.0,0.0,-7,,838,
03/31/2015,-55,-180,60,9,0.0,9,56,1,-18,,73,0.0,-40,-40,0,0.0,0.0,-40,-40,0,0,0,0,0,0,0,0,0,-41,-7,-25,,0.0,-25.0,0,0.0,0.0,-9,0.0,-136,
06/30/2015,34,388,175,-525,-501.0,-24,10,-18,-24,,52,0.0,-1016,-62,0,0.0,0.0,-62,-62,0,0,0,0,-6092,0,-6092,0,5138,-41,-5,4,0.0,6.0,-2.0,0,0.0,0.0,-40,0.0,-1023,
09/30/2015,323,-24,195,-4,28.0,-32,156,-31,-10,,197,0.0,-43,-69,0,0.0,0.0,-69,-69,0,0,0,0,14,0,14,0,12,-57,-5,80,0.0,82.0,-2.0,-127,0.0,-127.0,-5,0.0,223,
12/31/2015,-208,-134,174,-17,-4.0,-13,-231,-16,-67,,-148,0.0,-95,-104,0,,,-104,-104,0,0,0,0,0,0,0,0,9,-126,-6,7,0.0,9.0,-2.0,-123,0.0,-123.0,-4,0.0,-429,
03/31/2016,249,-10,185,-80,16.0,-96,154,65,18,,71,0.0,-117,-125,0,0.0,0.0,-125,-125,0,0,0,0,0,0,0,0,8,182,-5,193,0.0,198.0,-5.0,0,0.0,0.0,-6,0.0,314,
06/30/2016,126,-801,160,665,-9.0,674,102,-50,59,,93,0.0,-154,-161,0,,,-161,-161,0,0,0,0,0,0,0,0,7,2416,-6,2065,,2080.0,-15.0,0,0.0,0.0,357,0.0,2388,
09/30/2016,353,-249,166,223,-1.0,224,213,17,76,,120,0.0,-42,-51,0,0.0,0.0,-51,-51,0,0,0,0,14,0,0,14,-5,-14,-5,-2,,,,359,359.0,0.0,-366,0.0,297,
12/31/2016,-52,-180,199,-71,-51.0,-20,0,10,1,,-11,0.0,-1834,11,11,11.0,0.0,0,0,0,0,0,0,-14,0,0,-14,-1831,158,-6,169,0.0,737.0,-568.0,0,0.0,0.0,-5,0.0,-1728,
03/31/2017,149,597,211,-773,-313.0,-460,114,24,33,,57,0.0,-3292,-31,0,0.0,0.0,-31,-31,0,0,0,0,-3263,0,-3263,0,2,-228,-5,126,0.0,425.0,-299.0,150,150.0,0.0,-499,0.0,-3371,
06/30/2017,81,-296,213,154,-16.0,170,10,-37,43,,4,0.0,-54,-55,0,,,-55,-55,0,0,0,0,0,0,0,0,1,-47,-6,-155,,0.0,-155.0,-150,,,264,0.0,-20,
09/30/2017,271,-132,202,147,-1.0,148,54,-7,30,,31,0.0,575,-43,0,0.0,0.0,-43,-43,0,0,0,0,21,0,14,7,597,-680,-5,-485,0.0,1322.0,-1807.0,150,150.0,0.0,-340,0.0,166,
12/31/2017,84,-93,200,20,-280.0,300,-43,-27,4,,-20,0.0,12,677,772,772.0,0.0,-95,-95,0,0,0,0,-77,0,-70,-7,-588,-344,-6,-332,0.0,4.0,-336.0,0,0.0,0.0,-6,0.0,-248,
