Date,Returns,Return on Assets,Margins,Gross Margin,EBITDA Margin,Operating Margin,Incremental Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Effective Tax Rate,Dvd Payout Ratio,Source: Bloomberg
03/31/2009,,,,41.306436,3.554275,-2.113353,,-138.32853,-138.616715,-159.654179,-159.654179,,,,
06/30/2009,,,,46.481665,18.830525,14.866204,,-11.892963,-13.478692,-25.867195,-25.867195,,,,
09/30/2009,,,,45.07177,,6.602871,,-30.909091,-31.866029,-47.559809,-47.559809,,,,
03/31/2010,,,,26.79558,-17.679558,-25.414365,-10.309278,103.59116,101.104972,100.276243,100.276243,,2.4,0.0,
06/30/2010,,,,4.137931,-33.793103,-37.931034,-23.726852,-1081.37931,-1052.413793,-1029.655172,-1029.655172,,,,
09/30/2010,,,,-3.529412,-7.058824,-23.529412,-9.270833,-750.588235,-745.882353,-754.117647,-754.117647,,,,
12/31/2010,,,,-42.857143,-514.285714,-596.428571,,-8460.714286,-8435.714286,-8175.0,-8175.0,,,,
03/31/2011,,-80.922994,,-10.0,-30.0,-75.0,,-505.0,-500.0,-505.0,-505.0,,,,
06/30/2011,,,,,,,,,,-12200.0,-12200.0,,,,
09/30/2011,,,,,,,,,,135533.333333,135533.333333,,,,
12/31/2011,,,,,,,,,,-5566.666667,-5566.666667,,,,
03/31/2012,,,,,,,,,,-6100.0,-6100.0,,,,
