Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
03/31/2017,-1522,673,661,-2538,,-2538,,,,,,-52,1093,0,0,,,0,,,0,0,0,0,0,0,0,1103,-257,0,0,0,0,0,0,0,0,-205,56,-630,
06/30/2017,-1497,830,617,-3997,,-3997,,,,,,9,2017,0,0,,,0,,,0,0,0,0,0,0,0,2032,-433,0,0,0,0,0,0,0,0,-442,152,239,
09/30/2017,833,445,685,-1031,,-1031,,,,,,22,2096,0,0,,,0,,,0,0,0,0,0,0,0,2188,-867,0,0,0,0,0,0,0,0,-889,115,2177,
12/31/2017,-2743,-1483,583,-6,,-6,,,,,,-29,2312,-2593,522,,,-3115,,,0,0,0,-702,0,47,-749,4765,-1768,-3235,-349,268,0,-617,489,489,0,1356,-3,-2202,
03/31/2018,10,940,728,-924,,-924,,,,,,-17,-106,0,0,,,0,,,0,0,0,0,0,0,0,-63,-1007,0,0,0,0,0,0,0,0,-990,100,-1003,
06/30/2018,1783,1333,723,-228,,-228,,,,,,-26,-346,-900,14,,,-914,,,0,0,0,-2,0,0,-2,625,-1605,-2110,-223,345,0,-568,85,85,0,669,-169,-337,
09/30/2018,731,1013,732,-1207,457.0,-1664,,,,,,-1,-858,-612,1,,,-613,,,0,0,0,-29,0,-20,-9,-126,-1292,-1048,-211,80,0,-291,21,21,0,-53,-7,-1426,
12/31/2018,1730,891,726,-366,-434.0,68,570.0,567.0,261.0,-666.0,408.0,-9,-885,-672,32,32.0,0.0,-704,-704.0,0.0,0,0,0,-7,0,0,-7,-40,-1500,-553,-799,-603,1999,-2195,6,6,0,-145,-23,-678,
03/31/2019,1381,556,743,877,-72.0,949,-688.0,85.0,-47.0,-452.0,-274.0,-18,-498,-467,0,0.0,0.0,-467,-467.0,0.0,0,0,0,0,0,0,0,3,-730,-535,-97,-16,0,-81,28,28,0,-108,30,183,
06/30/2019,875,75,743,587,,587,,,,,,0,-382,-960,9,,,-969,,,0,0,0,-228,0,0,-228,806,-1034,-1052,-2049,162,2010,-4221,-271,34,-305,2338,-20,-561,
09/30/2019,1724,333,739,122,-83.0,205,596.0,755.0,425.0,-476.0,-108.0,0,-715,-457,38,38.0,0.0,-495,-495.0,0.0,0,0,0,-105,0,0,-105,-153,-589,-516,73,-13,136,-50,-96,5,-101,-50,-64,356,
12/31/2019,1950,-2323,713,2979,-82.0,3061,551.0,259.0,185.0,-22.0,129.0,0,-597,-545,37,37.0,0.0,-582,-582.0,0.0,0,0,0,-305,0,0,-305,253,-1839,-517,-991,158,141,-1290,-40,54,-94,-291,27,-459,
03/31/2020,1239,239,724,316,-57.0,373,-43.0,128.0,-111.0,-314.0,254.0,0,-153,-389,11,11.0,0.0,-400,-400.0,0.0,0,0,0,-114,0,0,-114,350,265,-518,1012,838,2449,-2275,-109,16,-125,-120,-86,1265,
06/30/2020,1590,-225,700,350,-2.0,352,774.0,568.0,540.0,-582.0,248.0,0,-381,-272,3,3.0,0.0,-275,-275.0,0.0,0,0,0,-122,0,0,-122,13,-1144,-516,-618,-594,60,-84,14,14,0,-24,20,85,
