Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Source: Bloomberg
03/31/1990,83.678001,,83.668999,,13.672926,0.788823,0.56,0.5,,,,,0.73,3.609461,,0.956046,20.770095,
06/30/1990,83.688004,,83.682999,,13.419691,0.227047,0.01,0.01,,,,,0.73,3.35791,,0.585508,19.82363,
09/30/1990,83.958,,83.820999,,13.719712,0.047721,-0.22,-0.16,,,,,0.73,3.87731,,0.631268,17.008504,
12/31/1990,83.958,,83.333,,9.168037,-5.508022,-7.32,-6.02,,,,,0.25,6.048024,,0.607447,11.970271,
03/31/1991,84.122002,,84.050003,,12.992266,-0.226056,-0.7,-0.7,,,,,0.05,-0.844735,,0.463612,11.744847,
06/30/1991,84.148003,,84.139999,,12.7169,-0.439743,-0.77,-0.83,,,,,0.05,0.261469,,0.511004,11.456006,
09/30/1991,84.273003,,84.210999,,11.803684,-0.094999,-0.44,-0.42,,,,,0.1,-3.443731,,0.367852,10.786373,
12/31/1991,84.273003,,83.871002,,12.113841,0.345769,-0.62,-0.2,,,,,0.1,-1.394999,,1.032359,10.299858,
03/31/1992,84.273003,,84.273003,,11.166091,0.189859,-0.09,-0.09,,,,,0.05,-0.142394,,0.854366,10.371056,
06/30/1992,84.303001,,84.279999,,10.749882,0.201709,-0.07,-0.06,,,,,0.05,0.984813,,0.213516,10.130126,
09/30/1992,84.467003,,84.376999,,11.981938,0.853313,-0.09,-0.02,,,,,0.05,0.331844,,0.284135,9.672416,
12/31/1992,84.513,84.488998,84.488998,,9.49236,0.248553,0.01,0.01,0.01,0.01,0.01,0.01,0.1,-0.023672,,0.295812,9.643487,
03/31/1993,84.622002,,84.541,,10.350008,0.390343,0.58,0.13,,,,,0.05,1.407601,,0.153624,10.269197,
06/30/1993,84.783997,,84.695,,9.681799,0.425055,0.15,0.15,,,,,0.05,-0.460476,,0.318456,10.532648,
09/30/1993,84.935997,,84.898003,,8.893024,0.329808,0.1,0.1,,,,,0.05,-0.577163,,0.447396,10.596214,
12/31/1993,85.009003,112.741997,84.986,,9.401548,0.505966,0.55,0.55,0.59,0.42,0.42,0.45,0.05,0.658932,,0.199979,12.422214,
03/31/1994,85.249001,100.0,100.0,,7.85,0.32,0.11,0.11,0.14,0.11,0.11,0.14,0.05,0.15,,0.551326,10.580769,
06/30/1994,85.375999,,95.455002,,8.517102,0.502855,0.66,0.66,,0.56,,,0.05,-0.188571,,0.97217,10.03795,
09/30/1994,89.343002,,94.029999,,8.880145,0.52111,0.67,0.67,,0.58,,,0.05,0.457301,,0.637991,10.409321,
12/31/1994,104.810997,117.021277,101.851852,,8.610545,0.471273,0.54,0.54,0.53,0.47,0.47,0.46,0.05,0.981818,,0.658328,10.590492,
04/01/1995,101.209,129.970001,107.175003,,7.69769,0.550502,0.38,0.38,0.3,0.36,,,0.1,0.513179,0.457196,0.810205,12.044383,
06/30/1995,110.671997,130.022003,110.565002,,7.742052,0.524578,0.35,0.35,0.34,0.33,,,0.05,0.91349,0.850179,0.876464,13.074671,
09/30/1995,112.358002,121.086998,111.541,,7.934302,0.555849,0.37,0.37,0.33,0.35,,,0.05,1.425485,1.344797,0.863312,13.350184,
12/31/1995,119.606003,125.0,116.531998,,7.663131,0.51488,0.51,0.51,0.5,0.48,0.48,0.47,0.05,0.720832,0.635019,0.994933,14.806949,
03/31/1996,119.676003,130.449997,119.633003,,7.263882,0.560046,0.43,0.43,0.33,0.42,,,0.05,0.45138,0.37615,1.002707,13.628463,
06/30/1996,117.955002,128.977997,119.190002,,7.29927,0.646027,0.52,0.52,0.41,0.5,,,0.05,0.797047,0.654417,0.34759,13.174516,
09/30/1996,116.009003,117.450996,117.450996,,7.415859,0.383139,0.26,0.26,0.22,0.26,,,0.05,0.99616,0.962103,0.508581,13.386892,
12/31/1996,114.239998,123.463997,114.460999,,8.125038,1.100812,0.84,0.84,0.48,0.79,,,0.05,0.559142,0.305781,0.639006,15.484944,
03/31/1997,112.658997,122.419998,117.237999,,7.207561,0.656784,0.37,0.37,0.37,0.36,,,0.05,0.068237,-0.196182,0.807747,14.743607,
06/30/1997,110.691002,120.198997,113.994003,,7.649525,0.684247,0.42,0.42,0.4,0.4,,,0.07,0.605295,0.421075,0.668528,15.827845,
09/30/1997,111.035004,119.811996,114.630997,,7.223177,0.706615,0.41,0.41,0.41,0.4,,,0.07,0.444906,0.322775,0.603413,16.931598,
12/31/1997,,119.892998,111.713997,,7.689278,,0.48,0.48,0.45,0.46,,,,,,,,
