Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/2012,,30.8,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/2012,,33.1,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/2012,,19.7,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2012,,41.4,31.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/2013,45.7,50.7,32.3,5.1,1.9,,3.2,-42.4,,0.0,,-42.4,0.0,-34.2,-39.4,0.0,0.0,0.0,-39.4,-11.9,-27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,-47.7,0.0,-22.0,-25.7,0.3,-26.0,0.0,-1.7,-37.9,11.4,1.9,
06/30/2013,89.6,53.4,32.4,1.6,2.0,,-0.4,2.2,,0.0,,2.2,0.0,-55.5,-27.1,0.0,0.0,0.0,-27.1,-6.9,-20.2,0.0,0.0,0.0,-28.5,0.0,-28.5,0.0,0.1,-70.0,0.0,87.5,20.5,46.6,-26.1,-178.0,0.0,-35.9,21.2,1.4,
09/30/2013,102.7,32.4,34.7,23.2,2.0,,21.2,12.4,,0.0,,12.4,0.0,-45.7,-28.2,0.0,0.0,0.0,-28.2,-4.7,-23.5,0.0,0.0,0.0,-17.5,0.0,-17.5,0.0,0.0,-58.5,0.0,-33.5,-25.0,0.7,-25.7,0.0,0.6,-0.9,17.0,2.4,
12/31/2013,102.1,2.9,36.7,42.0,2.2,,39.8,20.5,,0.0,,20.5,0.0,-35.5,-35.8,0.0,0.0,0.0,-35.8,-11.5,-24.3,0.0,0.0,0.0,33.5,0.0,33.5,0.0,-33.2,-27.7,0.0,-12.0,-15.3,9.8,-25.1,-0.4,0.9,39.8,17.1,1.6,
03/31/2014,41.5,39.8,37.5,20.8,9.3,,11.5,-56.6,,0.0,,-56.6,0.0,-120.0,-34.1,0.0,0.0,0.0,-34.1,-6.6,-27.5,0.0,0.0,0.0,-85.9,0.0,-85.9,0.0,0.0,41.2,0.0,70.0,-24.9,1.4,-26.3,-3.9,0.0,-37.3,9.0,2.0,
06/30/2014,87.3,29.4,37.2,-4.1,4.1,,-8.2,24.8,,0.0,,24.8,0.0,-29.6,-29.6,0.0,0.0,0.0,-29.6,-8.4,-21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,-10.0,11.7,37.4,-25.7,-0.2,0.3,59.5,16.8,1.9,
09/30/2014,109.9,80.3,40.5,0.9,0.7,,0.2,-11.8,,0.0,,-11.8,0.0,-67.0,-24.3,0.0,0.0,0.0,-24.3,-3.4,-20.9,0.0,0.0,0.0,-42.7,-1.4,-41.3,0.0,0.0,-57.8,0.0,-50.0,-7.8,18.0,-25.8,0.0,-1.5,-16.4,9.2,1.3,
12/31/2014,101.4,15.7,20.9,28.5,-6.0,,34.5,36.3,,0.0,,36.3,0.0,45.7,-42.5,0.0,0.0,0.0,-42.5,-16.6,-25.9,0.0,0.0,0.0,116.1,1.4,114.7,0.0,-27.9,-188.8,0.0,10.0,-24.5,0.6,-25.1,-174.3,1.0,-40.7,31.7,2.1,
03/31/2015,60.9,54.8,39.3,20.6,9.1,,11.5,-53.8,,0.0,,-53.8,0.0,-47.5,-39.9,0.0,0.0,0.0,-39.9,-5.8,-34.1,0.0,0.0,0.0,-7.6,0.0,0.0,-7.6,0.0,-45.1,0.0,-103.0,57.9,79.9,-22.0,0.0,-1.6,-33.3,13.1,1.6,
06/30/2015,137.0,44.5,40.8,15.9,9.0,,6.9,35.8,,0.0,,35.8,0.0,-33.1,-23.7,0.0,0.0,0.0,-23.7,-2.8,-20.9,0.0,0.0,0.0,-7.8,0.0,0.0,-7.8,-1.6,-70.3,0.0,250.0,-320.3,51.8,-372.1,0.0,1.5,35.1,20.8,1.2,
09/30/2015,135.3,6.7,43.4,5.5,9.3,,-3.8,79.7,,0.0,,79.7,0.0,-130.6,-24.8,0.0,0.0,0.0,-24.8,-3.4,-21.4,0.0,0.0,0.0,-105.8,0.0,-100.2,-5.6,0.0,160.4,0.0,125.0,35.4,58.0,-22.6,0.0,-1.0,164.1,15.7,1.6,
12/31/2015,72.5,46.5,47.2,23.9,9.9,,14.0,-45.1,,0.0,,-45.1,0.0,-223.0,-28.7,0.0,0.0,0.0,-28.7,-4.6,-24.1,-1.1,0.0,-1.1,-204.8,0.0,-200.5,-4.3,11.6,13.5,0.0,200.0,-184.5,37.5,-222.0,-2.0,-0.6,-137.6,14.0,2.0,
03/31/2016,54.4,24.9,46.8,27.3,13.2,,14.1,-44.6,,0.0,,-44.6,0.0,-64.1,-40.2,0.0,0.0,0.0,-40.2,-2.8,-37.4,-1.7,0.0,-1.7,-22.2,0.0,-22.2,0.0,0.0,-46.5,0.0,-60.1,13.6,35.8,-22.2,0.0,-0.1,-56.3,5.8,1.7,
05/31/2016,274.1,50.0,78.0,153.6,51.2,25.6,76.8,18.1,13.0,0.0,-19.9,18.1,0.0,-911.6,-12.5,37.4,37.4,0.0,-49.9,-49.9,0.0,1.7,1.7,0.0,-901.0,190.2,-1091.2,0.0,0.2,755.2,0.0,890.1,-119.5,0.0,-119.5,-15.4,-9.0,108.7,,,
08/31/2016,146.6,-31.7,91.7,-6.3,78.7,-19.5,-65.5,92.9,52.8,0.0,-20.7,60.8,0.0,58.1,-46.6,0.0,0.0,0.0,-46.6,-46.6,0.0,0.0,0.0,0.0,99.0,0.0,99.0,0.0,5.7,-379.0,0.0,-283.8,-87.8,70.8,-158.6,-7.4,29.5,-144.8,,,
11/30/2016,108.8,89.3,72.4,-13.3,44.3,0.6,-58.2,-39.6,-74.3,0.0,28.1,6.6,,-1.1,-8.1,0.0,0.0,0.0,-8.1,,,1.7,,,22.9,0.7,22.2,0.0,-17.6,-105.7,0.0,167.1,-237.0,46.2,-283.2,-35.8,-7.5,-5.5,75.7,,
02/28/2017,250.7,66.0,120.8,224.9,75.2,8.8,140.9,-161.0,-16.7,0.0,-12.6,-131.7,0.0,-66.4,-71.7,0.0,0.0,0.0,-71.7,-71.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,-166.6,0.0,337.5,-494.6,97.3,-591.9,-9.5,-1.8,15.9,,,
05/31/2017,200.6,99.3,122.8,-9.8,64.6,-31.3,-43.1,-11.7,6.3,0.0,-1.2,-16.8,0.0,-55.4,-58.8,0.0,0.0,0.0,-58.8,-58.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,-126.6,0.0,267.3,-393.9,19.9,-413.8,0.0,-10.9,7.7,,,
08/31/2017,267.3,145.9,120.8,-72.2,63.4,-76.0,-59.6,72.8,22.1,0.0,-3.7,54.4,0.0,-66.3,-61.3,0.0,0.0,0.0,-61.3,-61.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-208.1,0.0,3.6,-214.3,97.8,-312.1,2.6,-1.6,-8.7,,,
