Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1997,408.028015,-294.514008,113.514008,-97.357002,16.157,0,-7.62,8.537,-3.577,4.96,0,0,4.96,0,4.96,3.0,-1.0,6.96,,,,,,,,,
06/30/1997,450.403015,-332.785004,117.618011,-105.080002,12.538,0,-7.744,4.794,-4.388,0.406,0,0,0.406,0,0.406,21.0,-6.0,15.406,,,,,,,,,
09/30/1997,464.582001,-331.140991,133.44101,-96.880997,36.560001,0,2.888,39.448001,-14.99,24.458,0,0,24.458,0,24.458,,,24.458002,0.17,0.17,0.17,147.498993,0.16,0.16,0.16,149.490997,
12/31/1997,441.075012,-378.040985,63.034027,-138.485001,-75.450996,0,13.032,-62.418997,16.481001,-45.938,0,0,-45.938,0,-45.938,86.0,-25.0,15.062004,0.1,-0.31,-0.31,147.977997,0.1,-0.31,-0.31,147.977997,
03/31/1998,416.920013,-323.932007,92.988007,-175.350006,-82.362,0,-9.987,-92.349,32.457031,-59.890999,0,0,-59.890999,0,-59.890999,,,-59.891969,0.13,-0.4,-0.4,149.666,0.13,-0.4,-0.4,149.666,
06/30/1998,488.505005,-347.384003,141.121002,-91.710999,49.41,0,-1.08,48.33,-18.367001,29.962999,0,0,29.962999,0,29.962999,,,29.962999,0.2,0.2,0.2,151.225998,0.19,0.19,0.19,160.863007,
09/30/1998,518.195984,-365.333008,152.862976,-92.026001,60.837002,0,2.68,63.517002,-24.108,39.409,0,0,39.409,0,39.409,,,39.409002,0.23,0.23,0.23,168.932007,0.22,0.22,0.22,179.067993,
12/31/1998,564.203979,-394.678009,169.52597,-93.164001,76.362,0,-2.211,74.151,-28.181999,45.969002,0,0,45.969002,0,45.969002,,,45.969,0.27,0.27,0.27,168.057999,0.26,0.26,0.26,179.667999,
03/31/1999,519.060974,-381.015015,138.045959,-95.484001,42.562,0,2.657,45.219,-16.731001,28.487793,0,0,28.488001,0,28.488001,,,28.487999,0.21,0.16,0.16,175.203995,0.2,0.15,0.15,189.070999,
06/30/1999,527.030029,-368.872009,158.15802,-85.485001,72.672997,0,4.258,76.930996,-28.464001,48.466999,0,0,48.466999,0,48.466999,-6.0,2.235,44.701996,0.26,0.28,0.28,173.080994,0.24,0.26,0.26,188.231003,
09/30/1999,544.263,-386.007996,158.255005,-86.367996,71.887001,0,-38.415001,33.472,-11.13,22.341999,0,0,22.341999,0,22.341999,43.0,-16.0,49.342,0.28,0.13,0.13,173.455002,0.26,0.12,0.12,190.117004,
