Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Income (Loss) Incl. MI,"Net Income, GAAP",Preferred Dividends,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
08/02/1989,1451.948975,-882.85199,569.096985,-338.714996,230.382004,-22.929,21.959,0.97,207.453004,-80.906998,126.545998,126.546006,126.545998,-0.031,126.514998,126.514998,398.88002,0.316667,0.316667,,398.88002,0.316667,0.316667,0.316667,
11/01/1989,1531.078003,-942.237976,588.840027,-355.197998,233.641998,-28.756,28.077,0.679,204.885999,-79.490997,125.394997,125.395001,125.394997,-0.028,125.366997,125.366997,399.257996,0.313333,0.313333,,399.257996,0.313333,0.313333,0.313333,
01/31/1990,1408.432983,-854.934998,553.497986,-340.687988,212.809998,-26.83,27.605,-0.775,185.979998,-68.783997,117.195999,117.196001,117.195999,-0.028,117.167999,117.167999,399.603012,0.293333,0.293333,,399.603012,0.293333,0.293333,0.293333,
05/02/1990,1694.227051,-1046.588013,647.639038,-402.557007,245.082001,-31.970999,30.900999,1.07,213.111002,-77.796997,135.313995,135.314005,135.313995,-0.026,135.287995,135.287995,397.658982,0.34,0.34,0.34,397.658982,0.34,0.34,0.34,
08/01/1990,1559.243042,-946.450012,612.79303,-346.691986,266.101013,-33.195998,34.405998,-1.21,232.905015,-89.667999,143.237,143.237016,143.237,-0.024,143.213,143.213,398.621979,0.36,0.36,,398.621979,0.36,0.36,0.36,
10/31/1990,1644.579956,-1018.879028,625.700928,-368.253998,257.446991,-33.150999,34.466999,-1.316,224.295992,-84.526001,139.770004,139.769991,139.770004,-0.024,139.746004,139.746004,399.214508,0.346667,0.346667,,399.214508,0.346667,0.346667,0.346667,
01/30/1991,1605.005981,-978.906006,626.099976,-388.052002,238.048004,-32.980999,33.244999,-0.264,205.067005,-76.146004,128.921005,128.921001,128.921005,-0.022,128.899005,128.899005,399.603012,0.326667,0.326667,,399.603012,0.326667,0.326667,0.326667,
05/01/1991,1838.28894,-1119.187988,719.100952,-443.593994,275.506989,-34.761999,35.473999,-0.712,240.74499,-84.674004,156.070999,156.070986,156.070999,-0.021,156.049999,156.049999,388.5195,0.4,0.4,0.4,388.5195,0.4,0.4,0.4,
07/31/1991,1500.250977,-936.539001,563.711975,-350.72699,212.985001,197.378994,27.172001,-224.550995,410.363995,-155.938004,254.425995,254.425991,254.425995,-0.022,254.403995,254.403995,404.782516,0.633333,0.633333,,404.782516,0.633333,0.633333,0.633333,
10/30/1991,1592.312012,-978.76001,613.552002,-386.997986,226.554001,-28.456,35.513,-7.057,198.098001,-75.277,122.820999,122.821,122.820999,-0.022,122.798999,122.798999,402.515991,0.306667,0.306667,,402.515991,0.306667,0.306667,0.306667,
01/29/1992,1622.358032,-1017.421997,604.936035,-389.949005,214.987,-33.815999,40.709999,-6.894,181.171,-65.834,115.336998,115.337001,115.336998,-0.021,115.315998,115.315998,401.14801,0.286667,0.286667,,401.14801,0.286667,0.286667,0.286667,
