Date,Revenue,Sales & Services Revenue,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2017,2188.0,2188.0,0.0,-1568.0,263.0,41.0,1264.0,620.0,-9.0,,7.0,,2.0,611.0,-211.0,400.0,0.0,0.0,0.0,400.0,-10.0,390.0,,0.0,390.0,390.65,0.65,621.0,0.628019,0.628019,0.629066,621.0,0.628019,0.628019,0.629066,
12/31/2017,3108.0,3108.0,0.0,-2697.0,309.0,42.0,2346.0,411.0,-99.0,,6.0,,93.0,312.0,570.0,882.0,0.0,0.0,0.0,882.0,-13.0,869.0,0.0,0.0,869.0,869.0,0.0,621.0,1.399356,1.399356,1.399356,621.0,1.399356,1.399356,1.399356,
03/31/2018,2463.0,2463.0,0.0,-1811.0,324.0,43.0,1444.0,652.0,2.0,,7.0,,-9.0,654.0,-188.0,466.0,0.0,0.0,0.0,466.0,-9.0,457.0,0.0,0.0,457.0,478.75,21.75,621.0,0.74,0.74,0.770934,621.0,0.74,0.74,0.770934,
06/30/2018,2394.0,2394.0,0.0,-1809.0,313.0,45.0,1451.0,585.0,8.0,,23.0,,-31.0,593.0,-113.0,480.0,0.0,0.0,0.0,480.0,-9.0,471.0,0.0,0.0,471.0,476.68,5.68,621.0,0.758454,0.758454,0.767601,621.0,0.758454,0.758454,0.767601,
09/30/2018,2541.0,2541.0,0.0,-1833.0,299.0,43.0,1491.0,708.0,123.0,,16.0,,-139.0,831.0,-216.0,615.0,0.0,0.0,0.0,615.0,-11.0,604.0,0.0,0.0,604.0,494.19,-109.81,621.0,0.972625,0.972625,0.795797,621.0,0.972625,0.972625,0.795797,
12/31/2018,3583.0,3583.0,0.0,-3198.0,329.0,51.0,2818.0,385.0,-354.0,,15.0,,339.0,31.0,-7.0,24.0,0.0,0.0,0.0,24.0,-16.0,8.0,0.0,0.0,8.0,275.81,267.81,621.0,0.012882,0.012882,0.444138,621.0,0.012882,0.012882,0.444138,
03/31/2019,2752.0,2752.0,0.0,-2054.0,336.0,58.0,1660.0,698.0,8.0,62.0,81.0,-19.0,-70.0,706.0,-167.0,539.0,0.0,0.0,0.0,539.0,-10.0,529.0,0.0,0.0,529.0,462.64,-66.36,621.0,0.85,0.85,0.744992,621.0,0.85,0.85,0.74314,
06/30/2019,2513.0,2513.0,0.0,-1873.0,455.0,60.0,1358.0,640.0,16.0,69.0,91.0,-22.0,-85.0,656.0,-191.0,465.0,0.0,0.0,0.0,465.0,-11.0,454.0,0.0,0.0,454.0,377.37,-76.63,621.0,0.731079,0.731079,0.607681,621.0,0.731079,0.731079,0.607681,
09/30/2019,2667.0,2667.0,0.0,-1870.0,352.0,50.0,1468.0,797.0,-97.0,73.0,90.0,-17.0,24.0,700.0,-187.0,513.0,0.0,0.0,0.0,513.0,-14.0,499.0,0.0,0.0,499.0,517.96,18.96,622.0,0.8,0.8,0.832733,624.0,0.8,0.8,0.830385,
12/31/2019,3778.0,3778.0,0.0,-3579.0,431.0,57.0,3091.0,199.0,220.0,82.0,90.0,-8.0,-302.0,419.0,-105.0,314.0,0.0,0.0,0.0,314.0,-14.0,300.0,0.0,0.0,300.0,61.42,-238.58,617.0,0.49,0.49,0.099546,620.0,0.48,0.48,0.095194,
03/31/2020,3440.0,3440.0,0.0,-2582.0,464.0,57.0,2061.0,858.0,-713.0,81.0,89.0,-8.0,632.0,145.0,-55.0,90.0,0.0,0.0,0.0,90.0,-12.0,78.0,0.0,0.0,78.0,577.28,499.28,608.0,0.13,0.13,0.949474,612.0,0.13,0.13,0.945817,
06/30/2020,2418.0,2418.0,0.0,-2217.0,494.0,94.0,1629.0,201.0,-1.0,98.0,100.0,-2.0,-97.0,200.0,-55.0,145.0,0.0,0.0,0.0,145.0,-23.0,122.0,0.0,0.0,122.0,375.0,253.0,609.0,0.2,0.2,0.615764,609.0,0.2,0.2,0.615435,
09/30/2020,2552.571,,,,,,,604.083,,,,,,494.111,,351.214,,,,,,351.214,,,351.214,361.211,,,0.598,0.598,0.59,,0.598,0.598,0.59,
12/31/2020,3780.111,,,,,,,49.109,,,,,,-30.953,,-65.424,,,,,,-65.424,,,-65.424,-36.677,,,-0.1,-0.1,-0.073,,-0.1,-0.1,-0.073,
