Date,Revenue,Consensus Estimate,Comparable Actual,Revenue Surprise %,GAAP Actual,Adjusted Actual,Earnings Per Share,EBIT,EBITDA,Gross Margin %,Pretax Income (Loss),Net Income,Source: Bloomberg
07/03/2004,,,82.0,,43,43.0,,,,,,,
10/02/2004,,,71.0,,57,57.0,,,,,,,
12/31/2004,,,72.0,,5,5.0,,,,,,,
04/01/2005,,,85.0,,85,85.0,,,,,,,
07/01/2005,,,122.0,,122,122.0,,,,,,,
09/30/2005,,124.0,149.0,0.93978419770275,164,164.0,,,,,,,
12/31/2005,,179.25,192.0,-0.658248253627079,192,192.0,,,,,,,
03/31/2006,,194.0,205.0,2.3131076097888,212,212.0,,,,,,,
06/30/2006,,222.6,245.0,-53.8490045643017,260,260.0,,,,,,,
09/29/2006,,231.25,257.0,2.48132675022155,257,257.0,,,,,,,
12/31/2006,,251.0,,,-2723,-2723.0,,,,,,,
03/30/2007,,244.0,,,-539,-539.0,,,,,,,
06/29/2007,,265.333,,,-288,-288.0,,,,,,,
09/28/2007,,274.667,,,-261,-261.0,,,,,,,
12/31/2007,,289.667,,,-519,-519.0,,,,,,,
06/27/2008,,,,,-184,-184.0,,,,,,,
09/26/2008,,,,,-3497,-3497.0,,,,,,,
12/31/2008,,,,,-3987,-3987.0,,,,,,,
04/03/2009,,,,,1756,299.35,,,,,,,
07/03/2009,,,,,-484,-443.7,,,,,,,
10/02/2009,,,,,-410,-350.85,,,,,,,
12/31/2009,,,,,-114,-22.35,,,,,,,
04/02/2010,,,,,-256,-220.9,,,,,,,
07/02/2010,,,,,-538,-230.55,,,,,,,
09/30/2010,,,,,-156,-153.4,,,,,,,
12/31/2010,,,,,-103,-16.55,,,,,,,
04/01/2011,,,,,-148,4.1,,,,,,,
07/02/2011,,,,,-168,73.8,,,,,,,
09/30/2011,,,,,-88,-6.1,,,,,,,
12/31/2011,,,,,-6,-295.25,,,,,,,
03/30/2012,,,,,-9,-23.3,,,,,,,
06/29/2012,,,,,-34,-15.8,,,,,,,
09/28/2012,,,,,-24,-19.45,,,,,,,
12/31/2012,,,,,-35,40.4,,,,,,,
03/29/2013,,,,,-48,-35.65,,,,,,,
06/28/2013,,,,,-65,-20.15,,,,,,,
09/27/2013,,,,,23,24.95,,,,,,,
12/31/2013,,,,,-118,-1.0,,,,,,,
04/04/2014,,,,,-23,22.5,,,,,,,
07/04/2014,,,,,86,90.55,,,,,,,
10/03/2014,,,,,125,136.7,,,,,,,
12/31/2014,,,,,63,77.3,,,,,,,
