Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
12/31/2012,360,61,156,105,30,77,-2,38,,38,0.0,-145,-125,0,0.0,0.0,-125,-97,-28,-4,0,-4,0,0,0,0,-16,-340,0,-496,0,0.0,0.0,156,-3,-128,25,127,
03/31/2013,172,34,160,55,2,7,46,-77,,-77,0.0,-64,-68,0,0.0,0.0,-68,-57,-11,0,0,0,0,0,0,0,4,-77,0,-102,0,0.0,0.0,25,-9,22,16,132,
06/30/2013,466,155,149,57,1,18,38,105,,105,0.0,-119,-79,0,0.0,0.0,-79,-64,-15,0,0,0,-30,0,-30,0,-10,-457,0,-399,0,0.0,0.0,-58,-6,-116,24,156,
09/30/2013,386,200,146,13,2,41,-30,27,,27,0.0,-69,-70,0,0.0,0.0,-70,-46,-24,0,0,0,0,0,0,0,1,-255,0,-399,0,0.0,0.0,144,1,63,44,107,
12/31/2013,1077,26,148,71,257,-1,-185,832,,832,0.0,-130,-110,5,5.0,0.0,-115,-87,-28,-6,0,-6,0,0,0,0,-14,-1074,0,-2215,0,0.0,0.0,1141,-3,-130,149,140,
03/31/2014,146,123,153,-52,19,-52,-19,-78,,-78,0.0,-73,-58,0,0.0,0.0,-58,-43,-15,0,0,0,0,0,0,0,-15,-232,0,-219,0,0.0,0.0,-13,-1,-160,22,97,
06/30/2014,365,209,158,-7,22,10,-39,5,,5,0.0,-48,-49,35,35.0,0.0,-84,-67,-17,0,0,0,0,0,0,0,1,-209,0,-214,0,0.0,0.0,5,2,110,119,160,
09/30/2014,387,183,159,-14,16,-20,-10,59,,59,0.0,-79,-82,5,5.0,0.0,-87,-74,-13,-1,0,-1,0,0,0,0,4,-302,0,-292,0,0.0,0.0,-10,-8,-2,143,96,
12/31/2014,397,158,158,210,21,76,113,-129,,-129,0.0,-110,-149,4,,,-153,-84,-69,0,0,0,0,0,0,0,39,-332,0,-349,0,0.0,0.0,17,-7,-52,145,161,
03/31/2015,286,150,175,-35,19,40,-94,-4,,-4,0.0,465,1773,1869,1869.0,0.0,-96,-88,-8,0,0,0,-1298,0,-1298,0,-10,-761,0,-710,8,8.0,0.0,-59,-9,-19,20,88,
06/30/2015,648,161,348,151,100,10,41,-12,,-12,0.0,258,1687,1869,1869.0,0.0,-182,-159,-23,0,0,0,-1410,0,-1410,0,-19,-952,0,-927,8,8.0,0.0,-33,-9,-55,197,231,
09/30/2015,991,279,519,190,114,34,42,3,,3,0.0,515,1945,2197,2197.0,0.0,-252,-214,-38,-9,0,-9,-1410,0,-1410,0,-11,-1427,-69,-1307,8,8.0,0.0,-59,-17,62,359,329,
12/31/2015,455,814,173,-423,10,-513,80,-109,,-109,,-101,-112,8,8.0,0.0,-120,-96,-24,0,0,0,8,0,8,0,3,-326,-69,-269,-8,,,20,-2,26,116,156,
03/31/2016,339,309,169,7,11,-32,28,-146,,-146,,-110,-95,0,0.0,0.0,-95,-84,-11,0,0,0,0,0,0,0,-15,-116,-69,-32,0,0.0,0.0,-15,4,117,39,86,
