Date,Net Interest Income,Provisions for Loan Losses,Net Non-Operating Losses (Gains),Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Total Cash Preferred Dividends,Other Adjustments,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Source: Bloomberg
03/31/1998,395.0,0,0,0,0,,,0,0,
06/30/1998,401.0,0,324,0,0,,,-324,123,
09/30/1998,325.0,0,0,0,0,,,0,0,
12/31/1998,315.0,0,-50,0,0,,,50,-19,
03/31/1999,364.0,0,211,-15,0,,0.0,-211,77,
06/30/1999,452.0,0,0,0,0,,0.0,0,0,
09/30/1999,391.0,0,30,0,0,,0.0,-30,11,
12/31/1999,387.0,0,2,0,0,,0.0,-2,1,
03/31/2000,387.0,0,0,0,0,,0.0,0,0,
06/30/2000,465.0,0,0,0,0,,0.0,0,0,
09/30/2000,437.0,0,0,0,0,,0.0,0,0,
12/31/2000,441.0,0,-4,0,0,,0.0,4,-1,
03/31/2001,401.0,0,-70,-1,0,,0.0,0,0,
06/30/2001,530.0,0,-42,0,0,,0.0,42,-15,
09/30/2001,596.0,0,0,0,0,,0.0,0,0,
12/31/2001,723.0,0,-5,0,0,,0.0,75,-27,
03/31/2002,678.0,0,0,-24,0,,0.0,0,0,
06/30/2002,781.0,0,0,0,0,,0.0,0,0,
09/30/2002,646.0,0,9,0,0,,0.0,-9,4,
12/31/2002,651.0,0,0,0,0,,0.0,0,0,
03/31/2003,660.0,0,0,0,0,,0.0,0,0,
06/30/2003,736.0,0,0,0,0,,0.0,0,0,
09/30/2003,676.0,0,0,0,0,,0.0,0,0,
12/31/2003,789.0,0,0,0,0,,0.0,0,0,
03/31/2004,964.0,0,0,0,0,,0.0,0,0,
06/30/2004,912.0,0,-6500,0,0,,0.0,6500,-2400,
09/30/2004,812.0,0,0,0,0,,0.0,0,0,
12/31/2004,949.0,0,0,0,0,,0.0,0,0,
03/31/2005,,0,0,0,0,0.0,0.0,0,0,
