Date,Basic Shares Outstanding,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Dividends,Cash Flow,Cash & Equivalents,Book Value,Source: Bloomberg
03/31/1990,255.233994,255.593994,,17.160028,2.617432,1.385009,0.66,0.66,0.0,0.825528,2.605452,21.251088,
06/30/1990,254.975006,255.212006,,16.95845,2.731063,1.567324,0.81,0.81,0.0,1.661364,1.741347,21.676634,
09/30/1990,255.080994,255.197998,,18.746229,2.617575,1.496877,0.63,0.63,0.0,0.572105,1.603412,21.965572,
12/31/1990,254.511993,254.947998,,22.859564,3.239876,1.647395,1.04,1.04,0.0,3.42815,1.03335,22.635476,
03/31/1991,305.367767,305.225006,,13.51462,1.258088,0.363666,-0.783029,-0.78,0.0,0.583176,0.746641,17.781837,
06/30/1991,309.897827,306.229004,,13.875237,1.381319,0.486564,0.071842,0.07,0.0,0.901286,0.69055,17.444459,
09/30/1991,306.996796,307.480988,,14.134207,1.36919,0.458565,0.084558,0.08,0.0,-0.204891,0.70359,17.35523,
12/31/1991,309.240784,306.752991,,14.483966,0.218417,-0.762829,-1.29,-1.29,0.0,2.06029,0.90221,15.787051,
03/31/1992,335.75415,337.856995,,10.875607,1.012263,0.405497,-4.92516,0.06,0.0,0.026638,0.282945,15.955127,
06/30/1992,344.193909,355.691986,,12.60079,1.894898,0.944638,0.508867,0.51,0.0,1.110511,0.398031,16.534284,
09/30/1992,345.227966,344.571991,,12.194258,1.0796,0.325041,0.020315,0.02,0.0,0.194444,2.479521,16.229855,
12/31/1992,355.311401,372.901001,,11.157465,-0.238669,-1.010992,-0.873,-0.87,0.0,1.204073,0.160423,10.143215,
03/31/1993,355.620361,355.593994,,10.754766,1.192371,0.458388,1.2,0.13,0.0,0.424642,0.306507,11.042675,
06/30/1993,355.708405,355.691986,,11.734591,1.177985,0.43577,-5.44,-0.9,0.0,0.387976,0.095584,9.971651,
09/30/1993,,355.589996,,12.747828,,,0.49,0.49,,,,,
12/31/1993,,,,,,,1.51,1.51,,,,,
03/31/1994,,,,,,,-0.15,-0.15,,,,,
06/30/1994,,,,,,,-1.37,-1.37,,,,,
09/30/1994,,,,,,,1.39,1.39,,,,,
12/31/1994,,,,,,,1.32,1.32,,,,,
03/31/1995,,,,,,,1.45,1.45,,,,,
06/30/1995,,,,,,,1.48,1.48,,,,,
09/30/1996,,,,,,,0.0,,,,,,
