Date,Cash from Operating Activities,Net Income,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch of Investments,Net Ch of Interbank Asset,Net Ch of Interbank Liab,Net Ch in Operating Loans,Change of Accrued Interest Receivable,Change of Accrued Interest Payable,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/2013,529,346,241,-209,-55.0,19,-173,154,0.0,0.0,0.0,0.0,0.0,19,2,133,,2184,0,0.0,0,-4,103.0,94.0,0.0,9.0,-107.0,-93.0,-14.0,0.0,226,226,0.0,0.0,-1559,0,-1559,0,3521,-2928,-73,-538,0,0,4077,-4615,-199,0,-199,396.0,-2514,0.0,-215,14,568,
06/30/2013,425,543,201,-439,-252.0,10,-197,116,0.0,0.0,0.0,0.0,0.0,-61,4,173,,3421,0,0.0,0,-11,50.0,,,,-61.0,,,,481,481,0.0,0.0,-519,0,-519,0,3470,-4204,-71,-521,0,0,3599,-4120,-201,0,-201,43.0,-3454,0.0,-358,250,553,
09/30/2013,1432,1148,649,-689,-307.0,37,-419,325,0.0,0.0,0.0,0.0,0.0,-74,-61,460,,6640,0,0.0,0,-15,317.0,0.0,28.0,289.0,-332.0,0.0,-44.0,-288.0,707,707,0.0,0.0,-3689,0,-3689,0,9637,-7643,-214,-1904,0,0,11254,-13158,-400,0,-400,867.0,-5992,0.0,429,501,1646,
12/31/2013,568,270,190,-51,5.0,10,-66,122,0.0,0.0,0.0,0.0,0.0,6,38,78,,2570,0,0.0,0,-14,102.0,0.0,10.0,92.0,-116.0,0.0,-29.0,-87.0,61,61,0.0,0.0,-866,0,-866,0,3389,-2277,-70,-1077,0,0,3434,-4511,-200,0,-200,282.0,-1212,0.0,861,115,517,
03/31/2014,558,219,185,-154,0.0,18,-172,308,0.0,0.0,0.0,0.0,0.0,109,-69,268,,992,0,0.0,0,-21,69.0,0.0,0.0,69.0,-90.0,0.0,-25.0,-65.0,0,0,0.0,0.0,-1975,0,-1975,0,2988,-2998,-69,-886,0,0,3483,-4369,-200,0,-200,86.0,-1929,0.0,-1448,37,519,
06/30/2014,555,307,165,-254,0.0,10,-264,337,0.0,0.0,0.0,0.0,0.0,-46,37,346,,2236,0,0.0,0,-1,41.0,0.0,3.0,38.0,-42.0,0.0,-3.0,-39.0,0,0,0.0,0.0,-942,0,-942,0,3179,-4897,-64,-3035,0,0,744,-3779,-65,0,-65,640.0,-2373,0.0,-2106,85,486,
09/30/2014,502,359,140,-216,0.0,5,-221,219,0.0,0.0,0.0,0.0,0.0,73,-76,222,,1655,0,0.0,0,3,212.0,0.0,0.0,212.0,-209.0,0.0,0.0,-209.0,0,0,0.0,0.0,-1369,0,-1369,0,3021,-1851,-62,-1737,0,0,1716,-3453,-167,0,-167,0.0,115,0.0,306,110,484,
12/31/2014,49,263,138,-188,0.0,6,-194,-164,0.0,0.0,0.0,0.0,0.0,-211,81,-34,,-6536,0,0.0,0,10,482.0,0.0,1.0,481.0,-472.0,0.0,0.0,-472.0,0,0,0.0,0.0,-9517,0,-9517,0,2971,5988,-54,-1451,-6,0,2650,-4095,-168,0,-168,0.0,7661,0.0,-499,144,494,
03/31/2015,499,292,125,-223,-5.0,12,-230,305,0.0,0.0,0.0,0.0,0.0,148,-60,217,,2740,0,0.0,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,193,193,0.0,0.0,-1011,0,-1011,0,3557,-2631,-63,-1788,0,0,2171,-3959,-300,0,-300,0.0,-480,0.0,608,1,500,
06/30/2015,556,182,198,-61,-7.0,11,-65,237,0.0,0.0,0.0,0.0,0.0,-46,53,230,0.0,2560,0,0.0,0,-2,1.0,0.0,1.0,0.0,-3.0,0.0,0.0,-3.0,193,193,0.0,0.0,-1004,0,-1004,0,3373,-3553,-61,-2646,0,0,1746,-4392,-300,0,-300,0.0,-546,0.0,-437,66,491,
