Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
12/31/1989,193.299988,,,,,,,,,,,,,10.199999,,10.199999,,,0.36,0.36,28.499998,,,,,
03/31/1990,215.0,-149.199997,65.800003,-45.799999,20.0,-6.6,,8.4,21.8,-8.5,13.3,0.0,0.0,13.3,0.0,13.3,13.3,,0.47,0.47,28.299999,,,,,
06/30/1990,196.699997,-150.399994,46.300003,-35.5,10.8,-7.5,,7.2,10.5,-4.1,6.4,0.0,0.0,6.4,0.0,6.4,6.4,,0.23,0.23,28.299999,,,,,
09/30/1990,206.899994,-160.399994,46.5,-37.799999,8.7,-5.9,,7.3,10.1,-1.9,8.2,0.0,0.0,8.2,0.0,8.2,8.2,,0.29,0.29,28.299999,,,,,
01/01/1991,230.600006,-143.100006,87.5,-44.099998,43.400002,-4.8,,2.6,41.200002,-14.2,27.0,0.0,0.0,27.0,0.0,27.0,27.000002,0.95,0.95,0.95,28.2015,0.95,0.95,0.95,28.2015,
03/31/1991,179.0,-127.599998,51.400002,-40.099998,11.3,-5.4,,7.8,13.7,-5.4,8.3,0.0,0.0,8.3,0.0,8.3,8.3,,0.29,0.29,28.299999,,,,,
06/30/1991,207.600006,-165.600006,42.0,-38.700001,3.3,-5.5,,9.0,6.8,-2.3,4.5,0.0,0.0,4.5,0.0,4.5,4.5,,0.16,0.16,28.299999,,,,,
09/30/1991,195.600006,-153.800003,41.800003,-41.5,0.3,-2.4,,5.7,3.6,-1.4,2.2,0.0,0.0,2.2,0.0,2.2,2.2,,0.08,0.08,28.4,,,,,
12/31/1991,214.300003,-168.399994,45.900009,-39.400002,6.5,-3.6,,6.3,9.2,-3.3,5.9,0.0,0.0,5.9,0.0,5.9,5.9,0.21,0.21,0.21,28.280001,0.21,0.21,0.21,28.280001,
03/31/1992,177.0,-146.600006,30.399994,-27.6,2.8,-6.8,0.0,-35.0,-39.0,13.1,-25.9,0.0,0.0,-25.9,0.0,-25.9,-25.9,,-0.91,-0.91,28.299999,,,,,
06/30/1992,189.5,-148.800003,40.699997,-31.299999,9.4,-6.0,0.0,2.8,6.2,-1.4,4.8,0.0,0.0,4.8,0.0,4.8,4.8,,0.17,0.17,28.299999,,,,,
09/30/1992,202.399994,-164.699997,37.699997,-33.0,4.7,-6.4,0.0,14.1,12.4,-4.2,8.2,-5.6,0.0,2.6,0.0,2.6,8.2,,0.29,0.09,28.4,,,,,
12/31/1992,196.899994,-169.199997,27.699997,-16.299999,11.4,-5.4,0.0,12.3,18.3,-6.6,11.7,0.0,0.0,11.7,0.0,11.7,11.7,0.41,0.41,0.41,28.367001,0.41,0.41,0.41,28.367001,
03/31/1993,183.800003,-152.399994,31.400009,-24.700001,6.7,-4.8,0.0,3.1,5.0,-2.3,2.7,0.2,0.0,2.9,0.0,2.9,2.7,,0.09,0.1,28.5,,,,,
06/30/1993,189.300003,-149.300003,40.0,-30.0,10.0,-5.4,0.0,5.4,10.0,-4.4,5.6,0.0,0.0,5.6,0.0,5.6,5.6,,0.2,0.2,28.799999,,,,,
09/30/1993,188.0,-156.100006,31.899994,-30.0,1.9,-4.8,0.0,5.5,2.6,-4.4,-1.8,0.0,0.0,-1.8,0.0,-1.8,-1.8,,-0.06,-0.06,28.9,,,,,
12/31/1993,209.199997,-182.199997,27.0,-37.799999,-10.8,-13.3,0.0,31.1,7.0,-0.8,6.2,-3.3,0.0,2.9,0.0,2.9,6.2,0.19,0.19,0.09,31.700001,0.19,0.19,0.09,31.700001,
03/31/1994,200.5,-175.600006,24.899994,-26.1,-1.2,-6.1,0.0,16.200001,8.900001,-2.7,6.2,0.0,0.0,6.2,0.0,6.2,6.200001,,0.19,0.19,33.299999,,,,,
06/30/1994,186.5,-149.100006,37.399994,-33.5,3.9,-5.9,0.0,4.2,2.2,-1.6,0.6,0.0,0.0,0.6,0.0,0.6,0.6,,0.02,0.02,33.400002,,,,,
09/30/1994,197.399994,-167.399994,30.0,-42.400002,-12.4,-6.7,0.0,0.5,-18.599999,7.3,-11.3,0.0,0.0,-11.3,0.0,-11.3,-11.299999,,-0.34,-0.34,33.400002,,,,,
12/31/1994,198.100006,-180.699997,17.400009,-37.700001,-20.299999,-6.9,0.0,-310.899994,-338.099993,115.699997,-222.399994,0.0,0.0,-222.399994,0.0,-222.399994,-222.399996,-6.64,-6.64,-6.64,33.5,-6.64,-6.64,-6.64,33.5,
03/31/1995,191.300003,-146.0,45.300003,-32.299999,13.0,-9.4,0.0,1.8,5.4,-1.9,3.5,0.0,0.0,3.5,0.0,3.5,3.5,,0.11,0.11,33.5,,,,,
