Date,Revenue,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,1537.333984,-1697.47998,-160.145996,-27.872999,,15.654,-172.364995,134.399994,-37.965,0.0,0,-37.965,-8.279,,-46.244,,,-46.244001,,-1.05,-1.05,44.154999,-1.05,-1.05,-1.05,44.154999,
06/30/1990,1713.171997,-1653.817993,59.354,-31.181,,-12.802,15.371,-90.5,-75.128998,0.0,0,-75.128998,-8.279,,-83.407998,,,-83.408,,-1.86,-1.86,44.754002,-1.86,-1.86,-1.86,44.754002,
09/30/1990,1644.42395,-1774.635986,-130.212006,-37.722,,-5.957,-173.891006,53.597,-120.293999,0.0,0,-120.293999,-8.279,,-128.572999,,,-128.573006,,-2.87,-2.87,44.834,-2.87,-2.87,-2.87,44.834,
12/31/1990,1663.676025,-1933.795044,-270.118988,-63.231998,,8.788,-324.562986,103.502998,-221.059998,0.0,0,-221.059998,-8.278,,-229.337998,,,-229.337988,-5.06,-5.06,-5.06,45.299999,-5.06,-5.06,-5.06,45.299999,
03/31/1991,1581.571045,-1742.954956,-161.384003,-55.125,,5.644,-210.865003,42.173,-168.692001,0.0,0,-168.692001,-8.279,,-176.971002,,,-176.971003,,-3.88,-3.88,45.591,-3.88,-3.88,-3.88,45.591,
06/30/1991,1664.843018,-1692.715942,-27.872999,-56.172001,,-18.174,-102.219,45.426998,-56.792,0.0,0,-56.792,-8.279,,-65.071,,,-65.071002,,-1.47,-1.47,45.661999,-1.47,-1.47,-1.47,45.661999,
09/30/1991,1598.823975,-1644.270996,-45.446999,-52.701,,-6.501,-104.648999,23.243999,-81.404999,0.0,0,-81.404999,-12.475,,-93.879999,,,-93.88,,-2.06,-2.06,45.869999,-2.06,-2.06,-2.06,45.869999,
12/31/1991,1668.833008,-1607.635986,61.196999,-59.563,,1.298,2.931999,-1.301,1.631,0.0,0,1.631,-12.941,,-11.31,,,-11.310001,-0.24,-0.24,-0.24,46.354,-0.24,-0.24,-0.24,46.354,
03/31/1992,1651.265015,-1699.860962,-48.596001,-55.036999,,-6.528,-110.160999,0.0,-110.161003,-628.098007,0,-738.258972,-12.942,,-751.200973,,,-123.103,,-2.63,-16.049999,46.805,-2.63,-2.63,-16.049999,46.805,
06/30/1992,1699.890015,-1767.784058,-67.893997,-55.493999,,-7.69,-131.077997,0.0,-131.078003,0.0,0,-131.078003,-12.941,,-144.019003,,,-144.018997,,-3.07,-3.07,46.965,-3.07,-3.07,-3.07,46.965,
09/30/1992,1700.428955,-1761.165039,-60.736,-53.646,,8.843,-105.539,0.0,-105.539001,0.0,0,-105.539001,-12.941,,-118.480001,,,-118.48,,-2.51,-2.51,47.116001,-2.51,-2.51,-2.51,47.116001,
12/31/1992,1634.828003,-1794.078979,-159.251007,-56.712002,,-38.077,-254.040009,0.0,-254.039993,0.0,0,-254.039993,-12.942,,-266.981993,,,-266.982009,-5.66,-5.66,-5.66,47.196999,-5.66,-5.66,-5.66,47.196999,
03/31/1993,1716.340942,-1714.31897,2.022,-55.381001,,-7.673,-61.032,0.0,-61.032001,0.0,0,-61.032001,-16.908001,,-77.940002,,,-77.940001,,-1.65,-1.65,47.317001,-1.65,-1.65,-1.65,47.317001,
06/30/1993,1815.767944,-1749.588013,66.18,-56.108002,,-4.238,5.833999,0.0,5.834,0.0,0,5.834,-18.408001,,-12.574001,,,-12.574002,,-0.23,-0.23,54.597,-0.23,-0.23,-0.23,54.597,
09/30/1993,1748.608032,-1859.119995,-110.512001,-60.387001,,-6.73,-177.629002,0.0,-177.628998,0.0,0,-177.628998,-19.179001,,-196.807999,,,-196.808003,,-3.33,-3.33,59.068001,-3.33,-3.33,-3.33,59.068001,
12/31/1993,1342.331055,-1428.760986,-86.43,-66.751999,,10.961,-142.220999,0.0,-142.220993,-43.749001,0,-185.970001,-19.156,,-205.126001,,,-161.376999,-2.73,-2.73,-3.47,59.189999,-2.73,-2.73,-3.47,59.189999,
03/31/1994,1685.901001,-1825.889038,-139.988007,-68.668999,,12.002,-196.655005,0.0,-196.654999,0.0,0,-196.654999,-19.219999,,-215.874998,,,-215.875005,,-3.64,-3.64,59.273998,-3.64,-3.64,-3.64,59.273998,
06/30/1994,1879.551025,-1801.498047,78.053001,-70.310997,,6.071,13.813004,0.0,13.813,0.0,0,13.813,-19.334999,,-5.521999,,,-5.521995,,-0.09,-0.09,59.616001,-0.09,-0.09,-0.09,59.616001,
