Date,Cash From Operating Activities,Net Income,D&A and Provision for Loan Losses,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Capital Expenditures,Increase in Investments,Decrease in Investments,Change in Loans,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Increase(Decrease) in Deposits,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,119,119.0,,,,,,,,,,,,,,,,,,,,,
06/30/1990,120,120.0,,,,,,,,,,,,,,,,,,,,,
09/30/1990,79,79.0,,,,,,,,,,,,,,,,,,,,,
12/31/1990,-492,-15.0,,,,,,,,,,,,,,,,,,,,,
03/31/1991,273,273.0,,,,,,,,,,,,,,,,,,,,,
06/30/1991,178,178.0,,,,,,,,,,,,,,,,,,,,,
09/30/1991,85,85.0,,,,,,,,,,,,,,,,,,,,,
12/31/1991,-2077,-29.0,,,,,,,,,,,,,,,,,,,,,
03/31/1992,190,190.0,,,,,,,,,,,,,,,,,,,,,
06/30/1992,211,211.0,,,,,,,,,,,,,,,,,,,,,
09/30/1992,6,6.0,,,,,,,,,,,,,,,,,,,,,
12/31/1992,-1531,143.0,,,,,,,,,,,,,,,,,,,,,
03/31/1993,-904,-102.0,,,,,,,,,,,,,,,,,,,,,
06/30/1993,-204,433.0,,,,,,,,,,,,,,,,,,,,,
09/30/1993,-333,20.0,,,,,,,,,,,,,,,,,,,,,
12/31/1993,-1341,476.0,,,,,,,,,,,,,,,,,,,,,
03/31/1994,66,66.0,,,,,,,,,,,,,,,,,,,,,
06/30/1994,-204,-204.0,,,,,,,,,,,,,,,,,,,,,
09/30/1994,-4697,-104.0,,,,,,,,,,,,,,,,,,,,,
12/31/1994,1,-157.0,,,,,,,,,,,,,,,,,,,,,
03/31/1995,-1449,81.0,21.0,174.0,-1725.0,,-78.0,,,,,,,,,,,,,,,,
06/30/1995,1525,-60.0,48.0,-21.0,1558.0,,-76.0,,,,,,,,,,,,,,,,
09/30/1995,606,268.0,41.0,-153.0,450.0,,-82.0,,,,,,,,,,,,,,,,
12/31/1995,-43,168.0,30.0,-279.0,38.0,,-66.0,,,,,,,,,,,,,,,,
03/31/1996,389,276.0,44.0,-70.0,139.0,,-30.0,,,,,,,,,,,,,,,,
06/30/1996,-812,291.0,13.0,-2.0,-1114.0,,-39.0,,,,,,,,,,,,,,,,
09/30/1996,-5,112.0,28.0,-85.0,-60.0,,-35.0,,,,,,,,,,,,,,,,
12/31/1996,-832,-62.0,79.0,198.0,-1047.0,,-25.0,,,,,,,,,,,,,,,,
03/31/1997,-1322,173.0,24.0,-200.0,-1319.0,,-11.0,,,,,,,,,,,,,,,,
06/30/1997,-866,220.0,18.0,129.0,-1233.0,,-16.0,,,,,,,,,,,,,,,,
09/30/1997,-1645,206.0,19.0,82.0,-1952.0,,-13.0,,,,,,,,,,,,,,,,
03/31/2017,-3405,,,-3405.0,,-1116.0,0.0,-7630.0,6514.0,0.0,0.0,3478.0,0.0,9543.0,6441.0,-12506.0,0.0,0.0,0.0,0.0,-1043.0,,
06/30/2017,-14655,,1.0,-14656.0,,10003.0,0.0,-5870.0,14757.0,0.0,10003.0,4641.0,0.0,-6775.0,11416.0,-3100.0,0.0,0.0,0.0,0.0,-11.0,,
09/30/2017,2823,,-1.0,2824.0,,-12194.0,0.0,,,0.0,-12194.0,10254.0,0.0,5670.0,4644.0,,0.0,0.0,0.0,-60.0,883.0,,
12/31/2017,-18122,,,-18122.0,,22083.0,0.0,,,0.0,22083.0,-4352.0,0.0,-2295.0,,-1369.0,0.0,0.0,0.0,-688.0,-391.0,,
03/31/2018,7046,,,7046.0,,-25779.0,0.0,-25770.0,0.0,0.0,-9.0,20183.0,0.0,7817.0,13363.0,-412.0,0.0,0.0,0.0,-585.0,1450.0,,
06/30/2018,-5839,,,-5839.0,,-6450.0,0.0,-6433.0,0.0,0.0,-17.0,11546.0,0.0,-6572.0,18809.0,-613.0,0.0,0.0,0.0,-78.0,-743.0,,
09/30/2018,15025,,-3.0,15028.0,,-18108.0,0.0,-18096.0,3.0,0.0,-15.0,2017.0,0.0,-15226.0,17243.0,,0.0,0.0,0.0,0.0,-1066.0,,
12/31/2018,-2945,,-19.0,-2926.0,,15413.0,0.0,,,0.0,15413.0,-9127.0,0.0,18412.0,,-27404.0,0.0,0.0,0.0,-135.0,3341.0,,
03/31/2019,-30786,,,-30786.0,,95.0,0.0,-6636.0,6748.0,0.0,-17.0,31452.0,0.0,11954.0,20793.0,-1295.0,0.0,0.0,0.0,0.0,761.0,,
06/30/2019,-9007,,,-9007.0,,-1223.0,0.0,,,0.0,-1223.0,8392.0,0.0,111.0,10927.0,-2646.0,0.0,0.0,0.0,0.0,-1838.0,,
09/30/2019,-11955,,,-11955.0,,3794.0,0.0,,,0.0,3794.0,11044.0,-155.0,9001.0,4014.0,-1742.0,0.0,0.0,0.0,-74.0,2883.0,,
12/31/2019,16352,,,16352.0,,12211.0,0.0,,,0.0,12211.0,-29605.0,,-7783.0,,-21724.0,0.0,0.0,0.0,-98.0,-1042.0,,
03/31/2020,-38869,,-1.0,-38868.0,,-17863.0,0.0,-17863.0,0.0,0.0,0.0,59789.0,0.0,9941.0,49967.0,0.0,0.0,0.0,0.0,-119.0,3057.0,,
