Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Source: Bloomberg
03/24/1990,51.314999,,51.132002,,2.456446,0.375401,0.22,0.22,,,,,0.066667,0.507901,,0.77679,5.428588,
06/16/1990,51.394501,,51.715502,,2.569539,0.413512,0.233333,0.233333,,,,,0.066667,0.351616,,0.589265,5.622897,
09/08/1990,51.535498,,52.027502,,2.626207,0.416991,0.233333,0.233333,,,,,0.066667,0.59753,,0.42429,5.863997,
12/29/1990,56.724003,,54.129747,,3.581469,0.615909,0.366667,0.366667,,,,,0.066667,0.6797,,0.585766,7.577621,
03/23/1991,56.773998,,57.375999,,2.670019,0.353371,0.2,0.2,,,,,0.08,0.372996,,0.328143,7.59138,
06/15/1991,56.796001,,57.487,,2.768417,0.399482,0.23,0.23,,,,,0.08,0.441178,,0.27016,7.67584,
09/07/1991,56.921001,,57.512001,,2.782202,0.418313,0.23,0.23,,,,,0.08,0.461573,,0.461499,7.902549,
12/28/1991,56.949001,,56.935001,,3.910564,0.477738,0.24,0.24,,,,,0.08,0.484834,,0.350893,8.140986,
03/21/1992,57.396,,57.673,,3.015952,0.390963,0.22,0.21,,,,,0.085,0.728885,,0.560858,8.347864,
06/13/1992,57.407001,,57.852001,,3.182241,0.452119,0.25,0.25,,,,,0.085,0.426105,,0.425749,8.590415,
09/05/1992,57.587002,,57.966,,3.185264,0.260411,0.1,0.1,,,,,0.085,0.548149,,0.680692,8.760953,
01/02/1993,57.667999,,58.074997,,4.336927,0.374309,0.22,0.22,,,,,0.085,0.877228,,0.530017,8.533242,
03/27/1993,57.673,,57.886002,,3.140967,0.278772,0.15,0.15,,,,,0.09,0.256366,,0.396043,8.590537,
06/19/1993,57.679001,,57.676998,,3.282314,0.337916,0.18,0.18,,,,,0.09,0.643255,,0.486277,8.646717,
09/11/1993,57.683998,,57.681,,3.1561,0.272065,0.1,0.1,,,,,0.09,0.552123,,0.537359,8.670793,
01/01/1994,57.683998,,57.683998,,4.200974,0.335206,-2.19,-2.19,,,,,0.09,0.9089,,0.30121,6.287082,
03/26/1994,57.683998,,57.696999,,3.064492,0.336135,0.17,0.17,,,,,0.09,0.289842,,0.35327,6.369409,
06/18/1994,57.683998,,57.709999,,3.176815,0.398787,0.2,0.2,,,,,0.09,-1.138382,,0.35528,6.509136,
09/10/1994,57.755001,,57.847,,3.148806,0.41506,0.21,0.21,,,,,0.09,2.440438,,0.419184,6.69381,
12/31/1994,57.755001,,57.773998,,4.309413,0.569564,0.29,0.29,,,,,0.09,0.583429,,0.363865,6.862367,
03/25/1995,57.755001,,57.819,,3.364967,0.424981,0.21,0.21,,,,,0.09,0.458154,0.112524,0.487161,7.029417,
06/17/1995,57.757,,57.905998,,3.508997,0.429714,0.21,0.21,,,,,0.09,0.254896,-0.053863,0.334695,7.188445,
09/09/1995,57.868999,,57.848999,,3.414562,0.401096,0.19,0.19,,,,,0.09,0.756245,0.490951,0.649933,7.28034,
12/31/1995,57.868999,,57.880001,,4.56066,0.618607,0.31,0.31,,,,,0.09,0.690117,0.259934,0.384282,7.489934,
03/23/1996,57.868999,,57.903,,3.483809,0.451997,0.23,0.23,0.23,,,,0.09,0.40668,0.210904,0.510671,7.597919,
06/15/1996,58.145,,58.041,,3.641477,0.456022,0.23,0.23,0.23,,,,0.09,0.560742,0.291191,0.552206,7.74837,
09/07/1996,58.243,,58.330002,,3.653317,0.469193,0.24,0.24,0.24,,,,0.09,0.255272,0.011075,0.279244,7.938276,
12/28/1996,58.247002,,58.363998,,5.087897,0.676479,0.35,0.35,0.35,,,,0.09,0.770355,0.831266,0.182808,8.245746,
03/22/1997,58.27,58.419998,58.285999,,3.778437,0.404402,0.2,0.2,0.2,0.2,0.2,0.2,0.09,0.319802,0.116512,0.319633,8.238322,
06/14/1997,58.272999,58.419998,58.285999,,3.944824,0.437343,0.23,0.23,0.23,0.23,0.23,0.23,0.09,0.775092,0.57911,0.254166,8.360167,
09/06/1997,58.401001,58.665001,58.599998,,3.925154,0.467372,0.26,0.26,0.28,0.26,0.26,0.28,0.09,0.615273,0.404812,0.227273,8.488176,
01/03/1998,59.191002,59.921001,58.661999,,5.586768,0.749633,0.39,0.39,0.42,0.38,0.38,0.42,0.09,1.093417,1.093417,0.189252,8.945059,
