Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Source: Bloomberg
03/31/2009,1041,-611.0,430.0,-452.0,-22.0,-70.0,0.0,-1348.0,-1440.0,-3.0,-1443.0,-201.0,-18.0,-1662,0.0,0.0,-1662,1141.0,,-320.0,
06/30/2009,1009,-540.0,469.0,-319.0,150.0,-67.0,0.0,-203.0,-120.0,-16.0,-136.0,-119.0,-6.0,-261,0.0,0.0,-261,62.0,-21.7,-101.7,
09/30/2009,1045,-574.0,471.0,-402.0,69.0,-68.0,0.0,-324.0,-323.0,-10.0,-333.0,-163.0,-1.0,-497,0.0,0.0,-497,223.0,,-111.0,
03/31/2010,362,-265.0,97.0,-189.0,-92.0,-68.0,0.0,535.0,375.0,-9.0,366.0,-1.0,-2.0,363,0.0,0.0,363,-495.0,,-131.0,
06/30/2010,145,-139.0,6.0,-61.0,-55.0,-68.0,0.0,-1445.0,-1568.0,42.0,-1526.0,35.0,-2.0,-1493,0.0,0.0,-1493,1386.0,-485.1,-627.1,
09/30/2010,85,-88.0,-3.0,-17.0,-20.0,-71.0,0.0,-547.0,-638.0,4.0,-634.0,-5.0,-2.0,-641,0.0,0.0,-641,529.0,-185.15,-292.15,
12/31/2010,28,-40.0,-12.0,-76.0,-167.0,-72.0,0.0,-2130.0,-2369.0,7.0,-2283.0,-5.0,-1.0,-2289,0.0,0.0,-2289,2197.0,496.65,330.65,
03/31/2011,20,-22.0,-2.0,-13.0,-15.0,-72.0,0.0,-14.0,-101.0,1.0,-100.0,-1.0,0.0,-101,0.0,0.0,-101,2.0,,-98.0,
06/30/2011,1,,,,,,,,,,-122.0,,,-122,,,-122,,,,
09/30/2011,3,,,,,,,,,,4066.0,,,4066,,,4066,,,,
12/31/2011,3,,,,,,,,,,,,,-167,,,-167,,,,
03/31/2012,1,,,,,,,,,,-62.0,,1.0,-61,,,-61,,,,
