Date,Revenue,Sales & Services Revenue,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2013,562.0,562.0,0.0,-397.8,167.0,37.2,193.6,164.2,-161.1,156.2,156.3,-0.1,0.8,4.1,3.1,3.4,6.5,0.0,0.0,0.0,6.5,,6.5,,0.0,6.5,11.895,5.395,,,,,,,,,
06/30/2013,676.5,676.5,0.0,-440.4,179.1,34.3,227.0,236.1,-175.8,161.6,161.6,0.0,11.7,2.5,60.3,-23.2,37.1,0.0,0.0,0.0,37.1,,37.1,,0.0,37.1,47.5,10.4,,,,,,,,,
09/30/2013,692.7,692.7,0.0,-533.0,179.9,35.1,318.0,159.7,-169.8,155.3,157.4,-2.1,9.4,5.1,-10.1,-8.3,-18.4,0.0,0.0,0.0,-18.4,,-18.4,,0.0,-18.4,39.06,57.46,,,,,,,,,
12/31/2013,696.2,696.2,0.0,-828.3,186.6,39.3,602.4,-132.1,-167.6,155.7,157.0,-1.3,14.3,-2.4,-299.7,490.5,190.8,0.0,0.0,0.0,190.8,0.2,191.0,,0.0,191.0,184.3668,-6.6332,,,,,,,,,
03/31/2014,621.1,621.1,0.0,-425.8,170.8,39.3,215.7,195.3,-189.4,149.6,151.0,-1.4,20.5,19.3,5.9,-2.3,3.6,0.0,0.0,0.0,3.6,0.2,3.8,,0.0,3.8,18.295,14.495,10.791,0.35,0.35,1.695394,10.912,0.35,0.35,1.678354,
06/30/2014,833.7,833.7,0.0,-542.0,187.2,40.5,314.3,291.7,-181.0,149.1,150.6,-1.5,32.6,-0.7,110.7,-15.3,95.4,0.0,0.0,0.0,95.4,0.3,95.7,,0.0,95.7,97.78,2.08,10.791,8.868502,8.868502,9.061255,20.63,4.638875,4.638875,4.739699,
09/30/2014,728.9,728.9,0.0,-493.7,184.7,40.2,268.8,235.2,-177.2,149.1,150.5,-1.4,29.1,-1.0,58.0,-17.8,40.2,0.0,0.0,0.0,40.2,0.2,40.4,,0.0,40.4,54.7,14.3,10.788,3.744902,3.744902,5.070449,15.774,2.561177,2.561177,3.467732,
12/31/2014,727.7,727.7,0.0,-815.9,176.1,43.8,596.0,-88.2,-151.6,148.9,150.6,-1.7,3.0,-0.3,-239.8,101.5,-138.3,0.0,0.0,0.0,-138.3,0.3,-138.0,0.0,0.0,-138.0,96.52,234.52,10.794,-12.78488,-12.78488,8.942005,10.794,-12.78488,-12.78488,8.942005,
03/31/2015,624.7,624.7,0.0,-597.6,170.9,42.6,384.1,27.1,-233.5,145.1,147.3,-2.2,14.9,73.5,-206.4,64.0,-142.4,0.0,0.0,0.0,-142.4,0.1,-142.3,0.0,0.0,-142.3,-88.35,53.95,10.802,-13.17,-13.17,-8.179041,10.802,-13.17,-13.17,-8.179041,
06/30/2015,696.3,696.3,0.0,-498.8,175.7,43.0,280.1,197.5,-205.7,139.2,141.7,-2.5,7.6,58.9,-8.2,-27.6,-35.8,0.0,0.0,0.0,-35.8,0.4,-35.4,0.0,0.0,-35.4,53.715,89.115,10.816,-3.272929,-3.272929,4.966254,10.816,-3.272929,-3.272929,4.966254,
09/30/2015,801.5,801.5,0.0,-505.4,186.0,42.4,277.0,296.1,-288.3,135.0,137.6,-2.6,17.4,135.9,7.8,153.8,161.6,0.0,0.0,0.0,161.6,0.2,161.8,0.0,0.0,161.8,268.4,106.6,11.103,14.572638,14.572638,24.173647,11.103,14.572638,14.572638,24.173647,
12/31/2015,735.9,735.9,0.0,-645.6,196.0,43.1,406.5,90.3,-141.5,134.1,136.7,-2.6,7.0,0.4,-51.2,-11.8,-63.0,0.0,0.0,0.0,-63.0,0.2,-62.8,0.0,0.0,-62.8,51.665,114.465,11.31,-5.552608,-5.552608,4.568081,11.31,-5.552608,-5.552608,4.568081,
03/31/2016,660.4,660.4,0.0,-420.8,169.2,44.3,207.3,239.6,-139.4,133.4,136.0,-2.6,2.7,3.3,100.2,-36.1,64.1,0.0,0.0,0.0,64.1,1.6,65.7,,,65.7,70.705,5.005,,,,,,,,,
06/30/2016,800.3,800.3,0.0,-532.8,188.5,45.7,298.6,267.5,-152.9,129.7,132.5,-2.8,5.5,17.7,114.6,-41.2,73.4,0.0,0.0,0.0,73.4,1.3,74.7,,0.0,74.7,90.04,15.34,,,,,,,,,
06/30/2020,531.0,531.0,0.0,-406.6,137.2,39.1,230.3,124.4,-159.3,105.6,105.9,-0.3,,53.7,-34.9,7.6,-27.3,0.0,0.0,0.0,-27.3,0.0,-27.3,0.0,0.0,-27.3,66.315,93.615,,,,,,,,,
09/30/2016,735.0,,,,,,,266.0,,,,,,,143.0,,,,,,,,,,,,89.4,,,,,,,,,,
12/31/2016,847.0,,,,,,,338.0,,,,,,,213.0,,,,,,,,,,,,132.0,,,,,,,,,,
