Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
06/30/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,
06/30/2012,237.0,-2218.0,125.0,2282.0,,2282.0,48.0,18.0,10.0,20.0,0.0,-260.0,-21.0,69.0,69.0,0.0,-90.0,-90.0,0.0,0.0,0.0,0.0,-10.0,0.0,-10.0,0.0,-229.0,-22,0.0,0.0,0.0,,,0,0.0,0.0,-22.0,-16.0,-61.0,,,
09/30/2012,-87.0,-92.0,125.0,-61.0,-57.0,-4.0,-59.0,-25.0,-21.0,-13.0,0.0,-294.0,-64.0,0.0,0.0,0.0,-64.0,-64.0,0.0,0.0,0.0,0.0,-230.0,0.0,-228.0,-2.0,0.0,244,-11.0,0.0,0.0,0.0,0.0,0,0.0,0.0,255.0,14.0,-123.0,,,
12/31/2012,92.0,1399.0,129.0,-1191.0,-25.0,-1166.0,-245.0,-163.0,32.0,-114.0,0.0,-1978.0,-77.0,0.0,0.0,0.0,-77.0,-77.0,0.0,0.0,0.0,0.0,-1927.0,0.0,-1926.0,-1.0,26.0,1617,0.0,-235.0,,,,0,0.0,0.0,1852.0,0.0,-269.0,,,
03/31/2013,415.0,323.0,144.0,-346.0,-15.0,-331.0,294.0,126.0,-90.0,258.0,0.0,580.0,-86.0,0.0,0.0,0.0,-86.0,-86.0,0.0,0.0,0.0,0.0,-10.0,0.0,-3.0,-7.0,676.0,-198,-9.0,0.0,,,,0,0.0,0.0,-189.0,1.0,798.0,,,
06/30/2013,81.0,-1124.0,150.0,1151.0,-56.0,1207.0,-96.0,62.0,64.0,-222.0,0.0,18.0,-807.0,0.0,0.0,0.0,-807.0,-807.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,5.0,819.0,823,0.0,0.0,,,,0,0.0,0.0,823.0,-80.0,842.0,,,
09/30/2013,59.0,27.0,141.0,-39.0,5.0,-44.0,-70.0,-74.0,32.0,-28.0,0.0,27.0,-67.0,0.0,0.0,0.0,-67.0,-67.0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,0.0,96.0,205,-12.0,0.0,0.0,0.0,0.0,0,0.0,0.0,217.0,16.0,307.0,,,
12/31/2013,348.0,151.0,138.0,138.0,80.0,58.0,-79.0,-170.0,19.0,72.0,0.0,-102.0,-80.0,0.0,0.0,0.0,-80.0,-80.0,0.0,0.0,0.0,0.0,-26.0,0.0,-24.0,-2.0,4.0,-1,-1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-25.0,220.0,,,
03/31/2014,396.0,48.0,142.0,-17.0,0.0,-17.0,223.0,104.0,-83.0,202.0,0.0,-111.0,-97.0,0.0,0.0,0.0,-97.0,-97.0,0.0,0.0,0.0,0.0,-23.0,0.0,-13.0,-10.0,9.0,-13,-10.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-3.0,27.0,299.0,,,
06/30/2014,226.0,13.0,131.0,91.0,24.0,67.0,-151.0,38.0,56.0,-245.0,-196.0,-99.0,-114.0,0.0,0.0,0.0,-114.0,-114.0,0.0,0.0,0.0,0.0,5.0,0.0,-6.0,11.0,10.0,-198,-1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-1.0,9.0,-62.0,,,
