Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
12/31/2014,404.7,228.9,42.2,-2.9,7.9,-10.8,136.5,6.5,28.4,35.0,66.6,0.0,-22.3,-31.2,0.0,0.0,0.0,-31.2,-31.2,0,0,0,0,0.0,0,0.0,0,8.9,-382.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-382.4,0.0,0.0,
04/03/2015,94.6,203.7,43.7,8.9,8.9,0.0,-161.7,5.1,-42.7,-14.1,-110.0,0.0,-21.5,-24.1,0.0,0.0,0.0,-24.1,-24.1,0,0,0,0,0.0,0,0.0,0,2.6,-73.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.1,0.0,0.0,
07/03/2015,384.8,431.1,88.6,15.8,15.8,0.0,-150.7,-13.2,-41.9,13.4,-109.0,0.0,-49.7,-52.4,0.0,0.0,0.0,-52.4,-52.4,0,0,0,0,0.0,0,0.0,0,2.7,-335.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-335.1,0.0,0.0,
10/02/2015,236.3,196.6,43.6,20.5,8.5,12.0,-24.4,-23.0,-10.9,-12.9,22.4,0.0,-34.2,-34.6,0.0,0.0,0.0,-34.6,-34.6,0,0,0,0,0.0,0,0.0,0,0.4,-202.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-202.1,0.0,0.0,
12/31/2015,387.9,236.1,44.7,18.9,10.9,8.0,88.2,-15.6,25.1,53.1,25.6,0.0,-90.2,-33.1,0.0,,,-33.1,-33.1,0,0,0,0,-37.1,0,-37.1,0,-20.0,-297.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-297.7,0.0,0.0,
04/01/2016,177.2,182.0,43.9,11.5,11.5,0.0,-60.2,61.0,-24.6,-39.0,-57.6,0.0,-39.2,-28.4,0.0,0.0,0.0,-28.4,-28.4,0,0,0,0,-12.8,0,-12.8,0,2.0,-138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-138.0,0.0,0.0,
07/01/2016,310.6,238.9,44.9,10.9,10.9,0.0,15.9,-31.1,-11.7,27.0,31.7,0.0,-30.6,-33.0,0.0,0.0,0.0,-33.0,-33.0,0,0,0,0,0.0,0,0.0,0,2.4,207.2,0.0,3370.1,,3370.1,0.0,0.0,0.0,0.0,-3162.9,0.0,487.2,
09/30/2016,331.6,226.9,45.1,15.5,12.0,3.5,44.1,-20.0,1.4,-25.4,88.1,0.0,-206.5,-28.6,0.0,0.0,0.0,-28.6,-28.6,0,0,0,0,-177.8,0,-177.8,0,-0.1,111.6,-24.2,138.5,,,,0.0,0.0,0.0,-2.7,0.9,237.6,
12/31/2016,317.5,224.5,27.0,-139.8,6.3,-146.1,51.3,23.9,3.6,49.7,-25.9,1.4,-34.5,-20.1,0.0,,,-20.1,-20.1,0,0,0,0,0.5,0,0.5,0,4.7,-177.0,-24.2,-156.7,,,,0.0,0.0,0.0,2.5,-27.6,78.4,
03/31/2017,148.3,199.7,36.7,12.0,12.0,0.0,-100.1,10.0,-24.2,-47.5,-38.4,0.0,-27.4,-26.8,0.0,0.0,0.0,-26.8,-26.8,0,0,0,0,0.0,0,0.0,0,-0.6,-119.4,-24.2,-95.5,-95.5,0.0,0.0,0.0,0.0,0.0,0.3,12.9,14.4,
