Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/2006,605,214,238,-1,,-9,8,154,54,52.0,48,,-162,-162,22,,,-184,,,,,,,,,,0,-194,-194,,,,,,,,,,249,-24,28,
06/30/2006,576,216,254,-12,,-29,17,118,-72,40.0,150,,-262,-262,3,,,-265,,,,,,,,,,0,-616,0,,,,,,,,-616.0,,-302,216,10,
09/30/2006,574,160,267,64,,74,-10,83,-21,-39.0,143,,-247,-247,13,,,-260,,,,,,,,,,0,-269,-75,1395.0,,,,10.0,10.0,,-1599.0,,58,122,37,
12/31/2006,298,194,268,-38,,-105,67,-126,4,-24.0,-106,,-209,-209,5,,,-214,,,0.0,0.0,0.0,,,,,0,-144,-75,-85.0,,,,13.0,13.0,0.0,3.0,,-55,34,215,
03/31/2007,480,160,270,-11,,-36,25,61,14,-28.0,75,,-163,-166,17,,,-183,,,0.0,0.0,0.0,,,,,3,-324,-4,-360.0,,,,38.0,40.0,-2.0,2.0,,-7,49,37,
06/30/2007,225,176,264,48,,-16,64,-263,-40,-2.0,-221,,-185,-187,1,,,-188,,,0.0,0.0,0.0,,,,,2,-72,-170,28.0,,,,69.0,69.0,0.0,1.0,,-32,241,184,
09/30/2007,522,157,260,16,,34,-18,89,-46,13.0,122,,-192,-194,1,,,-195,,,0.0,0.0,0.0,,,,,2,-334,-97,-250.0,,,,10.0,10.0,0.0,3.0,,-4,50,31,
12/31/2007,397,190,263,8,,-25,33,-64,-3,13.0,-74,,-254,-257,6,,,-263,,,0.0,0.0,0.0,,,,,3,-84,-96,5.0,,,,-10.0,0.0,-10.0,17.0,,59,0,0,
03/31/2008,593,212,250,3,9.0,-20,14,128,18,,110,,-175,-177,2,,,-179,,,0.0,0.0,0.0,,,,,2,-435,-107,-205.0,,,,-114.0,1.0,-115.0,-9.0,,-17,4,25,
06/30/2008,250,206,247,47,,-1,48,-250,-30,11.0,-231,,-179,-181,0,,,-181,,,0.0,0.0,0.0,,,,,2,-73,-101,296.0,,,,-266.0,9.0,-275.0,-2.0,,-2,0,0,
09/30/2008,530,160,252,36,,36,0,82,11,-9.0,80,,-162,-164,8,,,-172,,,0.0,0.0,0.0,,,,,2,-335,-98,-130.0,,,,-106.0,4.0,-110.0,-1.0,,33,293,227,
12/31/2008,375,191,253,84,,83,1,-153,-2,14.0,-165,,-148,-153,1,,,-154,,,0.0,0.0,0.0,,,,,5,-203,-98,-95.0,,,,-1.0,0.0,-1.0,-9.0,,24,90,180,
03/31/2009,634,174,244,105,6.0,79,20,85,28,,57,12.0,-86,-98,10,10.0,0.0,-108,-108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-560,-100,-455.0,0.0,0.0,-455.0,0.0,0.0,0.0,-5.0,0.0,-12,-7,16,
06/30/2009,445,204,244,-3,8.0,9,-20,0,-10,,10,-1.0,-139,-138,9,9.0,0.0,-147,-147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-324,-99,-232.0,0.0,50.0,-282.0,10.0,10.0,0.0,-3.0,0.0,-18,28,173,
