Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Other Non-Cash Adj,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
03/31/2012,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/2012,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/2012,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2012,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/2013,0.0,64,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,8.0,1350.0,-1342.0,0.0,0.0,0.0,0.0,0.0,0.0,
06/30/2013,0.0,51,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-2.0,-4.0,0.0,0.0,0.0,6.0,0.0,0.0,
09/30/2013,0.0,54,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,,-3.0,0.0,0.0,0.0,3.0,0.0,0.0,
12/31/2013,0.0,50,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,,-4.0,0.0,0.0,0.0,4.0,0.0,0.0,
03/31/2014,0.0,28,,,,0.0,-150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,150.0,0.0,235.0,925.0,-690.0,0.0,0.0,0.0,-85.0,0.0,0.0,
06/30/2014,0.0,54,,,,0.0,-205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-205.0,205.0,0.0,230.0,230.0,,0.0,0.0,0.0,-25.0,0.0,0.0,
06/30/2018,92.0,86,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2018,,135,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
