Date,Basic Shares Outstanding,Basic Weighted Avg Shares,Per Share Data Items,Revenue,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Dividends,Cash Flow,Cash & Equivalents,Book Value,Source: Bloomberg
03/31/1990,102.545998,102.435997,,31.444025,0.992815,0.87,0.87,0.6,11.257761,36.999007,46.609327,
06/30/1990,102.198997,102.126999,,29.565149,1.241591,0.98,0.98,0.6,-2.399953,26.215521,47.108094,
09/30/1990,101.783997,101.931999,,22.594476,-5.125966,-4.93,-4.93,0.6,1.052663,25.931384,39.623125,
12/31/1990,102.169998,104.065002,,26.622783,1.364532,1.23,1.23,0.4,-5.721424,27.581482,41.4701,
03/31/1991,102.640999,102.151001,,29.266479,0.908459,0.88,0.81,0.4,12.243639,32.419795,42.177102,
06/30/1991,103.689003,102.827003,,28.808581,1.123246,0.85,0.92,0.4,-3.630369,24.917782,42.158762,
09/30/1991,103.893997,103.469002,,26.894045,0.466806,0.6,0.6,0.4,9.381554,32.185689,43.140124,
12/31/1991,104.155998,100.625,,26.259875,0.655901,0.64,0.54,0.4,-25.779877,10.196244,44.068513,
03/31/1992,104.443001,104.028999,,26.993436,0.581569,2.12,0.49,0.4,-3.989272,12.10038,44.907749,
06/30/1992,104.674004,104.279999,,24.50422,0.705792,0.59,0.59,0.4,0.901419,11.584538,45.314976,
09/30/1992,145.643005,104.473,,25.188326,-5.395653,-3.54,-3.54,0.8,-2.201526,5.884251,30.150435,
12/31/1992,144.020996,112.119003,,14.984971,-8.244811,-5.38,-5.38,0.4,-0.338926,11.720513,31.960618,
03/31/1993,144.869995,144.988998,,19.651836,1.802206,1.25,1.25,0.4,-2.779521,5.580866,33.149031,
06/30/1993,145.182999,145.466995,,17.37095,0.731437,0.55,0.55,0.4,-0.941794,7.968564,33.785636,
09/30/1993,145.643005,146.479004,,16.917784,-1.090259,-0.33,-0.33,0.8,-0.08875,8.131527,33.352787,
