Date,Level 3 Assets,Total FV Assets,Level 3 Liabilities,Total FV Liabilities,Level 3 Total Gains,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
12/31/2009,35.052,35.052,,,,-82.50053,-82.50053,39.998631,39.998631,
03/31/2010,,,65.459,65.459,-12.209,,,,,
06/30/2010,,,29.216,29.216,,,,,,
09/30/2010,,,15.476,15.476,,,,,,
12/31/2010,,,18.96,18.96,,,,,,
03/31/2011,,,20.936,20.936,,,,,,
06/30/2011,,,12.985,12.985,,,,,,
09/30/2011,,,7.796,7.796,,,,,,
12/31/2011,,,4.498,4.498,,,,,,
03/31/2012,,,9.778,9.778,,,,,,
06/30/2012,,,4.023,4.023,,,,,,
09/30/2013,,,0.0,0.0,,,,,,
