Date,Revenue,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1998,348.173004,-322.839996,25.333,-8.205,0,3.572,20.7,-8.851807,11.848,0.0,0.342,12.19,0,12.19,,,12.190194,0.24,0.24,0.24,50.762001,0.19,0.19,0.19,64.453003,
06/30/1998,372.127991,-562.599976,-190.472,-4.597,0,2.885,-192.184,47.056999,-145.126999,-4.433,-0.264,-149.824005,0,-149.824005,234.449005,,89.058004,0.31,-2.45,-2.53,59.272999,0.31,-2.45,-2.53,59.272999,
09/30/1998,375.419006,-333.240997,42.178001,-2.843,0,1.567,40.902002,-15.914,24.988001,0.0,-0.682,24.306,0,24.306,,,24.306002,0.36,0.36,0.36,66.609001,0.29,0.29,0.29,82.764999,
12/31/1998,426.743988,-375.294006,51.450001,-10.356,0,7.198,48.292001,-19.646999,28.646,0.0,-1.385,27.26,0,27.26,,,27.260001,0.41,0.41,0.41,65.820999,0.34,0.34,0.34,80.990997,
03/31/1999,383.872986,-349.315002,34.557999,-1.646,0,-0.016,32.895999,-13.494,19.402,0.0,0.299,19.701,0,19.701,,,19.700998,0.3,0.3,0.3,66.323997,0.24,0.24,0.24,81.891998,
06/30/1999,414.360992,-361.527008,52.834,-2.799,0,1.668,51.703,-20.514,31.188999,0.0,-0.604,30.584999,0,30.584999,,,30.585,0.45,0.45,0.45,67.501999,0.37,0.37,0.37,82.199997,
09/30/1999,428.451996,-373.147003,55.305,-4.779,0,72.232002,122.758003,-47.715,75.042999,0.0,-1.101,73.942001,0,73.942001,2.834,,76.776003,0.56,1.06,1.06,69.911003,0.38,0.88,0.88,83.805,
12/31/1999,490.5,-425.110992,65.389,-14.845,0,24.827999,75.371999,-29.565001,45.806999,0.0,-2.936,42.870998,0,42.870998,-53.833,,-10.962002,0.5,0.6,0.6,70.987,0.41,0.51,0.51,83.702003,
03/31/2000,448.282013,-404.018005,44.264,-5.6,0,13.974,52.638,-20.764,31.874001,0.0,-0.282,31.591999,0,31.591999,6.5,,38.092,0.35,0.43,0.43,72.790001,0.3,0.38,0.38,86.445999,
06/30/2000,495.009003,-429.714996,65.293999,-4.97,0,2.879,63.202999,-24.674,38.528999,0.0,-1.066,37.463001,0,37.463001,-1.359,0.497,36.600999,0.51,0.52,0.52,72.442001,0.44,0.45,0.45,86.220001,
