Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2012,645,258,387.0,-306,306,339,0,-273,148,107,18,66,-112,77,79,-2,,,35,-46,-7,,,,-53,0,0,0,-53,0,-53,0,0,-53,-35.45,17.55,279.8,-0.18942,-0.18942,-0.1267,279.8,-0.18942,-0.18942,-0.1267,
12/30/2013,674,793,-119.0,-311,311,363,0,-285,163,107,15,78,-120,90,91,-1,0.0,0.0,30,-42,124,72.0,-202.0,0.0,82,0,0,0,82,0,82,0,0,82,100.2,18.2,280.0,0.29,0.29,0.35786,287.0,0.29,0.29,0.35381,
03/31/2014,645,264,381.0,-300,300,345,0,-278,171,107,0,67,-104,87,89,-2,,,17,-37,13,,,,-24,0,0,0,-24,0,-24,0,0,-24,-12.3,11.7,279.9,-0.09,-0.09,-0.043944,279.9,-0.09,-0.09,-0.048199,
06/30/2014,662,276,386.0,-314,314,348,0,-387,247,115,25,-39,-320,49,49,0,,,271,-359,139,,,,-220,0,0,0,-220,0,-220,0,0,-220,-199.85,20.15,329.7,-0.67,-0.67,-0.606157,329.7,-0.67,-0.67,-0.608884,
09/30/2014,656,382,274.0,-311,311,345,0,-252,139,109,4,93,-35,42,43,-1,,,-7,58,-11,,,,47,0,0,0,47,0,47,0,0,47,58.7,11.7,332.1,0.14,0.14,0.176754,342.3,0.14,0.14,0.174181,
12/31/2014,678,366,312.0,-313,313,365,0,-278,164,110,4,87,-34,39,40,-1,,,-5,53,-45,,,,8,0,0,0,8,0,8,0,0,8,11.25,3.25,333.8,0.03,0.03,0.033703,344.4,0.03,0.03,0.033703,
03/31/2015,632,278,354.0,-295,295,337,0,-246,137,96,13,91,-33,37,37,0,,,-4,58,240,,,,298,0,0,0,298,0,298,0,0,298,64.65,-233.35,335.5,0.89,0.89,0.192697,345.3,0.86,0.86,0.184211,
06/30/2015,742,374,368.0,-364,364,378,0,-282,180,81,21,96,-36,42,43,-1,,,-6,60,-13,,,,47,0,0,0,47,0,47,0,0,47,62.007317,15.007317,331.6,0.14,0.14,0.186994,340.0,0.14,0.14,0.184139,
09/30/2015,735,373,362.0,-362,362,373,0,-284,181,87,16,89,-38,44,44,0,,,-6,51,-8,,,,43,0,0,0,43,0,43,0,0,43,58.104494,15.104494,328.5,0.13,0.13,0.176878,336.1,0.13,0.13,0.17494,
12/31/2015,812,382,430.0,-395,395,417,0,-329,214,77,38,88,-40,43,45,-2,,,-3,48,-19,,,,29,0,0,0,29,0,29,0,0,29,65.02037,36.02037,328.7,0.09,0.09,0.197811,336.1,0.09,0.09,0.197172,
03/31/2016,774,774,,-382,382,392,0,-279,177,87,15,113,-50,45,46,-1,,,5,63,-20,,,,43,0,0,0,43,0,43,0,0,43,63.340426,20.340426,328.6,0.13,0.13,0.192758,335.6,0.13,0.13,0.190609,
06/30/2016,802,419,383.0,-415,415,387,0,-308,168,88,52,79,-48,46,47,-1,,,2,31,-7,,,,24,0,0,0,24,0,24,0,0,24,80.549618,56.549618,328.8,0.07,0.07,0.244981,335.5,0.07,0.07,0.238553,
