Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
03/31/2008,-144.5,120.5,64.6,16.4,5.9,9.3,1.2,-346.0,33.2,-77.1,-31.9,-270.2,,-31.9,-31.9,1.5,,,-33.4,,,0.0,0.0,0.0,,,,,0.0,152.1,-64.8,204.6,,,,4.5,4.5,0,7.8,,-24.3,
06/30/2008,178.4,136.0,66.8,329.2,13.8,-10.5,325.9,-353.6,-124.7,15.1,-14.5,-229.5,,-35.1,-33.2,5.3,,,-38.5,,,0.0,0.0,0.0,,,,,-1.9,-162.0,-64.2,11.1,,,,8.5,8.5,0,-117.4,,-18.7,
09/30/2008,595.4,335.9,67.7,109.0,8.5,42.0,58.5,82.8,142.1,-7.4,-5.8,-46.1,,-132.0,-29.8,4.4,,,-34.2,,,0.0,0.0,0.0,,,,,-102.2,-448.6,-66.1,238.2,,,,5.3,5.3,0,-626.0,,14.8,
12/31/2008,188.3,-281.3,66.4,145.1,-2.5,-107.1,254.7,258.1,73.7,11.3,-10.2,183.3,,-75.2,-62.2,8.0,,,-70.2,,,0.0,0.0,0.0,,,,,-13.0,-125.3,-66.1,-66.7,,,,6.4,6.4,0,1.1,,-12.2,
03/31/2009,-102.5,7.4,74.1,12.7,12.2,-6.1,6.6,-196.7,58.9,-28.1,-32.5,-195.0,0.0,-55.3,-26.3,0.7,0.7,0.0,-27.0,-27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.0,227.6,-66.2,-395.8,-1.0,0.0,-394.8,1.6,1.6,0,688.0,7.0,76.8,
06/30/2009,334.5,99.8,58.7,2.0,7.9,-11.6,5.7,174.0,-52.7,89.6,56.6,80.5,0.0,-56.1,-23.1,7.8,7.8,0.0,-30.9,-30.9,0.0,0.0,0.0,0.0,-77.6,0.0,-77.6,0.0,44.6,-267.7,-28.7,-449.2,5.4,0.0,-454.6,2.1,2.1,0,208.1,13.8,24.5,
09/30/2009,382.3,124.1,59.3,9.9,15.2,2.3,-7.6,189.0,106.7,-0.4,-21.6,104.3,0.0,-26.3,-27.4,5.9,5.9,0.0,-33.3,-33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,-380.2,-28.6,-352.9,-8.0,0.0,-344.9,1.6,1.6,0,-0.3,19.7,-4.5,
12/31/2009,252.0,11.5,62.6,60.5,5.6,-42.2,97.1,117.4,21.6,8.9,51.8,35.1,0.0,-75.5,-64.8,1.5,1.5,0.0,-66.3,-66.3,0.0,0.0,0.0,0.0,-44.3,0.0,-44.3,0.0,33.6,-12.0,-28.7,14.7,14.7,0.0,0.0,2.0,2.0,0,0.0,-7.4,157.1,
03/31/2010,-72.0,72.2,59.4,44.3,15.8,26.2,2.3,-247.9,-28.3,-65.5,0.9,-155.0,0.0,-23.8,-31.4,0.6,0.6,0.0,-32.0,-32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,-24.8,-29.0,2.3,9.4,0.0,-7.1,9.3,9.3,0,-7.4,-6.9,-127.5,
06/30/2010,273.2,227.4,61.1,-31.5,-29.0,11.0,-13.5,16.2,-93.3,1.1,7.8,100.6,,53.6,53.6,90.5,90.5,0.0,-36.9,-36.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-190.4,-29.0,-161.3,-1.9,,-159.4,1.2,1.2,0,-1.3,-9.8,126.6,
09/30/2010,287.9,102.6,60.7,9.2,15.3,-20.6,14.5,115.4,125.4,-73.4,2.2,61.2,,1.6,1.6,43.7,43.7,0.0,-42.1,-42.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.1,-29.1,-35.0,-35.0,,0.0,4.0,4.0,0,0.0,25.5,254.9,
12/31/2010,281.5,85.4,63.9,60.6,11.6,38.1,10.9,71.6,-21.8,18.8,33.8,40.8,,-104.4,-104.4,7.6,7.6,0.0,-112.0,-112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.8,-29.1,28.8,28.8,0.0,0.0,30.1,30.1,0,-3.0,-10.4,193.5,
03/31/2011,-206.3,81.2,58.6,15.3,13.8,13.2,-11.7,-361.4,-130.9,-28.7,-19.2,-182.6,,-72.7,-35.8,1.5,1.5,0.0,-37.3,-37.3,0.0,0.0,0.0,0.0,-39.0,0.0,-39.0,0.0,2.1,-318.1,-29.2,-309.5,281.1,0.0,-590.6,21.5,21.5,0,-0.9,1.6,-595.5,
06/30/2011,212.8,328.6,58.7,-171.1,9.8,-202.5,21.6,-3.4,-82.5,-2.2,13.2,68.1,,-47.5,-57.0,3.7,3.7,0.0,-60.7,-60.7,0.0,0.0,,,-0.6,0.0,-0.6,0.0,10.1,-146.3,-29.5,-136.2,-136.2,0.0,0.0,19.2,19.2,0,0.2,-0.8,18.2,
09/30/2011,317.4,827.0,173.7,-591.9,49.0,-83.7,-557.2,-91.4,-43.1,-79.1,-45.5,76.3,,1022.5,1048.3,1209.9,1209.9,0.0,-161.6,-161.6,0.0,,,,-45.6,0.0,-45.6,0.0,19.8,-1709.7,-88.2,-1679.5,-38.9,,-1640.6,70.8,70.8,0,-12.8,-19.0,-388.8,
12/31/2011,137.1,94.1,25.7,54.1,3.1,36.2,14.8,-36.8,-34.0,7.7,31.4,-41.9,,-104.3,8.8,65.7,65.7,0.0,-56.9,-56.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-113.1,-292.8,-29.6,-295.8,4.5,500.0,-800.3,35.7,35.7,0,-3.1,2.4,-257.6,
03/31/2012,-51.6,79.1,25.9,29.0,4.4,2.8,21.8,-185.6,16.5,-61.8,-18.1,-122.2,,-86.8,-23.1,0.3,0.3,0.0,-23.4,-23.4,0.0,0.0,,,-71.7,0.0,-71.7,0.0,8.0,7.5,-32.3,-8.5,-8.5,0.0,0.0,48.3,48.3,0,0.0,1.1,-129.8,
06/30/2012,76.8,101.1,27.1,26.5,5.4,10.7,10.4,-77.9,-28.4,-27.1,-23.3,0.9,,-637.6,-34.9,0.4,0.4,0.0,-35.3,-35.3,0.0,0.0,0.0,0.0,-602.7,0.0,-602.7,0.0,0.0,581.0,-32.4,578.7,-14.2,592.9,0.0,35.7,35.7,0,-1.0,0.6,20.8,
09/30/2012,87.4,96.2,28.1,-3.7,5.0,41.4,-50.1,-33.2,-23.7,-21.4,-5.9,17.8,,-37.5,-31.3,5.9,5.9,0.0,-37.2,-37.2,0.0,0.0,0.0,0.0,-6.2,0.0,-6.2,0.0,0.0,-16.8,-32.6,-2.4,-5.0,12.9,-10.3,18.2,18.2,0,0.0,5.1,38.2,
12/31/2012,265.6,110.9,29.4,42.4,5.5,14.1,22.8,82.9,2.0,9.0,80.9,-9.0,,-40.2,-35.7,4.9,4.9,0.0,-40.6,-40.6,0.0,0.0,0.0,0.0,-4.5,0.0,-4.5,0.0,0.0,-7.5,-32.8,0.1,0.1,0.0,0.0,26.8,26.8,0,-1.6,0.3,218.2,
03/31/2013,-59.5,114.5,30.9,37.9,6.3,-2.7,34.3,-242.8,-20.5,-65.7,-50.3,-106.3,,39.6,39.6,65.6,65.6,0.0,-26.0,-26.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-294.6,-36.1,-292.5,2.3,0.0,-294.8,34.0,34.0,0,0.0,13.9,-300.6,
06/30/2013,31.1,74.3,28.9,32.4,6.9,-3.6,29.1,-104.5,-28.7,-39.5,4.0,-40.3,,-29.5,-31.0,4.4,4.4,0.0,-35.4,-35.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,248.8,-36.3,224.9,5.2,495.9,-276.2,60.7,60.7,0,-0.5,-2.4,248.0,
09/30/2013,142.5,84.8,30.2,28.7,2.2,4.8,21.7,-1.2,36.8,-19.1,-4.5,-14.4,,-24.9,-24.9,6.0,6.0,0.0,-30.9,-30.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-241.8,-36.5,-265.9,-4.6,0.0,-261.3,61.1,61.1,0,-0.5,-17.7,-141.9,
12/31/2013,309.7,90.3,31.0,72.1,4.6,48.7,18.8,116.3,24.0,36.9,35.4,20.0,,-27.5,-24.5,11.7,11.7,0.0,-36.2,-36.2,0.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,0.0,-181.2,-36.8,-179.1,1.2,0.1,-180.4,34.7,34.7,0,0.0,5.0,106.0,
