company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Laboratory Corporation of America Holdings,LH,OZ7UA8IXAIFILY2VZH07,920148,2007.0,FY,2007-01-01,2007-12-31,2010-02-24 15:21:17+00:00,54900000.0,4.08,4.08,3.93,,325500000.0,476800000.0,476800000.0,476800000.0,0.0,2377000000.0,4068200000.0,-1400000.0,50600000.0,808700000.0,2377000000.0,1691200000.0,56600000.0,83300000.0,914200000.0,777000000.0,25300000.0,802300000.0,4068200000.0,116900000.0,116900000.0,121300000.0
Laboratory Corporation of America Holdings,LH,OZ7UA8IXAIFILY2VZH07,920148,2008.0,FY,2008-01-01,2008-12-31,2011-03-07 13:33:20+00:00,57900000.0,4.23,4.23,4.16,,307900000.0,477800000.0,477800000.0,464500000.0,13300000.0,2631400000.0,4505200000.0,-2100000.0,37900000.0,935100000.0,2631400000.0,1873800000.0,72000000.0,16900000.0,1030900000.0,842900000.0,-57200000.0,785700000.0,4505200000.0,109700000.0,109700000.0,109700000.0
Laboratory Corporation of America Holdings,LH,OZ7UA8IXAIFILY2VZH07,920148,2008.0,Q3,2008-07-01,2008-09-30,2009-10-29 16:24:08+00:00,14600000.0,1.02,1.02,1.0,,75000000.0,114900000.0,114900000.0,111900000.0,3000000.0,673500000.0,1135100000.0,-200000.0,17700000.0,227100000.0,673500000.0,461600000.0,16800000.0,4700000.0,259400000.0,202200000.0,-12300000.0,189900000.0,1135100000.0,109700000.0,109700000.0,111900000.0
Laboratory Corporation of America Holdings,LH,OZ7UA8IXAIFILY2VZH07,920148,2008.0,Q2,2008-04-01,2008-06-30,2009-08-28 12:36:53+00:00,14600000.0,0.94,0.94,0.92,,73600000.0,107800000.0,107800000.0,104200000.0,3600000.0,656000000.0,1147800000.0,-700000.0,16000000.0,266000000.0,656000000.0,491800000.0,17300000.0,4200000.0,296600000.0,195200000.0,-13800000.0,181400000.0,1147800000.0,110900000.0,110900000.0,113300000.0
Laboratory Corporation of America Holdings,LH,OZ7UA8IXAIFILY2VZH07,920148,2009.0,Q4,2009-10-01,2009-12-31,,16400000.0,1.35,1.35,1.31,,57400000.0,145800000.0,145800000.0,142700000.0,3100000.0,689100000.0,1165100000.0,-1300000.0,3300000.0,240500000.0,689100000.0,476000000.0,14700000.0,3400000.0,260200000.0,215800000.0,-12600000.0,203200000.0,1165100000.0,107400000.0,107400000.0,107400000.0
Laboratory Corporation of America Holdings,LH,OZ7UA8IXAIFILY2VZH07,920148,2009.0,FY,2009-01-01,2009-12-31,2012-02-23 19:22:58+00:00,62600000.0,5.06,5.06,4.98,,329000000.0,555600000.0,555600000.0,543300000.0,12300000.0,2723800000.0,4694700000.0,-3800000.0,13500000.0,958900000.0,2723800000.0,1970900000.0,62900000.0,15400000.0,1035000000.0,935900000.0,-51300000.0,884600000.0,4694700000.0,107400000.0,107400000.0,107400000.0
Laboratory Corporation of America Holdings,LH,OZ7UA8IXAIFILY2VZH07,920148,2009.0,Q3YTD,2009-01-01,2009-09-30,,46200000.0,3.71,3.71,3.67,,271600000.0,409800000.0,409800000.0,400600000.0,9200000.0,2034700000.0,3529600000.0,-2500000.0,10200000.0,718400000.0,2034700000.0,1494900000.0,48200000.0,12000000.0,774800000.0,720100000.0,-38700000.0,681400000.0,3529600000.0,107600000.0,107600000.0,107600000.0
Laboratory Corporation of America Holdings,LH,OZ7UA8IXAIFILY2VZH07,920148,2009.0,Q3,2009-07-01,2009-09-30,2010-11-01 17:00:02+00:00,15900000.0,1.22,1.22,1.21,,88500000.0,134600000.0,134600000.0,131400000.0,3200000.0,687000000.0,1185100000.0,-1300000.0,0.0,247300000.0,687000000.0,498100000.0,15000000.0,4500000.0,263200000.0,234900000.0,-11800000.0,223100000.0,1185100000.0,107600000.0,107600000.0,107600000.0
Laboratory Corporation of America Holdings,LH,OZ7UA8IXAIFILY2VZH07,920148,2009.0,Q2YTD,2009-01-01,2009-06-30,,30300000.0,2.49,2.49,2.46,,183100000.0,275200000.0,275200000.0,269200000.0,6000000.0,1347700000.0,2344500000.0,-1200000.0,10200000.0,471100000.0,1347700000.0,996800000.0,33200000.0,7500000.0,511600000.0,485200000.0,-26900000.0,458300000.0,2344500000.0,108300000.0,108300000.0,108300000.0
Laboratory Corporation of America Holdings,LH,OZ7UA8IXAIFILY2VZH07,920148,2009.0,Q2,2009-04-01,2009-06-30,2010-08-20 13:54:47+00:00,15200000.0,1.26,1.26,1.24,,92700000.0,139400000.0,139400000.0,136400000.0,3000000.0,681400000.0,1188800000.0,-700000.0,10200000.0,237300000.0,681400000.0,507400000.0,16200000.0,4300000.0,262700000.0,244700000.0,-12600000.0,232100000.0,1188800000.0,108300000.0,108300000.0,108300000.0
