company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Varian Medical Systems Inc,VAR,TK3LAKL7I0QNTCVWSY07,203527,2007.0,FY,2006-09-30,2007-09-28,2009-11-25 15:29:43+00:00,-52374000.0,5249000.0,26957000.0,-13277000.0,-18024000.0,44504000.0,41000000.0,-240520000.0,-55658000.0,300193000.0,-240520000.0,-55658000.0,300193000.0,-9262000.0,239456000.0,239456000.0,0.0,46555000.0,19594000.0,-8215000.0,-124404000.0,-64135000.0,-26318000.0,-319300000.0,193470000.0,
Varian Medical Systems Inc,VAR,TK3LAKL7I0QNTCVWSY07,203527,2008.0,Q4,2008-06-28,2008-09-26,,-801000.0,999000.0,8757000.0,7411000.0,-20890000.0,65678000.0,-25895000.0,-69521000.0,-28307000.0,82039000.0,-69521000.0,-28307000.0,82039000.0,-8378000.0,78462000.0,78462000.0,,14711000.0,16958000.0,2370000.0,-7783000.0,-22093000.0,-41142000.0,-85120000.0,,
Varian Medical Systems Inc,VAR,TK3LAKL7I0QNTCVWSY07,203527,2008.0,FY,2007-09-29,2008-09-26,2011-05-05 14:11:12+00:00,-2092000.0,4462000.0,32247000.0,-8506000.0,10507000.0,128743000.0,,-142076000.0,-87585000.0,372227000.0,-142076000.0,-87585000.0,372227000.0,134060000.0,279484000.0,279484000.0,,45527000.0,40886000.0,3714000.0,-7783000.0,-81424000.0,-50147000.0,-261558000.0,,
Varian Medical Systems Inc,VAR,TK3LAKL7I0QNTCVWSY07,203527,2008.0,Q3YTD,2007-09-29,2008-06-27,2009-08-11 13:44:24+00:00,-1291000.0,3463000.0,23490000.0,-15917000.0,31397000.0,63065000.0,25895000.0,-72555000.0,-59278000.0,290188000.0,-72555000.0,-59278000.0,290188000.0,142438000.0,201022000.0,201022000.0,0.0,30816000.0,23928000.0,1344000.0,,-59331000.0,-9005000.0,-176438000.0,,
Varian Medical Systems Inc,VAR,TK3LAKL7I0QNTCVWSY07,203527,2009.0,Q4,2009-07-04,2009-10-02,,,950000.0,10966000.0,-6085000.0,-3688000.0,10928000.0,4171000.0,-13127000.0,-14880000.0,115900000.0,-13127000.0,-14880000.0,115900000.0,81808000.0,97061000.0,97061000.0,,10611000.0,1838000.0,-249000.0,,-14631000.0,-120000.0,-29944000.0,,
Varian Medical Systems Inc,VAR,TK3LAKL7I0QNTCVWSY07,203527,2009.0,FY,2008-09-27,2009-10-02,2011-11-23 17:03:27+00:00,-2550000.0,3601000.0,41008000.0,977000.0,-109997000.0,27825000.0,4171000.0,-71281000.0,-77906000.0,304433000.0,-71281000.0,-77906000.0,304433000.0,156223000.0,319022000.0,327084000.0,-8062000.0,42737000.0,6446000.0,-12794000.0,0.0,-62562000.0,-8238000.0,-101485000.0,,
Varian Medical Systems Inc,VAR,TK3LAKL7I0QNTCVWSY07,203527,2009.0,Q3TTM,2008-06-28,2009-07-03,,-3351000.0,3650000.0,38799000.0,14473000.0,-127199000.0,82575000.0,-25895000.0,-127675000.0,-91333000.0,270572000.0,-127675000.0,-91333000.0,270572000.0,66037000.0,300423000.0,308485000.0,-8062000.0,46837000.0,21566000.0,-10175000.0,-7783000.0,-70024000.0,-49260000.0,-156661000.0,,
Varian Medical Systems Inc,VAR,TK3LAKL7I0QNTCVWSY07,203527,2009.0,Q3,2009-04-04,2009-07-03,,-2550000.0,859000.0,10670000.0,-5272000.0,18839000.0,3085000.0,-10000000.0,-5703000.0,-20833000.0,128912000.0,-5703000.0,-20833000.0,128912000.0,97104000.0,85351000.0,85351000.0,,13193000.0,1332000.0,314000.0,,-18597000.0,-120000.0,,,
Varian Medical Systems Inc,VAR,TK3LAKL7I0QNTCVWSY07,203527,2009.0,Q3YTD,2008-09-27,2009-07-03,2010-08-10 13:13:21+00:00,-2550000.0,2651000.0,30042000.0,7062000.0,-106309000.0,16897000.0,,-58154000.0,-63026000.0,188533000.0,-58154000.0,-63026000.0,188533000.0,74415000.0,221961000.0,230023000.0,-8062000.0,32126000.0,4608000.0,-12545000.0,,-47931000.0,-8118000.0,-71541000.0,,
Varian Medical Systems Inc,VAR,TK3LAKL7I0QNTCVWSY07,203527,2009.0,Q2,2009-01-03,2009-04-03,,,861000.0,10786000.0,9754000.0,-121091000.0,9321000.0,-15000000.0,-12991000.0,-20076000.0,-24941000.0,-12991000.0,-20076000.0,-24941000.0,-48254000.0,67813000.0,75875000.0,-8062000.0,8628000.0,565000.0,-9209000.0,,-10867000.0,-7877000.0,,,
Varian Medical Systems Inc,VAR,TK3LAKL7I0QNTCVWSY07,203527,2009.0,Q2YTD,2008-09-27,2009-04-03,2010-05-11 15:48:33+00:00,,1792000.0,19372000.0,12334000.0,-125148000.0,13812000.0,10000000.0,-52451000.0,-42193000.0,59621000.0,-52451000.0,-42193000.0,59621000.0,-22689000.0,136610000.0,144672000.0,-8062000.0,18933000.0,3276000.0,-12859000.0,,-29334000.0,-7998000.0,-71541000.0,,
Varian Medical Systems Inc,VAR,TK3LAKL7I0QNTCVWSY07,203527,2009.0,Q1,2008-09-27,2009-01-02,2010-02-09 14:31:11+00:00,,931000.0,8586000.0,2580000.0,-4057000.0,4491000.0,25000000.0,-39460000.0,-22117000.0,84562000.0,-39460000.0,-22117000.0,84562000.0,25565000.0,68797000.0,68797000.0,,10305000.0,2711000.0,-3650000.0,,-18467000.0,-121000.0,-71541000.0,,
