company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,otherspecialcharges,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Varian Medical Systems Inc,VAR,TK3LAKL7I0QNTCVWSY07,203527,2007.0,FY,2006-09-30,2007-09-28,2009-11-25 15:29:43+00:00,1.88,1.88,1.83,,103083000.0,239456000.0,242916000.0,-3460000.0,239456000.0,,1022209000.0,1755072000.0,,,,117320000.0,,276918000.0,1022209000.0,732863000.0,4791000.0,12165000.0,394238000.0,338625000.0,7374000.0,345999000.0,1755072000.0,127400000.0,127407000.0,130622000.0
Varian Medical Systems Inc,VAR,TK3LAKL7I0QNTCVWSY07,203527,2008.0,FY,2007-09-29,2008-09-26,2011-05-05 14:11:12+00:00,2.24,2.24,2.19,,130767000.0,279484000.0,295256000.0,-15772000.0,279484000.0,,1192198000.0,2069730000.0,,,,135599000.0,,322529000.0,1192198000.0,877532000.0,4879000.0,11498000.0,458128000.0,419404000.0,6619000.0,426023000.0,2069730000.0,124800000.0,124800000.0,127604000.0
Varian Medical Systems Inc,VAR,TK3LAKL7I0QNTCVWSY07,203527,2008.0,Q3,2008-03-29,2008-06-27,2009-08-11 13:44:24+00:00,0.6,0.6,0.58,,16380000.0,74180000.0,77056000.0,-2876000.0,74180000.0,,295083000.0,507417000.0,,,,35650000.0,,84546000.0,295083000.0,212334000.0,1304000.0,2602000.0,120196000.0,92138000.0,1298000.0,93436000.0,507417000.0,123600000.0,124617000.0,127065000.0
Varian Medical Systems Inc,VAR,TK3LAKL7I0QNTCVWSY07,203527,2009.0,Q4,2009-07-04,2009-10-02,,0.77,0.77,0.78,,53233000.0,97061000.0,97188000.0,-127000.0,97061000.0,,357012000.0,641929000.0,,,,38093000.0,,96141000.0,357012000.0,284917000.0,1030000.0,768000.0,134234000.0,150683000.0,-262000.0,150421000.0,641929000.0,124100000.0,124034000.0,124995000.0
Varian Medical Systems Inc,VAR,TK3LAKL7I0QNTCVWSY07,203527,2009.0,FY,2008-09-27,2009-10-02,2011-11-23 17:03:27+00:00,2.57,2.57,2.55,,143167000.0,319022000.0,331476000.0,-12454000.0,319022000.0,,1253555000.0,2214060000.0,,,,147375000.0,,338984000.0,1253555000.0,960505000.0,4097000.0,4594000.0,486359000.0,474146000.0,497000.0,474643000.0,2214060000.0,124100000.0,124034000.0,124995000.0
Varian Medical Systems Inc,VAR,TK3LAKL7I0QNTCVWSY07,203527,2009.0,Q3,2009-04-04,2009-07-03,2010-08-10 13:13:21+00:00,0.69,0.69,0.68,,16904000.0,85351000.0,85351000.0,,85351000.0,,293631000.0,509871000.0,,,,35325000.0,,78427000.0,293631000.0,216240000.0,920000.0,687000.0,113752000.0,102488000.0,-233000.0,102255000.0,509871000.0,123700000.0,124237000.0,124991000.0
Varian Medical Systems Inc,VAR,TK3LAKL7I0QNTCVWSY07,203527,2009.0,Q3YTD,2008-09-27,2009-07-03,,1.8,1.8,1.77,,89934000.0,221961000.0,234288000.0,-12327000.0,221961000.0,,896543000.0,1572131000.0,,,,109282000.0,,242843000.0,896543000.0,675588000.0,3067000.0,3826000.0,352125000.0,323463000.0,759000.0,324222000.0,1572131000.0,123700000.0,124237000.0,124991000.0
Varian Medical Systems Inc,VAR,TK3LAKL7I0QNTCVWSY07,203527,2009.0,Q2YTD,2008-09-27,2009-04-03,,1.11,1.11,1.09,,73030000.0,136610000.0,148937000.0,-12327000.0,136610000.0,,602912000.0,1062260000.0,,,,73957000.0,,164416000.0,602912000.0,459348000.0,2147000.0,3139000.0,238373000.0,220975000.0,992000.0,221967000.0,1062260000.0,123300000.0,123782000.0,124497000.0
Varian Medical Systems Inc,VAR,TK3LAKL7I0QNTCVWSY07,203527,2009.0,Q2,2009-01-03,2009-04-03,2010-05-11 15:48:33+00:00,0.55,0.55,0.54,,42554000.0,67813000.0,79358000.0,-11545000.0,67813000.0,,313200000.0,553591000.0,,,,36979000.0,,81183000.0,313200000.0,240391000.0,1194000.0,877000.0,118162000.0,122229000.0,-317000.0,121912000.0,553591000.0,123300000.0,123782000.0,124497000.0
Varian Medical Systems Inc,VAR,TK3LAKL7I0QNTCVWSY07,203527,2009.0,Q1,2008-09-27,2009-01-02,2010-02-09 14:31:11+00:00,0.56,0.56,0.55,,30476000.0,68797000.0,69579000.0,-782000.0,68797000.0,,289712000.0,508669000.0,,,,36978000.0,,83233000.0,289712000.0,218957000.0,953000.0,2262000.0,120211000.0,98746000.0,1309000.0,100055000.0,508669000.0,122900000.0,123818000.0,125167000.0
Varian Medical Systems Inc,VAR,TK3LAKL7I0QNTCVWSY07,203527,2010.0,Q4,2010-07-03,2010-10-01,,0.88,0.88,0.86,,43362000.0,105039000.0,105648000.0,-609000.0,105039000.0,,375791000.0,652057000.0,,,,40566000.0,,86906000.0,375791000.0,276266000.0,433000.0,649000.0,127472000.0,148794000.0,216000.0,149010000.0,652057000.0,121800000.0,121816000.0,124025000.0
