company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
TE Connectivity Ltd,TEL,,1385157,2007.0,FY,2006-09-30,2007-09-28,2009-11-18 14:59:43+00:00,,446000000.0,231000000.0,496000000.0,227000000.0,46000000.0,34000000.0,5676000000.0,504000000.0,-1526000000.0,1447000000.0,-73000000.0,-2000000.0,78000000.0,431000000.0,-1528000000.0,1525000000.0,474000000.0,-554000000.0,-214000000.0,-340000000.0,1131000000.0,-2702000000.0,-928000000.0,0.0,-7000000.0,-863000000.0,-2463000000.0,,,41000000.0
TE Connectivity Ltd,TEL,,1385157,2008.0,Q4,2008-06-28,2008-09-26,,,359000000.0,100000000.0,140000000.0,469000000.0,-18000000.0,151000000.0,400000000.0,-521000000.0,301000000.0,597000000.0,-21000000.0,-5000000.0,41000000.0,-542000000.0,296000000.0,638000000.0,374000000.0,202000000.0,88000000.0,114000000.0,218000000.0,-45000000.0,-8000000.0,,-77000000.0,-165000000.0,-389000000.0,-410000000.0,,5000000.0
TE Connectivity Ltd,TEL,,1385157,2008.0,FY,2007-09-29,2008-09-26,2009-11-18 14:59:43+00:00,,359000000.0,100000000.0,539000000.0,571000000.0,1000000.0,358000000.0,900000000.0,-1687000000.0,910000000.0,922000000.0,-52000000.0,-15000000.0,67000000.0,-1739000000.0,895000000.0,989000000.0,146000000.0,1782000000.0,1527000000.0,255000000.0,-1502000000.0,689000000.0,907000000.0,,-282000000.0,-610000000.0,-1752000000.0,-1242000000.0,,42000000.0
TE Connectivity Ltd,TEL,,1385157,2008.0,Q3YTD,2007-09-29,2008-06-27,2009-07-31 15:24:22+00:00,,,,399000000.0,102000000.0,19000000.0,207000000.0,500000000.0,-1166000000.0,609000000.0,325000000.0,-31000000.0,-10000000.0,26000000.0,-1197000000.0,599000000.0,351000000.0,-228000000.0,1580000000.0,1439000000.0,141000000.0,-1720000000.0,734000000.0,915000000.0,,-205000000.0,-445000000.0,-1363000000.0,-832000000.0,,37000000.0
TE Connectivity Ltd,TEL,,1385157,2009.0,Q4,2009-06-27,2009-09-25,,-1000000.0,121000000.0,163000000.0,,,-10000000.0,,,,-53000000.0,549000000.0,,,-7000000.0,-216000000.0,-53000000.0,542000000.0,263000000.0,0.0,,0.0,,0.0,2000000.0,,0.0,-58000000.0,0.0,,,4000000.0
TE Connectivity Ltd,TEL,,1385157,2009.0,FY,2008-09-27,2009-09-25,2011-11-18 15:08:02+00:00,-1000000.0,121000000.0,163000000.0,515000000.0,710000000.0,-31000000.0,-637000000.0,448000000.0,-1310000000.0,394000000.0,1378000000.0,56000000.0,-3000000.0,-49000000.0,-1254000000.0,391000000.0,1329000000.0,435000000.0,-3259000000.0,-3103000000.0,-156000000.0,4607000000.0,-55000000.0,,0.0,-294000000.0,-328000000.0,-1257000000.0,-152000000.0,,13000000.0
TE Connectivity Ltd,TEL,,1385157,2009.0,Q3TTM,2008-06-28,2009-06-26,,,359000000.0,100000000.0,522000000.0,1179000000.0,-39000000.0,-487000000.0,848000000.0,-1604000000.0,748000000.0,1426000000.0,28000000.0,-8000000.0,-1000000.0,-1580000000.0,740000000.0,1425000000.0,546000000.0,-3147000000.0,-3095000000.0,-52000000.0,4486000000.0,-742000000.0,-10000000.0,,-298000000.0,-435000000.0,-850000000.0,-562000000.0,,14000000.0
TE Connectivity Ltd,TEL,,1385157,2009.0,Q3YTD,2008-09-27,2009-06-26,2009-07-31 15:24:22+00:00,,,,382000000.0,710000000.0,-21000000.0,-638000000.0,448000000.0,-1083000000.0,447000000.0,829000000.0,49000000.0,-3000000.0,-42000000.0,-1038000000.0,444000000.0,787000000.0,172000000.0,-3349000000.0,-3183000000.0,-166000000.0,4268000000.0,-697000000.0,-2000000.0,0.0,-221000000.0,-270000000.0,-461000000.0,-152000000.0,,9000000.0
TE Connectivity Ltd,TEL,,1385157,2009.0,Q3,2009-03-28,2009-06-26,,,,,130000000.0,675000000.0,5000000.0,-85000000.0,0.0,,617000000.0,336000000.0,,-1000000.0,-6000000.0,-415000000.0,616000000.0,330000000.0,536000000.0,-77000000.0,23000000.0,-100000000.0,268000000.0,0.0,1000000.0,1000000.0,0.0,-61000000.0,0.0,,,2000000.0
TE Connectivity Ltd,TEL,,1385157,2009.0,Q2YTD,2008-09-27,2009-03-27,2010-04-29 12:29:02+00:00,,,,252000000.0,35000000.0,-26000000.0,-553000000.0,442000000.0,-660000000.0,-170000000.0,493000000.0,37000000.0,-2000000.0,-36000000.0,-623000000.0,-172000000.0,457000000.0,-364000000.0,-3272000000.0,-3206000000.0,-66000000.0,4000000000.0,-32000000.0,-3000000.0,-1000000.0,-147000000.0,-209000000.0,-771000000.0,-152000000.0,,7000000.0
TE Connectivity Ltd,TEL,,1385157,2009.0,Q1,2008-09-27,2008-12-26,2010-01-28 12:31:37+00:00,,,,127000000.0,23000000.0,-24000000.0,-36000000.0,191000000.0,-457000000.0,-92000000.0,32000000.0,,-1000000.0,1000000.0,-457000000.0,-93000000.0,33000000.0,-541000000.0,-35000000.0,32000000.0,-67000000.0,-91000000.0,,-4000000.0,,-74000000.0,-115000000.0,-422000000.0,-152000000.0,,4000000.0
TE Connectivity Ltd,TEL,,1385157,2010.0,Q4,2010-06-26,2010-09-24,,32000000.0,156000000.0,149000000.0,119000000.0,-12000000.0,13000000.0,91000000.0,97000000.0,-177000000.0,-59000000.0,398000000.0,-15000000.0,-61000000.0,76000000.0,-192000000.0,-120000000.0,474000000.0,175000000.0,299000000.0,208000000.0,91000000.0,-20000000.0,12000000.0,40000000.0,,-71000000.0,-131000000.0,-100000000.0,-115000000.0,1000000.0,11000000.0
TE Connectivity Ltd,TEL,,1385157,2010.0,FY,2009-09-26,2010-09-24,2012-11-13 14:35:56+00:00,-38000000.0,156000000.0,149000000.0,514000000.0,,11000000.0,335000000.0,101000000.0,-764000000.0,-381000000.0,1603000000.0,-15000000.0,-61000000.0,76000000.0,-779000000.0,-442000000.0,1679000000.0,469000000.0,1109000000.0,1018000000.0,91000000.0,-264000000.0,12000000.0,20000000.0,,-289000000.0,-380000000.0,-100000000.0,-488000000.0,1000000.0,16000000.0
