company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,otheroperatingexpenses,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Universal Health Services Inc,UHS,549300YGMGQDO0NMJD09,352915,2008.0,FY,2008-01-01,2008-12-31,2011-02-28 17:02:55+00:00,1.96,1.96,,193635000.0,1.96,123378000.0,240070000.0,233634000.0,6436000.0,199377000.0,40693000.0,2133181000.0,5022417000.0,476745000.0,,69882000.0,,1738755000.0,2609926000.0,2412491000.0,53207000.0,2002272000.0,410219000.0,-53207000.0,357012000.0,5022417000.0,101700000.0,101222000.0,101418000.0
Universal Health Services Inc,UHS,549300YGMGQDO0NMJD09,352915,2009.0,FY,2009-01-01,2009-12-31,2012-02-27 17:02:54+00:00,2.65,2.65,,204703000.0,2.64,170475000.0,304247000.0,304247000.0,,260373000.0,43874000.0,2204422000.0,5202379000.0,508603000.0,,69947000.0,,1694172000.0,2713025000.0,2489354000.0,45810000.0,1968822000.0,520532000.0,-45810000.0,474722000.0,5202379000.0,98300000.0,97794000.0,98275000.0
Universal Health Services Inc,UHS,549300YGMGQDO0NMJD09,352915,2009.0,Q3,2009-07-01,2009-09-30,2010-11-05 16:20:37+00:00,0.52,0.52,,51205000.0,0.52,32043000.0,59054000.0,59054000.0,,51074000.0,7980000.0,558244000.0,1295109000.0,141086000.0,,17253000.0,,425444000.0,699330000.0,595779000.0,10780000.0,493902000.0,101877000.0,-10780000.0,91097000.0,1295109000.0,98200000.0,97774000.0,98504000.0
Universal Health Services Inc,UHS,549300YGMGQDO0NMJD09,352915,2009.0,Q2,2009-04-01,2009-06-30,2010-08-09 06:08:36+00:00,0.82,0.82,,51085000.0,0.82,57187000.0,93977000.0,93977000.0,,80893000.0,13084000.0,541950000.0,1303640000.0,120670000.0,,17587000.0,,409305000.0,662620000.0,641020000.0,11879000.0,477977000.0,163043000.0,-11879000.0,151164000.0,1303640000.0,98700000.0,97700000.0,98104000.0
Universal Health Services Inc,UHS,549300YGMGQDO0NMJD09,352915,2010.0,Q4,2010-10-01,2010-12-31,,0.38,0.38,0.14,53864000.0,0.38,38432000.0,50816000.0,50816000.0,,37182000.0,13634000.0,648163000.0,891415000.0,-402621000.0,,74035000.0,,387241000.0,245542000.0,645873000.0,41485000.0,515140000.0,130733000.0,-41485000.0,89248000.0,891415000.0,97100000.0,96786000.0,97973000.0
Universal Health Services Inc,UHS,549300YGMGQDO0NMJD09,352915,2010.0,FY,2010-01-01,2010-12-31,2013-02-28 17:02:17+00:00,2.37,2.37,,216930000.0,2.34,152302000.0,275795000.0,275795000.0,,230183000.0,45612000.0,2363383000.0,4900147000.0,,,128583000.0,,1685537000.0,2363383000.0,2536764000.0,77617000.0,2031050000.0,505714000.0,-77617000.0,428097000.0,4900147000.0,97100000.0,96786000.0,97973000.0
Universal Health Services Inc,UHS,549300YGMGQDO0NMJD09,352915,2010.0,Q3YTD,2010-01-01,2010-09-30,,1.99,1.99,0.39,163066000.0,1.99,113870000.0,224979000.0,224979000.0,,193001000.0,31978000.0,1715220000.0,4008732000.0,402621000.0,,54548000.0,,1298296000.0,2117841000.0,1890891000.0,36132000.0,1515910000.0,374981000.0,-36132000.0,338849000.0,4008732000.0,97600000.0,96777000.0,97935000.0
Universal Health Services Inc,UHS,549300YGMGQDO0NMJD09,352915,2010.0,Q3,2010-07-01,2010-09-30,2011-11-07 14:46:40+00:00,0.57,0.57,,55530000.0,0.57,27404000.0,65802000.0,65802000.0,,55610000.0,10192000.0,572742000.0,1323264000.0,133467000.0,,18429000.0,,438412000.0,706209000.0,617055000.0,11478000.0,512371000.0,104684000.0,-11478000.0,93206000.0,1323264000.0,97600000.0,96777000.0,97935000.0
Universal Health Services Inc,UHS,549300YGMGQDO0NMJD09,352915,2010.0,Q2YTD,2010-01-01,2010-06-30,,1.42,1.42,0.23,107536000.0,1.42,86466000.0,159177000.0,159177000.0,,137391000.0,21786000.0,1142478000.0,2685468000.0,269154000.0,,36119000.0,,859884000.0,1411632000.0,1273836000.0,24654000.0,1003539000.0,270297000.0,-24654000.0,245643000.0,2685468000.0,96400000.0,96703000.0,98054000.0
Universal Health Services Inc,UHS,549300YGMGQDO0NMJD09,352915,2010.0,Q2,2010-04-01,2010-06-30,2011-08-08 08:07:59+00:00,0.68,0.68,,54025000.0,0.67,41057000.0,76415000.0,76415000.0,,65572000.0,10843000.0,563552000.0,1338315000.0,143764000.0,,18185000.0,,429040000.0,707316000.0,630999000.0,12277000.0,501250000.0,129749000.0,-12277000.0,117472000.0,1338315000.0,96400000.0,96703000.0,98054000.0
