company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,repurchaseofpreferredequity,saleofinvestments,saleofplantpropertyandequipment
WEC Energy Group Inc,WEC,549300IGLYTZUK3PVP70,783325,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 10:05:13+00:00,,-6500000.0,337700000.0,,-100300000.0,524700000.0,1100000.0,-543100000.0,532400000.0,1100000.0,-543100000.0,532400000.0,-9600000.0,335600000.0,335600000.0,-34100000.0,36100000.0,-2377100000.0,-116900000.0,0.0,-1210200000.0,-375000000.0,-67800000.0,,2081100000.0,963100000.0
WEC Energy Group Inc,WEC,549300IGLYTZUK3PVP70,783325,2008.0,FY,2008-01-01,2008-12-31,2010-02-26 10:05:13+00:00,-1136400000.0,-488100000.0,,,99500000.0,1113000000.0,175000000.0,-906300000.0,736400000.0,175000000.0,-906300000.0,736400000.0,5100000.0,359100000.0,359100000.0,765900000.0,11600000.0,241100000.0,-126300000.0,-25300000.0,,-800300000.0,-23000000.0,,0.0,14300000.0
WEC Energy Group Inc,WEC,549300IGLYTZUK3PVP70,783325,2008.0,Q4,2008-10-01,2008-12-31,,-1136400000.0,-84700000.0,-249900000.0,,-496900000.0,796500000.0,140400000.0,-224600000.0,93400000.0,140400000.0,-224600000.0,93400000.0,9200000.0,100400000.0,100400000.0,824500000.0,1600000.0,30300000.0,-31600000.0,-7900000.0,888900000.0,-623000000.0,-3100000.0,,,500000.0
WEC Energy Group Inc,WEC,549300IGLYTZUK3PVP70,783325,2008.0,Q3,2008-07-01,2008-09-30,,,-157400000.0,85500000.0,,68700000.0,111800000.0,74700000.0,-147300000.0,69300000.0,74700000.0,-147300000.0,69300000.0,-3300000.0,77500000.0,77500000.0,-5000000.0,2400000.0,103300000.0,-31600000.0,-8000000.0,-246900000.0,-2900000.0,-5000000.0,,,4300000.0
WEC Energy Group Inc,WEC,549300IGLYTZUK3PVP70,783325,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-10-29 17:39:04+00:00,,-403400000.0,249900000.0,,596400000.0,316500000.0,34600000.0,-681700000.0,643000000.0,34600000.0,-681700000.0,643000000.0,-4100000.0,258700000.0,258700000.0,-58600000.0,10000000.0,210800000.0,-94700000.0,-17400000.0,-888900000.0,-177300000.0,-19900000.0,,,13800000.0
WEC Energy Group Inc,WEC,549300IGLYTZUK3PVP70,783325,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-08-04 09:56:02+00:00,,-246000000.0,164400000.0,,527700000.0,204700000.0,-40100000.0,-534400000.0,573700000.0,-40100000.0,-534400000.0,573700000.0,-800000.0,181200000.0,181200000.0,-53600000.0,7600000.0,107500000.0,-63100000.0,-9400000.0,-642000000.0,-174400000.0,-14900000.0,,,9500000.0
WEC Energy Group Inc,WEC,549300IGLYTZUK3PVP70,783325,2009.0,Q4,2009-10-01,2009-12-31,,555800000.0,-53500000.0,346900000.0,,402500000.0,138000000.0,75400000.0,-257500000.0,192400000.0,75400000.0,-257500000.0,192400000.0,10300000.0,118700000.0,118700000.0,-622200000.0,4500000.0,8000000.0,-39400000.0,-7800000.0,-814600000.0,-19100000.0,-8600000.0,,,1100000.0
WEC Energy Group Inc,WEC,549300IGLYTZUK3PVP70,783325,2009.0,FY,2009-01-01,2009-12-31,2012-02-28 11:15:52+00:00,,-230700000.0,346900000.0,,419600000.0,487200000.0,95700000.0,-736100000.0,628900000.0,95700000.0,-736100000.0,628900000.0,-11500000.0,382400000.0,382400000.0,-289300000.0,17000000.0,87600000.0,-157800000.0,-25900000.0,-814600000.0,-221100000.0,-29600000.0,,,16800000.0
WEC Energy Group Inc,WEC,549300IGLYTZUK3PVP70,783325,2009.0,Q3YTD,2009-01-01,2009-09-30,2009-10-29 17:39:04+00:00,-555800000.0,-177200000.0,,,17100000.0,349200000.0,20300000.0,-478600000.0,436500000.0,20300000.0,-478600000.0,436500000.0,-21800000.0,263700000.0,263700000.0,332900000.0,12500000.0,79600000.0,-118400000.0,-18100000.0,,-202000000.0,-21000000.0,,,15700000.0
WEC Energy Group Inc,WEC,549300IGLYTZUK3PVP70,783325,2009.0,Q3TTM,2008-10-01,2009-09-30,,-1692200000.0,-261900000.0,-249900000.0,,-479800000.0,1145700000.0,160700000.0,-703200000.0,529900000.0,160700000.0,-703200000.0,529900000.0,-12600000.0,364100000.0,364100000.0,1157400000.0,14100000.0,109900000.0,-150000000.0,-26000000.0,888900000.0,-825000000.0,-24100000.0,,,16200000.0
