company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2011.0,FY,2011-01-01,2011-12-31,2013-04-01 15:13:09+00:00,0.0,0.0,0.0,10000.0,-81000.0,2566000.0,0.0,2566000.0,,-3226000.0,2566000.0,0.0,-3226000.0,-650000.0,4685000.0,4685000.0,-7830000.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2011.0,Q4,2011-10-01,2011-12-31,,,,,-110000.0,3757000.0,,,,,-767000.0,,,-767000.0,-877000.0,3509000.0,3509000.0,-8033000.0,,,,,,,,,
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2011.0,Q3YTD,2011-01-01,2011-09-30,2012-11-14 15:48:12+00:00,0.0,0.0,0.0,120000.0,-3838000.0,2566000.0,0.0,2566000.0,,-2459000.0,2566000.0,0.0,-2459000.0,227000.0,1176000.0,1176000.0,203000.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2011.0,Q3,2011-07-01,2011-09-30,,,,,-19000.0,2352000.0,,,,,-636000.0,,,-636000.0,-655000.0,-3145000.0,-3145000.0,157000.0,,,,,,,,,
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2011.0,Q2YTD,2011-01-01,2011-06-30,2012-08-13 14:50:22+00:00,0.0,0.0,0.0,139000.0,-6190000.0,2566000.0,0.0,2566000.0,,-1823000.0,2566000.0,0.0,-1823000.0,882000.0,4321000.0,4321000.0,46000.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2011.0,Q2,2011-04-01,2011-06-30,,,,,15000.0,-6143000.0,2566000.0,,2566000.0,,-775000.0,2566000.0,,-775000.0,1806000.0,-348000.0,-348000.0,5716000.0,,,,,,,,,
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2011.0,Q1,2011-01-01,2011-03-31,2012-05-14 21:48:43+00:00,0.0,,0.0,124000.0,-47000.0,0.0,0.0,,,-1048000.0,0.0,0.0,-1048000.0,-924000.0,4669000.0,4669000.0,-5670000.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2012.0,FY,2012-01-01,2012-12-31,2013-04-01 15:13:09+00:00,0.0,0.0,0.0,0.0,280000.0,0.0,0.0,,,-2994000.0,0.0,0.0,-2994000.0,-2994000.0,-5163000.0,-5163000.0,1889000.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2012.0,Q4,2012-10-01,2012-12-31,,,,,,4120000.0,,,,,-557000.0,,,-557000.0,-557000.0,-6511000.0,-6511000.0,1834000.0,,,,,,,,,
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2012.0,Q3YTD,2012-01-01,2012-09-30,2012-11-14 15:48:12+00:00,0.0,0.0,0.0,0.0,-3840000.0,0.0,0.0,,,-2437000.0,0.0,0.0,-2437000.0,-2437000.0,1348000.0,1348000.0,55000.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2012.0,Q3TTM,2011-10-01,2012-09-30,,,,,-110000.0,-83000.0,,,,,-3204000.0,,,-3204000.0,-3314000.0,4857000.0,4857000.0,-7978000.0,,,,,,,,,
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2012.0,Q3,2012-07-01,2012-09-30,,,,,,35000.0,,,,,-726000.0,,,-726000.0,-726000.0,-764000.0,-764000.0,3000.0,,,,,,,,,
