company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,dilutedeps,impairmentexpense,netincome,netincomecontinuing,netincometocommon,operatingrevenue,otherincome,otheroperatingexpenses,otherspecialcharges,rdexpense,sgaexpense,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2010.0,FY,2010-01-01,2010-12-31,2012-03-27 16:51:30+00:00,-0.49,-0.49,-0.49,0.0,-7823000.0,-7823000.0,-7823000.0,0.0,-3251000.0,0.0,0.0,708000.0,3896000.0,0.0,32000.0,4604000.0,-4604000.0,-3219000.0,-7823000.0,16000000.0,16015000.0,16015000.0
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2010.0,Q3,2010-07-01,2010-09-30,2011-11-14 09:41:47+00:00,0.08,0.08,0.08,0.0,1694000.0,1694000.0,1694000.0,0.0,2598000.0,0.0,0.0,110000.0,807000.0,0.0,13000.0,917000.0,-917000.0,2611000.0,1694000.0,21200000.0,20461000.0,20461000.0
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2010.0,Q2,2010-04-01,2010-06-30,2011-08-15 09:44:07+00:00,-0.01,-0.01,-0.01,0.0,-2569000.0,-2569000.0,-2569000.0,0.0,-72000.0,0.0,0.0,146000.0,2359000.0,0.0,8000.0,2505000.0,-2505000.0,-64000.0,-2569000.0,256900000.0,368294000.0,368294000.0
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2011.0,FY,2011-01-01,2011-12-31,2013-04-01 15:13:09+00:00,0.2,0.2,0.19,0.0,4685000.0,4685000.0,4685000.0,0.0,8080000.0,0.0,0.0,1494000.0,1944000.0,0.0,43000.0,3438000.0,-3438000.0,8123000.0,4685000.0,23400000.0,23983000.0,24050000.0
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2011.0,Q4,2011-10-01,2011-12-31,,0.15,0.15,0.18,,3508000.0,3508000.0,3508000.0,,4396000.0,,,506000.0,395000.0,,13000.0,901000.0,-901000.0,4409000.0,3508000.0,23400000.0,23983000.0,24050000.0
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2011.0,Q3,2011-07-01,2011-09-30,2011-11-14 09:41:47+00:00,-0.17,-0.17,-0.17,0.0,-3144000.0,-3144000.0,-3144000.0,0.0,-2221000.0,0.0,0.0,439000.0,505000.0,0.0,21000.0,944000.0,-944000.0,-2200000.0,-3144000.0,18500000.0,18085000.0,18085000.0
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2011.0,Q3YTD,2011-01-01,2011-09-30,,0.05,0.05,0.01,,1177000.0,1177000.0,1177000.0,,3684000.0,,,988000.0,1549000.0,,30000.0,2537000.0,-2537000.0,3714000.0,1177000.0,18500000.0,18085000.0,18085000.0
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2011.0,Q2,2011-04-01,2011-06-30,2012-08-13 14:50:22+00:00,-0.01,-0.01,-0.01,0.0,-348000.0,-348000.0,-348000.0,0.0,225000.0,0.0,0.0,234000.0,338000.0,0.0,-1000.0,572000.0,-572000.0,224000.0,-348000.0,34800000.0,25158000.0,25158000.0
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2011.0,Q2YTD,2011-01-01,2011-06-30,,0.22,0.22,0.18,,4321000.0,4321000.0,4321000.0,,5905000.0,,,549000.0,1044000.0,,9000.0,1593000.0,-1593000.0,5914000.0,4321000.0,34800000.0,25158000.0,25158000.0
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2011.0,Q1,2011-01-01,2011-03-31,2012-05-14 21:48:43+00:00,0.23,0.23,0.19,0.0,4669000.0,4669000.0,4669000.0,0.0,5680000.0,0.0,0.0,315000.0,706000.0,0.0,10000.0,1021000.0,-1021000.0,5690000.0,4669000.0,20300000.0,20565000.0,25001000.0
