company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accruedexpenses,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,othercurrentassets,othercurrentliabilities,otherequity,othernoncurrentassets,prepaidexpenses,retainedearnings,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2010.0,FY,,2010-12-31,2011-11-14 09:41:47+00:00,272000.0,195000.0,1243000.0,5947000.0,0.0,102646000.0,8000.0,10450000.0,-108813000.0,,38000.0,,5993000.0,-4924000.0,5993000.0,10917000.0,-4924000.0,-4924000.0,10917000.0,5993000.0,
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2011.0,FY,,2011-12-31,2013-04-01 15:13:09+00:00,342000.0,52000.0,1243000.0,5297000.0,0.0,104017000.0,19000.0,5077000.0,-105380000.0,,35000.0,,5351000.0,-120000.0,5351000.0,5471000.0,-120000.0,-120000.0,5471000.0,5351000.0,
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2011.0,Q3,,2011-09-30,2011-11-14 09:41:47+00:00,414000.0,62000.0,1243000.0,6174000.0,0.0,103973000.0,15000.0,9465000.0,-108886000.0,,82000.0,,6271000.0,-3670000.0,6271000.0,9941000.0,-3670000.0,-3670000.0,9941000.0,6271000.0,
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2011.0,Q2,,2011-06-30,2011-08-15 09:44:07+00:00,239000.0,31000.0,1243000.0,6810000.0,0.0,103815000.0,8000.0,7244000.0,-105742000.0,,12000.0,,6830000.0,-684000.0,6830000.0,7514000.0,-684000.0,-684000.0,7514000.0,6830000.0,
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2012.0,FY,,2012-12-31,2014-03-31 16:07:47+00:00,259000.0,423000.0,1243000.0,2303000.0,0.0,104343000.0,6000.0,6640000.0,-110543000.0,,56000.0,,2365000.0,-4957000.0,2365000.0,7322000.0,-4957000.0,-4957000.0,7322000.0,2365000.0,
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2012.0,Q3,,2012-09-30,2012-11-14 15:48:12+00:00,315000.0,87000.0,1243000.0,2860000.0,0.0,104072000.0,6000.0,1244000.0,-104031000.0,,64000.0,,2930000.0,1284000.0,2930000.0,1646000.0,1284000.0,1284000.0,1646000.0,2930000.0,
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2012.0,Q2,,2012-06-30,2012-08-13 14:50:22+00:00,276000.0,173000.0,1243000.0,3586000.0,0.0,104069000.0,3000.0,1106000.0,-103267000.0,,11000.0,,3600000.0,2045000.0,3600000.0,1555000.0,2045000.0,2045000.0,1555000.0,3600000.0,
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2012.0,Q1,,2012-03-31,2012-05-14 21:48:43+00:00,374000.0,38000.0,1243000.0,4719000.0,0.0,104017000.0,14000.0,1750000.0,-102665000.0,,24000.0,,4757000.0,2595000.0,4757000.0,2162000.0,2595000.0,2595000.0,2162000.0,4757000.0,
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2013.0,FY,,2013-12-31,2015-03-31 17:18:43+00:00,212000.0,132000.0,1243000.0,1663000.0,0.0,106000000.0,8000.0,2863000.0,,,81000.0,-108698000.0,1752000.0,-1455000.0,1752000.0,3207000.0,-1455000.0,-1455000.0,3207000.0,1752000.0,
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2013.0,Q3,,2013-09-30,2013-11-18 06:50:22+00:00,315000.0,65000.0,1243000.0,538000.0,0.0,104440000.0,1000.0,4387000.0,,,101000.0,-109810000.0,640000.0,-4127000.0,640000.0,4767000.0,-4127000.0,-4127000.0,4767000.0,640000.0,
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2013.0,Q2,,2013-06-30,2013-08-08 19:52:49+00:00,716000.0,65000.0,1243000.0,1007000.0,0.0,104372000.0,3000.0,2678000.0,-108044000.0,,20000.0,,1030000.0,-2429000.0,1030000.0,3459000.0,-2429000.0,-2429000.0,3459000.0,1030000.0,
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2013.0,Q1,,2013-03-31,2013-05-13 06:19:06+00:00,698000.0,92000.0,1243000.0,1896000.0,0.0,104343000.0,3000.0,10213000.0,-114651000.0,,39000.0,,1938000.0,-9065000.0,1938000.0,11003000.0,-9065000.0,-9065000.0,11003000.0,1938000.0,
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2014.0,FY,,2014-12-31,2016-03-28 16:01:49+00:00,308000.0,132000.0,1243000.0,2307000.0,0.0,110244000.0,17000.0,1319000.0,,,48000.0,-110874000.0,2372000.0,613000.0,2372000.0,1759000.0,613000.0,613000.0,1759000.0,2372000.0,
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2014.0,Q3,,2014-09-30,2014-11-13 17:09:04+00:00,364000.0,38000.0,1243000.0,593000.0,0.0,107791000.0,13000.0,3499000.0,-112262000.0,,67000.0,,673000.0,-3228000.0,673000.0,3901000.0,-3228000.0,-3228000.0,3901000.0,673000.0,
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2014.0,Q2,,2014-06-30,2014-08-11 08:26:56+00:00,335000.0,36000.0,1243000.0,1015000.0,0.0,106741000.0,9000.0,5336000.0,-112642000.0,,25000.0,,1049000.0,-4658000.0,1049000.0,5707000.0,-4658000.0,-4658000.0,5707000.0,1049000.0,
FENNEC PHARMACEUTICALS INC.,FENC,,1211583,2014.0,Q1,,2014-03-31,2014-05-15 15:16:20+00:00,154000.0,57000.0,1243000.0,1338000.0,0.0,106315000.0,3000.0,5518000.0,-111892000.0,,54000.0,,1395000.0,-4334000.0,1395000.0,5729000.0,-4334000.0,-4334000.0,5729000.0,1395000.0,
