company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othergains,otherincome,otheroperatingexpenses,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
First Data Corp,FDC,H9AD9QN07EKOX2GRN450,883980,2009.0,FY,2009-01-01,2009-12-31,2012-03-05 13:49:00+00:00,,,1452300000.0,,185100000.0,-578800000.0,-1014600000.0,-1014600000.0,-1086400000.0,71800000.0,3250600000.0,9313800000.0,97800000.0,-61300000.0,2740000000.0,92800000.0,1438200000.0,3250600000.0,6063200000.0,1796400000.0,11700000.0,5908400000.0,154800000.0,-1846000000.0,-1691200000.0,9313800000.0,,,
First Data Corp,FDC,H9AD9QN07EKOX2GRN450,883980,2010.0,FY,2010-01-01,2010-12-31,2012-03-05 13:49:00+00:00,,,1414400000.0,,11500000.0,-323800000.0,-846900000.0,-846900000.0,-1021800000.0,174900000.0,3398500000.0,10380400000.0,117300000.0,-15900000.0,3387600000.0,72000000.0,1579700000.0,3398500000.0,6981900000.0,1796600000.0,7800000.0,6465200000.0,516700000.0,-1804700000.0,-1288000000.0,10380400000.0,,,
First Data Corp,FDC,H9AD9QN07EKOX2GRN450,883980,2010.0,Q3,2010-07-01,2010-09-30,2011-11-08 17:02:45+00:00,,,354700000.0,,,52300000.0,-386400000.0,-386400000.0,-431300000.0,44900000.0,841700000.0,2633100000.0,31200000.0,-52300000.0,858600000.0,32300000.0,405100000.0,841700000.0,1791400000.0,455800000.0,2100000.0,1650700000.0,140700000.0,-506000000.0,-365300000.0,2633100000.0,,,
First Data Corp,FDC,H9AD9QN07EKOX2GRN450,883980,2010.0,Q2,2010-04-01,2010-06-30,2011-08-11 18:40:51+00:00,,,347400000.0,,,-122400000.0,-122200000.0,-122200000.0,-171200000.0,49000000.0,852500000.0,2614700000.0,33300000.0,24800000.0,848200000.0,23900000.0,395900000.0,852500000.0,1762200000.0,450900000.0,1400000.0,1615400000.0,146800000.0,-424700000.0,-277900000.0,2614700000.0,,,
First Data Corp,FDC,H9AD9QN07EKOX2GRN450,883980,2011.0,Q4,2011-10-01,2011-12-31,,,,309700000.0,,,-15100000.0,-13600000.0,-13600000.0,-69300000.0,55700000.0,800600000.0,2687800000.0,44400000.0,56400000.0,808400000.0,3600000.0,435700000.0,800600000.0,1887200000.0,461800000.0,2500000.0,1557400000.0,329800000.0,-402900000.0,-73100000.0,2687800000.0,,,
First Data Corp,FDC,H9AD9QN07EKOX2GRN450,883980,2011.0,FY,2011-01-01,2011-12-31,2014-03-10 10:09:27+00:00,,,1245000000.0,,,-270100000.0,-336100000.0,-336100000.0,-516100000.0,180000000.0,3258000000.0,10713600000.0,153400000.0,124100000.0,3529000000.0,46400000.0,1693700000.0,3258000000.0,7455600000.0,1833100000.0,7900000.0,6514100000.0,941500000.0,-1701100000.0,-759600000.0,10713600000.0,,,
First Data Corp,FDC,H9AD9QN07EKOX2GRN450,883980,2011.0,Q3YTD,2011-01-01,2011-09-30,,,,935300000.0,,,-255000000.0,-322500000.0,-322500000.0,-446800000.0,124300000.0,2457400000.0,8025800000.0,109000000.0,67700000.0,2720600000.0,42800000.0,1258000000.0,2457400000.0,5568400000.0,1371300000.0,5400000.0,4956700000.0,611700000.0,-1298200000.0,-686500000.0,8025800000.0,,,
First Data Corp,FDC,H9AD9QN07EKOX2GRN450,883980,2011.0,Q3,2011-07-01,2011-09-30,2011-11-08 17:02:45+00:00,,,263700000.0,,,-18900000.0,-9800000.0,-9800000.0,-53900000.0,44100000.0,838100000.0,2731800000.0,47800000.0,95400000.0,917300000.0,11800000.0,407700000.0,838100000.0,1893700000.0,466700000.0,1600000.0,1600500000.0,293200000.0,-369700000.0,-76500000.0,2731800000.0,,,
First Data Corp,FDC,H9AD9QN07EKOX2GRN450,883980,2011.0,Q2YTD,2011-01-01,2011-06-30,,,,671600000.0,,,-236100000.0,-312700000.0,-312700000.0,-392900000.0,80200000.0,1619300000.0,5294000000.0,61200000.0,-27700000.0,1803300000.0,31000000.0,850300000.0,1619300000.0,3674700000.0,904600000.0,3800000.0,3356200000.0,318500000.0,-928500000.0,-610000000.0,5294000000.0,,,
First Data Corp,FDC,H9AD9QN07EKOX2GRN450,883980,2011.0,Q2,2011-04-01,2011-06-30,2011-08-11 18:40:51+00:00,,,329800000.0,,,-88100000.0,-128200000.0,-128200000.0,-175800000.0,47600000.0,812000000.0,2749800000.0,33500000.0,-1400000.0,939000000.0,18400000.0,438600000.0,812000000.0,1937800000.0,462300000.0,1900000.0,1725800000.0,212000000.0,-461800000.0,-249800000.0,2749800000.0,,,
