company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,otherspecialcharges,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Zimmer Biomet Holdings Inc,ZBH,2P2YLDVPES3BXQ1FRB91,1136869,2007.0,FY,2007-01-01,2007-12-31,2010-02-25 17:24:52+00:00,,3.28,3.28,,3.26,0.0,357900000.0,773700000.0,773700000.0,773200000.0,500000.0,875900000.0,3897500000.0,,0.0,169500000.0,182600000.0,25200000.0,1516700000.0,875900000.0,3021600000.0,-4000000.0,,1894000000.0,1127600000.0,4000000.0,1131600000.0,3897500000.0,235700000.0,235500000.0,237500000.0
Zimmer Biomet Holdings Inc,ZBH,2P2YLDVPES3BXQ1FRB91,1136869,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 15:03:02+00:00,,3.73,3.73,,3.72,,272300000.0,849500000.0,849500000.0,848600000.0,900000.0,997300000.0,4121100000.0,,69000000.0,68500000.0,192300000.0,,1704000000.0,997300000.0,3123800000.0,-31800000.0,,2033800000.0,1090000000.0,31800000.0,1121800000.0,4121100000.0,227500000.0,227300000.0,228300000.0
Zimmer Biomet Holdings Inc,ZBH,2P2YLDVPES3BXQ1FRB91,1136869,2008.0,Q3,2008-07-01,2008-09-30,2009-11-04 16:39:15+00:00,,0.96,0.96,,0.95,,23500000.0,215000000.0,215000000.0,214700000.0,300000.0,237200000.0,952200000.0,,47500000.0,0.0,47900000.0,5600000.0,403700000.0,237200000.0,715000000.0,-28200000.0,,504700000.0,210300000.0,28200000.0,238500000.0,952200000.0,223600000.0,224700000.0,225600000.0
Zimmer Biomet Holdings Inc,ZBH,2P2YLDVPES3BXQ1FRB91,1136869,2009.0,Q4,2009-10-01,2009-12-31,,,0.75,0.75,,0.73,73000000.0,74600000.0,155200000.0,155200000.0,155200000.0,,274400000.0,1107300000.0,,,75300000.0,51700000.0,-65700000.0,460100000.0,274400000.0,832900000.0,10500000.0,1800000.0,594400000.0,238500000.0,-8700000.0,229800000.0,1107300000.0,214800000.0,215000000.0,215800000.0
Zimmer Biomet Holdings Inc,ZBH,2P2YLDVPES3BXQ1FRB91,1136869,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 18:16:31+00:00,,3.34,3.34,,3.32,73000000.0,280800000.0,717400000.0,717400000.0,717400000.0,,990700000.0,4095400000.0,,35000000.0,43200000.0,205700000.0,,1729000000.0,990700000.0,3104700000.0,22400000.0,1800000.0,2085900000.0,1018800000.0,-20600000.0,998200000.0,4095400000.0,214800000.0,215000000.0,215800000.0
Zimmer Biomet Holdings Inc,ZBH,2P2YLDVPES3BXQ1FRB91,1136869,2009.0,Q3,2009-07-01,2009-09-30,2010-11-03 14:48:41+00:00,,0.7,0.7,,0.7,,49900000.0,149900000.0,149900000.0,149900000.0,,249300000.0,975600000.0,,35000000.0,,52200000.0,22200000.0,412900000.0,249300000.0,726300000.0,4200000.0,,522300000.0,204000000.0,-4200000.0,199800000.0,975600000.0,214100000.0,213600000.0,214500000.0
Zimmer Biomet Holdings Inc,ZBH,2P2YLDVPES3BXQ1FRB91,1136869,2009.0,Q3YTD,2009-01-01,2009-09-30,,,2.59,2.59,,2.59,,206200000.0,562200000.0,562200000.0,562200000.0,,716300000.0,2988100000.0,,35000000.0,-32100000.0,154000000.0,65700000.0,1268900000.0,716300000.0,2271800000.0,11900000.0,,1491500000.0,780300000.0,-11900000.0,768400000.0,2988100000.0,214100000.0,213600000.0,214500000.0
Zimmer Biomet Holdings Inc,ZBH,2P2YLDVPES3BXQ1FRB91,1136869,2009.0,Q2YTD,2009-01-01,2009-06-30,,,1.89,1.89,,1.89,,156300000.0,412300000.0,412300000.0,412300000.0,,467000000.0,2012500000.0,,,-32100000.0,101800000.0,43500000.0,856000000.0,467000000.0,1545500000.0,7700000.0,,969200000.0,576300000.0,-7700000.0,568600000.0,2012500000.0,214400000.0,214700000.0,215500000.0
Zimmer Biomet Holdings Inc,ZBH,2P2YLDVPES3BXQ1FRB91,1136869,2009.0,Q2,2009-04-01,2009-06-30,2010-08-05 16:35:18+00:00,,0.98,0.98,,0.98,,82400000.0,210100000.0,210100000.0,210100000.0,,236800000.0,1019900000.0,,,-32100000.0,49900000.0,36500000.0,432300000.0,236800000.0,783100000.0,4000000.0,,486600000.0,296500000.0,-4000000.0,292500000.0,1019900000.0,214400000.0,214700000.0,215500000.0
Zimmer Biomet Holdings Inc,ZBH,2P2YLDVPES3BXQ1FRB91,1136869,2009.0,Q1,2009-01-01,2009-03-31,2010-05-04 18:06:43+00:00,,0.91,0.91,,0.91,,73900000.0,202200000.0,202200000.0,202200000.0,,230200000.0,992600000.0,,,,51900000.0,7000000.0,423700000.0,230200000.0,762400000.0,3700000.0,,482600000.0,279800000.0,-3700000.0,276100000.0,992600000.0,222200000.0,221500000.0,222100000.0
