company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
St. Jude Medical Inc,STJ,549300IBJ0QJU1E0GW56,203077,2007.0,FY,2006-12-31,2007-12-29,2010-03-02 16:39:24+00:00,-12238000.0,34029000.0,100599000.0,32686000.0,197665000.0,9436000.0,80835000.0,35040000.0,9245869000.0,-259484000.0,-306315000.0,865569000.0,-259484000.0,-306315000.0,865569000.0,309206000.0,537756000.0,537756000.0,15284000.0,183698000.0,-19849000.0,,-287157000.0,-8724224000.0,-999867000.0,12929000.0
St. Jude Medical Inc,STJ,549300IBJ0QJU1E0GW56,203077,2008.0,FY,2007-12-30,2009-01-03,2011-03-02 16:38:54+00:00,-490027000.0,49973000.0,211860000.0,21712000.0,202428000.0,-4677000.0,-83856000.0,,967622000.0,-322493000.0,-871073000.0,945592000.0,-322493000.0,-871073000.0,945592000.0,-252651000.0,353018000.0,353018000.0,424029000.0,215009000.0,-37134000.0,,-343912000.0,-1205124000.0,-300000000.0,
St. Jude Medical Inc,STJ,549300IBJ0QJU1E0GW56,203077,2009.0,Q4,2009-10-04,2010-01-02,,-114714000.0,212000.0,225062000.0,24549000.0,56823000.0,459000.0,42567000.0,,9704001000.0,-497193000.0,-224118000.0,315498000.0,-497193000.0,-224118000.0,315498000.0,-405354000.0,189650000.0,189650000.0,26246000.0,46111000.0,-19322000.0,,-90082000.0,-9747305000.0,-500000000.0,
St. Jude Medical Inc,STJ,549300IBJ0QJU1E0GW56,203077,2009.0,FY,2009-01-04,2010-01-02,2012-02-29 16:52:26+00:00,-129507000.0,370000.0,225062000.0,24549000.0,213465000.0,8890000.0,-181732000.0,,11109754000.0,-130696000.0,-490585000.0,868875000.0,-130696000.0,-490585000.0,868875000.0,256484000.0,777226000.0,777226000.0,59546000.0,152629000.0,-34670000.0,,-326408000.0,-10393079000.0,-1000000000.0,
St. Jude Medical Inc,STJ,549300IBJ0QJU1E0GW56,203077,2009.0,Q3,2009-07-05,2009-10-03,,-5728000.0,158000.0,,,55698000.0,6234000.0,-46061000.0,,1183754000.0,210818000.0,-100256000.0,194916000.0,210818000.0,-100256000.0,194916000.0,311712000.0,166935000.0,166935000.0,18186000.0,54064000.0,-16678000.0,,-77850000.0,-527000000.0,-500000000.0,
St. Jude Medical Inc,STJ,549300IBJ0QJU1E0GW56,203077,2009.0,Q3YTD,2009-01-04,2009-10-03,2010-11-10 16:53:31+00:00,-14793000.0,158000.0,,,156642000.0,8431000.0,-224299000.0,,1405753000.0,366497000.0,-266467000.0,553377000.0,366497000.0,-266467000.0,553377000.0,661838000.0,587576000.0,587576000.0,33300000.0,106518000.0,-15348000.0,,-236326000.0,-645774000.0,-500000000.0,
St. Jude Medical Inc,STJ,549300IBJ0QJU1E0GW56,203077,2009.0,Q2YTD,2009-01-04,2009-07-04,2010-08-11 16:47:17+00:00,-9065000.0,,,,100944000.0,2197000.0,-178238000.0,,221999000.0,155679000.0,-166211000.0,358461000.0,155679000.0,-166211000.0,358461000.0,350126000.0,420641000.0,420641000.0,15114000.0,52454000.0,1330000.0,,-158476000.0,-118774000.0,,
St. Jude Medical Inc,STJ,549300IBJ0QJU1E0GW56,203077,2009.0,Q2,2009-04-05,2009-07-04,,-3057000.0,,,,49841000.0,9141000.0,-50899000.0,,,3921000.0,-76499000.0,224755000.0,3921000.0,-76499000.0,224755000.0,161318000.0,219370000.0,219370000.0,6443000.0,31295000.0,4189000.0,,-77631000.0,-27374000.0,,
St. Jude Medical Inc,STJ,549300IBJ0QJU1E0GW56,203077,2009.0,Q1,2009-01-04,2009-04-04,2010-05-04 16:29:43+00:00,-6008000.0,,,,51103000.0,-6944000.0,-127339000.0,,221999000.0,151758000.0,-89712000.0,133706000.0,151758000.0,-89712000.0,133706000.0,188808000.0,201271000.0,201271000.0,8671000.0,21159000.0,-2859000.0,,-80845000.0,-91400000.0,,
St. Jude Medical Inc,STJ,549300IBJ0QJU1E0GW56,203077,2010.0,Q4,2010-10-03,2011-01-01,,-550097000.0,9308000.0,308000000.0,63000000.0,68187000.0,-2224000.0,183430000.0,,294906000.0,-219677000.0,-612225000.0,482439000.0,-219677000.0,-612225000.0,482439000.0,-351687000.0,206008000.0,206008000.0,15506000.0,50694000.0,8573000.0,,-78701000.0,25723000.0,-591000000.0,8000000.0
St. Jude Medical Inc,STJ,549300IBJ0QJU1E0GW56,203077,2010.0,FY,2010-01-03,2011-01-01,2013-02-26 17:18:44+00:00,-679000000.0,10000000.0,308000000.0,63000000.0,244000000.0,0.0,48000000.0,,966000000.0,-86000000.0,-1081000000.0,1274000000.0,-86000000.0,-1081000000.0,1274000000.0,107000000.0,907000000.0,907000000.0,65000000.0,169000000.0,-105000000.0,0.0,-305000000.0,-630000000.0,-591000000.0,8000000.0
