company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
St. Jude Medical Inc,STJ,549300IBJ0QJU1E0GW56,203077,2007.0,FY,2006-12-31,2007-12-29,2010-03-02 16:39:24+00:00,,1.57,1.57,,1.53,172520000.0,537756000.0,537756000.0,537756000.0,,1003302000.0,3779277000.0,38292000.0,-83227000.0,476332000.0,85382000.0,1382466000.0,1041594000.0,2737683000.0,,,1944180000.0,793503000.0,-83227000.0,710276000.0,3779277000.0,342500000.0,342103000.0,352444000.0
St. Jude Medical Inc,STJ,549300IBJ0QJU1E0GW56,203077,2008.0,FY,2007-12-30,2009-01-03,2011-03-02 16:38:54+00:00,,1.03,1.03,,1.01,227750000.0,353018000.0,353018000.0,353018000.0,,1105938000.0,4363251000.0,64603000.0,-74279000.0,851153000.0,49984000.0,1636526000.0,1170541000.0,3192710000.0,,,2537663000.0,655047000.0,-74279000.0,580768000.0,4363251000.0,342700000.0,342888000.0,349722000.0
St. Jude Medical Inc,STJ,549300IBJ0QJU1E0GW56,203077,2009.0,Q4,2009-10-04,2010-01-02,,,0.58,0.58,,0.57,74661000.0,189650000.0,189650000.0,189650000.0,,319915000.0,1203462000.0,27700000.0,-19786000.0,140981000.0,31589000.0,399180000.0,347615000.0,855847000.0,,,571750000.0,284097000.0,-19786000.0,264311000.0,1203462000.0,340900000.0,340880000.0,344359000.0
St. Jude Medical Inc,STJ,549300IBJ0QJU1E0GW56,203077,2009.0,FY,2009-01-04,2010-01-02,2012-02-29 16:52:26+00:00,,2.28,2.28,,2.26,280167000.0,777226000.0,777226000.0,777226000.0,,1219624000.0,4681273000.0,33761000.0,-55653000.0,565608000.0,73983000.0,1675251000.0,1253385000.0,3427888000.0,,,2314842000.0,1113046000.0,-55653000.0,1057393000.0,4681273000.0,340900000.0,340880000.0,344359000.0
St. Jude Medical Inc,STJ,549300IBJ0QJU1E0GW56,203077,2009.0,Q3YTD,2009-01-04,2009-10-03,,,1.7,1.7,,1.69,205506000.0,587576000.0,587576000.0,587576000.0,,899709000.0,3477811000.0,6061000.0,-35867000.0,424627000.0,42394000.0,1276071000.0,905770000.0,2572041000.0,,,1743092000.0,828949000.0,-35867000.0,793082000.0,3477811000.0,340700000.0,340651000.0,344298000.0
St. Jude Medical Inc,STJ,549300IBJ0QJU1E0GW56,203077,2009.0,Q3,2009-07-05,2009-10-03,2010-11-10 16:53:31+00:00,,0.49,0.49,,0.48,51501000.0,166935000.0,166935000.0,166935000.0,,299670000.0,1159606000.0,6061000.0,-23594000.0,142224000.0,42394000.0,427227000.0,305731000.0,853875000.0,,,611845000.0,242030000.0,-23594000.0,218436000.0,1159606000.0,340700000.0,340651000.0,344298000.0
St. Jude Medical Inc,STJ,549300IBJ0QJU1E0GW56,203077,2009.0,Q2YTD,2009-01-04,2009-07-04,,,1.21,1.21,,1.21,154005000.0,420641000.0,420641000.0,420641000.0,,600039000.0,2318205000.0,,-12273000.0,282403000.0,,848844000.0,600039000.0,1718166000.0,,,1131247000.0,586919000.0,-12273000.0,574646000.0,2318205000.0,348200000.0,346767000.0,350620000.0
St. Jude Medical Inc,STJ,549300IBJ0QJU1E0GW56,203077,2009.0,Q2,2009-04-05,2009-07-04,2010-08-11 16:47:17+00:00,,0.63,0.63,,0.63,80316000.0,219370000.0,219370000.0,219370000.0,,305544000.0,1184412000.0,,-4961000.0,143052000.0,,431169000.0,305544000.0,878868000.0,,,574221000.0,304647000.0,-4961000.0,299686000.0,1184412000.0,348200000.0,346767000.0,350620000.0
St. Jude Medical Inc,STJ,549300IBJ0QJU1E0GW56,203077,2009.0,Q1,2009-01-04,2009-04-04,2010-05-04 16:29:43+00:00,,0.58,0.58,,0.58,73689000.0,201271000.0,201271000.0,201271000.0,,294495000.0,1133793000.0,,-7312000.0,139351000.0,,417675000.0,294495000.0,839298000.0,,,557026000.0,282272000.0,-7312000.0,274960000.0,1133793000.0,347000000.0,345850000.0,349807000.0
St. Jude Medical Inc,STJ,549300IBJ0QJU1E0GW56,203077,2010.0,Q4,2010-10-03,2011-01-01,,,0.62,0.62,,0.62,43905000.0,206008000.0,206008000.0,206008000.0,,375710000.0,1349630000.0,28000000.0,-16343000.0,174287000.0,17000000.0,488377000.0,403710000.0,945920000.0,,,679664000.0,266256000.0,-16343000.0,249913000.0,1349630000.0,328600000.0,328200000.0,330500000.0
