Ticker,ISIN Code,Company Name,min_date,max_date,figi,cik,has_file,has_data
A,US00846U1016,Agilent Technologies Inc.,2000-06-30,2020-06-30,BBG000C2V541,1090872.0,1.0,1.0
AA,US0138171014,Alcoa Inc,1970-03-31,2016-10-31,,,0.0,0.0
AAL,US02376R1023,American Airlines Group Inc,2015-03-31,2020-06-30,BBG005P7Q8V5,6201.0,1.0,1.0
AAL (Alex),US0144761055,Alexander & Alexander Services Inc,1988-12-31,1996-12-31,,,0.0,0.0
AAP,US00751Y1064,Advance Auto Parts Inc,2015-09-30,2020-06-30,BBG000F7RFH6,1158449.0,1.0,1.0
AAPL,US0378331005,Apple Inc.,1982-12-31,2020-06-30,BBG000B9Y5X2,320193.0,1.0,1.0
AAV,US05349F4028,Avatex Corp (Old),1970-03-31,1994-06-30,BBG000H5MYP3,716644.0,1.0,1.0
ABBV,US00287Y1091,AbbVie Inc.,2013-03-31,2020-06-30,BBG003P7K0B5,1551152.0,1.0,1.0
ABC,US03073E1055,AmerisourceBergen Corp.,2001-09-30,2020-06-30,BBG000MDCSN6,1140859.0,1.0,1.0
ABI,US0381491002,Applied Biosystems Inc.,1974-12-31,2008-09-30,BBG002GPQRG7,,1.0,1.0
ABMD,US0036541003,ABIOMED Inc,2018-05-31,2020-06-30,BBG000C10C06,815094.0,1.0,1.0
ABS,US0131041040,Albertson's Inc.,1984-12-31,2006-03-31,BBG002GLMHS9,,1.0,0.0
ABT,US0028241000,Abbott Laboratories,1970-03-31,2020-06-30,BBG000B9ZZG4,1800.0,1.0,1.0
ABX,CA0679011084,Barrick Gold Corp.,1993-12-31,2002-06-30,BBG000BB0BD3,1175580.0,1.0,1.0
ACAS,US02503Y1038,American Capital Ltd,2007-09-30,2008-12-31,BBG000BYRBD4,817473.0,1.0,1.0
ACKH,US0423841073,Armstrong Holding Inc,1970-03-31,2000-09-30,BBG000BB1QF7,,1.0,1.0
ACN,IE00B4BNMY34,Accenture plc,2011-09-30,2020-06-30,BBG000D9DC22,1467373.0,1.0,1.0
ACS,US0081901003,Affiliated Computer Services,2004-06-30,2009-12-31,BBG002GVJZ56,2135.0,1.0,1.0
ACV,US0130781000,Alberto-Culver Co.,1971-03-31,2006-09-30,,,0.0,0.0
ACY,US0253211009,American Cyanamid Co,1970-03-31,1994-06-30,,,0.0,0.0
ADBE,US00724F1012,Adobe Systems Inc.,1997-06-30,2020-06-30,BBG000BB5BP5,796343.0,1.0,1.0
ADCT,US0008863096,ADC Telecommunications Inc,1999-09-30,2007-06-30,BBG000BB5W33,61478.0,1.0,1.0
ADI,US0326541051,Analog Devices Inc.,1999-12-31,2020-06-30,BBG000BB6RX0,6281.0,1.0,1.0
ADM,US0394831020,Archer-Daniels-Midland Co.,1970-03-31,2020-06-30,BBG000BB7059,7084.0,1.0,1.0
ADP,US0530151036,Automatic Data Processing Inc,1981-03-31,2020-06-30,BBG000JG1MT2,8670.0,1.0,1.0
ADS,US0185811082,Alliance Data Systems Corp.,2013-12-31,2020-05-31,BBG000BFNSP9,1101215.0,1.0,1.0
ADSK,US0527691069,Autodesk Inc.,1989-12-31,2020-06-30,BBG000BM7TD3,769397.0,1.0,1.0
ADT,US00101J1060,ADT Corp.,2012-12-31,2016-03-31,BBG003CFK815,1703056.0,1.0,1.0
AEE,US0236081024,Ameren Corp.,1970-03-31,2020-06-30,BBG000B9XB97,1002910.0,1.0,1.0
AEP,US0255371017,American Electric Power Company Inc,1970-03-31,2020-06-30,BBG000BB9NG5,4904.0,1.0,1.0
AES,US00130H1059,AES Corp.,1998-12-31,2020-06-30,BBG000C23NG0,874761.0,1.0,1.0
AET,US00817Y1082,Aetna Inc.,1976-09-30,2018-11-30,BBG000FJLJ51,1122304.0,1.0,1.0
AFL,US0010551028,AFLAC Inc.,1999-06-30,2020-06-30,BBG000BBBRC7,4977.0,1.0,1.0
AFS.A,US0460081088,Associates First Capital Corp,1998-06-30,2000-09-30,,,0.0,0.0
AGC,US0263511067,American General Insurance Co,1976-09-30,2001-06-30,BBG002GLMZN4,,1.0,1.0
AGN,IE00BY9D5467,Allergan plc,1999-06-30,2020-04-30,BBG000FH9TR3,1578845.0,1.0,1.0
AGN (Old),US0184901025,Allergan Inc. (Old),1992-03-31,2014-12-31,BBG000BHQ224,1578845.0,1.0,1.0
AHM,US0086771062,H. F. Ahmanson & Co.,1973-06-30,1998-09-30,,,0.0,0.0
AIG,US0268747849,AIG Inc.,1980-03-31,2020-06-30,BBG000BBF265,5272.0,1.0,1.0
AIT (Ame),US0309541011,Ameritech Corp.,1983-12-31,1999-09-30,,,0.0,0.0
AIV,US03748R7540,Aimco,2003-03-31,2020-06-30,,,0.0,0.0
AIZ,US04621X1081,Assurant Inc.,2007-06-30,2020-06-30,BBG000BZX2Z0,1267238.0,1.0,1.0
AJG,US3635761097,Arthur J. Gallagher & Co,2016-06-30,2020-06-30,BBG000BBHZK4,354190.0,1.0,1.0
AKAM,US00971T1016,Akamai Technologies Inc.,2007-09-30,2020-06-30,BBG000BJR6K0,1086222.0,1.0,1.0
AKS,US0015471081,AK Steel Holding Corp.,2008-09-30,2011-09-30,BBG000BL8J55,918160.0,1.0,1.0
AL (Alc),CA0137161059,Alcan Inc.,1970-03-31,2002-06-30,BBG000BBJQH6,1487712.0,1.0,0.0
ALB,US0126531013,Albemarle Corp,2016-07-31,2020-06-30,BBG000BJ27W2,915913.0,1.0,1.0
ALGN,US0162551016,Align Technology Inc.,2017-06-30,2020-06-30,BBG000BRNWJ1,1097149.0,1.0,1.0
ALK,US0116591092,Alaska Air Group,2016-06-30,2020-06-30,BBG000BBL222,766421.0,1.0,1.0
ALL,US0200021014,Allstate Corp.,1995-09-30,2020-06-30,BBG000BVMJ93,899051.0,1.0,1.0
ALLE,IE00BFRT3W74,Allegion Plc,2013-12-31,2020-06-30,BBG004T9FH88,1579241.0,1.0,1.0
ALTR (Alt),US0214411003,Altera Corp.,2000-06-30,2015-09-30,BBG000BBN2V8,1701732.0,1.0,1.0
ALXN,US0153511094,Alexion Pharmaceuticals Inc,2012-06-30,2020-06-30,BBG000G32HL2,899866.0,1.0,1.0
AM,US0263751051,American Greetings Corp,1989-12-31,2004-03-31,,,0.0,0.0
AMAT,US0382221051,Applied Materials Inc.,1995-03-31,2020-06-30,BBG000BBPST2,6951.0,1.0,1.0
AMBC,US0231398845,Ambac Financial Group Inc.,2000-12-31,2008-03-31,BBG004HQHL46,874501.0,1.0,1.0
AMCC,US03822W4069,Applied Micro Circuits Corp.,2001-03-31,2006-03-31,BBG000BQ7MS3,711065.0,1.0,1.0
AMCR,JE00BJ1F3079,Amcor plc,2019-06-30,2020-06-30,BBG00LNJRTX7,1748790.0,1.0,1.0
AMD,US0079031078,Advanced Micro Devices Inc,1984-06-30,2020-06-30,BBG000BBQPP1,2488.0,1.0,1.0
AME,US0311001004,AMETEK Inc,2013-09-30,2020-06-30,BBG000B9XKF0,1037868.0,1.0,1.0
AMG,US0082521081,Affiliated Managers Group Inc,2014-09-30,2019-11-30,BBG000C06204,1004434.0,1.0,1.0
AMGN,US0311621009,Amgen Inc.,1992-03-31,2020-06-30,BBG000BBSCX9,318154.0,1.0,1.0
AMH (Amd),US0239051024,Amdahl Corp.,1986-12-31,1997-06-30,,,0.0,0.0
AMP,US03076C1062,Ameriprise Financial Inc,2005-12-31,2020-06-30,BBG000G3QP92,820027.0,1.0,1.0
AMP (Old),US0318971019,Amp Inc.,1970-03-31,1999-03-31,,,0.0,0.0
AMR (AMR),US0017651060,AMR Corp.,1970-03-31,2002-12-31,BBG000BBVK30,,1.0,1.0
AMT,US03027X1000,American Tower Corp.,2007-12-31,2020-06-30,BBG000B9Y214,1053507.0,1.0,1.0
AMT (Acme),US0046261071,Acme-Cleveland Corp,1970-03-31,1992-06-30,,,0.0,0.0
AMX (AMA),US0231271034,AMAX Inc.,1970-03-31,1993-09-30,,,0.0,0.0
AMZN,US0231351067,Amazon.com Inc.,2005-12-31,2020-06-30,BBG000BVQ4Z3,1018724.0,1.0,1.0
AN,US05329W1027,AutoNation Inc.,2003-03-31,2017-07-31,BBG000BBXP55,350698.0,1.0,1.0
AN (Amoco),US0319051027,Amoco Corp.,1970-03-31,1998-12-31,,,0.0,0.0
ANDV,US03349M1053,Andeavor,2007-09-30,2018-09-30,BBG000BVPRM7,50104.0,1.0,1.0
ANDW,US0344251089,Andrew Corp.,1984-12-31,2006-09-30,BBG002GPYSW8,317093.0,1.0,1.0
ANET,US0404131064,Arista Networks Inc,2018-08-31,2020-06-30,BBG0068J0HN3,1596532.0,1.0,1.0
ANF,US0028962076,Abercrombie & Fitch Co,2007-03-31,2013-09-30,BBG000H9G9Y7,1018840.0,1.0,1.0
ANR,US02076X1028,Alpha Natural Resources Inc,2011-06-30,2012-09-30,BBG000PM7JF8,1301063.0,1.0,1.0
ANSS,US03662Q1058,ANSYS Inc.,2017-06-30,2020-06-30,BBG000GXZJ63,1013462.0,1.0,1.0
ANTM,US0367521038,Anthem Inc.,2002-09-30,2020-06-30,BBG000BCGBK6,1156039.0,1.0,1.0
ANV,US0078691005,Aeroquip Vickers Inc,1970-03-31,1999-03-31,,,0.0,0.0
AON,IE00BLP1HW54,Aon plc,1996-06-30,2020-06-30,BBG00SSQW978,,1.0,1.0
AOS,US8318652091,A. O. Smith Corp,2017-07-31,2020-06-30,BBG000BC1MP3,91142.0,1.0,1.0
APA,US0374111054,Apache Corp,1997-09-30,2020-06-30,BBG000BC2FG7,6769.0,1.0,1.0
