Ticker,ISIN Code,Company Name,min_date,max_date,figi,cik,has_file,has_data
AA,US0138171014,Alcoa Inc,1970-03-31,2016-10-31,,,0.0,0.0
AAL (Alex),US0144761055,Alexander & Alexander Services Inc,1988-12-31,1996-12-31,,,0.0,0.0
ABS,US0131041040,Albertson's Inc.,1984-12-31,2006-03-31,BBG002GLMHS9,,1.0,0.0
ACV,US0130781000,Alberto-Culver Co.,1971-03-31,2006-09-30,,,0.0,0.0
ACY,US0253211009,American Cyanamid Co,1970-03-31,1994-06-30,,,0.0,0.0
AFS.A,US0460081088,Associates First Capital Corp,1998-06-30,2000-09-30,,,0.0,0.0
AHM,US0086771062,H. F. Ahmanson & Co.,1973-06-30,1998-09-30,,,0.0,0.0
AIT (Ame),US0309541011,Ameritech Corp.,1983-12-31,1999-09-30,,,0.0,0.0
AIV,US03748R7540,Aimco,2003-03-31,2020-06-30,,,0.0,0.0
AL (Alc),CA0137161059,Alcan Inc.,1970-03-31,2002-06-30,BBG000BBJQH6,1487712.0,1.0,0.0
AM,US0263751051,American Greetings Corp,1989-12-31,2004-03-31,,,0.0,0.0
AMH (Amd),US0239051024,Amdahl Corp.,1986-12-31,1997-06-30,,,0.0,0.0
AMP (Old),US0318971019,Amp Inc.,1970-03-31,1999-03-31,,,0.0,0.0
AMT (Acme),US0046261071,Acme-Cleveland Corp,1970-03-31,1992-06-30,,,0.0,0.0
AMX (AMA),US0231271034,AMAX Inc.,1970-03-31,1993-09-30,,,0.0,0.0
AN (Amoco),US0319051027,Amoco Corp.,1970-03-31,1998-12-31,,,0.0,0.0
ANV,US0078691005,Aeroquip Vickers Inc,1970-03-31,1999-03-31,,,0.0,0.0
AR (Asa),US0434131035,Asarco Inc.,1970-03-31,1999-09-30,,,0.0,0.0
ARC (Atl),US0488251036,Atlantic Richfield Co,1970-03-31,2000-03-31,,,0.0,0.0
AS,US0421701006,Armco Inc.,1970-03-31,1998-09-30,,,0.0,0.0
ASC (Ame),US0300961010,American Stores Co.,1970-03-31,1999-03-31,,,0.0,0.0
ASND,US0434911097,Ascend Comm's Inc,1998-06-30,1999-03-31,,,0.0,0.0
ASO,US0321651020,AmSouth Bancorp,1999-03-31,2006-09-30,BBG002GLND52,,1.0,0.0
ATI (AirT),US00949T1007,Airtouch Communications Inc.,1994-06-30,1999-03-31,,,0.0,0.0
AWE,US00209A1060,AT&T Wireless,2001-09-30,2004-09-30,BBG002GV7RM8,,1.0,0.0
AZA.A,US0226151084,ALZA Corp.,1990-12-31,2001-03-31,BBG002GLMTN8,4310.0,1.0,0.0
BAC (Old),US0660501059,BankAmerica Corp. (Old),1976-09-30,1998-09-30,,,0.0,0.0
