Ticker,ISIN Code,Company Name,min_date,max_date,figi,cik
A,US00846U1016,Agilent Technologies Inc.,2000-06-30,2020-06-30,BBG000C2V541,0001090872
AA,US0138171014,Alcoa Inc,1970-03-31,2016-10-31,,
AAL,US02376R1023,American Airlines Group Inc,2015-03-31,2020-06-30,BBG005P7Q8V5,0000006201
AAL (Alex),US0144761055,Alexander & Alexander Services Inc,1988-12-31,1996-12-31,,
AAP,US00751Y1064,Advance Auto Parts Inc,2015-09-30,2020-06-30,BBG000F7RFH6,0001158449
AAPL,US0378331005,Apple Inc.,1982-12-31,2020-06-30,BBG000B9Y5X2,0000320193
AAV,US05349F4028,Avatex Corp (Old),1970-03-31,1994-06-30,BBG000H5MYP3,0000716644
ABBV,US00287Y1091,AbbVie Inc.,2013-03-31,2020-06-30,BBG003P7K0B5,0001551152
ABC,US03073E1055,AmerisourceBergen Corp.,2001-09-30,2020-06-30,BBG000MDCSN6,0001140859
ABI,US0381491002,Applied Biosystems Inc.,1974-12-31,2008-09-30,BBG002GPQRG7,
ABMD,US0036541003,ABIOMED Inc,2018-05-31,2020-06-30,BBG000C10C06,0000815094
ABS,US0131041040,Albertson's Inc.,1984-12-31,2006-03-31,BBG002GLMHS9,
ABT,US0028241000,Abbott Laboratories,1970-03-31,2020-06-30,BBG000B9ZZG4,0000001800
ABX,CA0679011084,Barrick Gold Corp.,1993-12-31,2002-06-30,BBG000BB0BD3,0001175580
ACAS,US02503Y1038,American Capital Ltd,2007-09-30,2008-12-31,BBG000BYRBD4,0000817473
ACKH,US0423841073,Armstrong Holding Inc,1970-03-31,2000-09-30,BBG000BB1QF7,
ACN,IE00B4BNMY34,Accenture plc,2011-09-30,2020-06-30,BBG000D9DC22,0001467373
ACS,US0081901003,Affiliated Computer Services,2004-06-30,2009-12-31,BBG002GVJZ56,0000002135
ACV,US0130781000,Alberto-Culver Co.,1971-03-31,2006-09-30,,
ACY,US0253211009,American Cyanamid Co,1970-03-31,1994-06-30,,
ADBE,US00724F1012,Adobe Systems Inc.,1997-06-30,2020-06-30,BBG000BB5BP5,0000796343
ADCT,US0008863096,ADC Telecommunications Inc,1999-09-30,2007-06-30,BBG000BB5W33,0000061478
ADI,US0326541051,Analog Devices Inc.,1999-12-31,2020-06-30,BBG000BB6RX0,0000006281
ADM,US0394831020,Archer-Daniels-Midland Co.,1970-03-31,2020-06-30,BBG000BB7059,0000007084
ADP,US0530151036,Automatic Data Processing Inc,1981-03-31,2020-06-30,BBG000JG1MT2,0000008670
ADS,US0185811082,Alliance Data Systems Corp.,2013-12-31,2020-05-31,BBG000BFNSP9,0001101215
ADSK,US0527691069,Autodesk Inc.,1989-12-31,2020-06-30,BBG000BM7TD3,0000769397
ADT,US00101J1060,ADT Corp.,2012-12-31,2016-03-31,BBG003CFK815,0001703056
AEE,US0236081024,Ameren Corp.,1970-03-31,2020-06-30,BBG000B9XB97,0001002910
AEP,US0255371017,American Electric Power Company Inc,1970-03-31,2020-06-30,BBG000BB9NG5,0000004904
AES,US00130H1059,AES Corp.,1998-12-31,2020-06-30,BBG000C23NG0,0000874761
AET,US00817Y1082,Aetna Inc.,1976-09-30,2018-11-30,BBG000FJLJ51,0001122304
AFL,US0010551028,AFLAC Inc.,1999-06-30,2020-06-30,BBG000BBBRC7,0000004977
AFS.A,US0460081088,Associates First Capital Corp,1998-06-30,2000-09-30,,
AGC,US0263511067,American General Insurance Co,1976-09-30,2001-06-30,BBG002GLMZN4,
AGN,IE00BY9D5467,Allergan plc,1999-06-30,2020-04-30,BBG000FH9TR3,0001578845
AGN (Old),US0184901025,Allergan Inc. (Old),1992-03-31,2014-12-31,BBG000BHQ224,0001578845
AHM,US0086771062,H. F. Ahmanson & Co.,1973-06-30,1998-09-30,,
AIG,US0268747849,AIG Inc.,1980-03-31,2020-06-30,BBG000BBF265,0000005272
AIT (Ame),US0309541011,Ameritech Corp.,1983-12-31,1999-09-30,,
AIV,US03748R7540,Aimco,2003-03-31,2020-06-30,,
AIZ,US04621X1081,Assurant Inc.,2007-06-30,2020-06-30,BBG000BZX2Z0,0001267238
AJG,US3635761097,Arthur J. Gallagher & Co,2016-06-30,2020-06-30,BBG000BBHZK4,0000354190
AKAM,US00971T1016,Akamai Technologies Inc.,2007-09-30,2020-06-30,BBG000BJR6K0,0001086222
AKS,US0015471081,AK Steel Holding Corp.,2008-09-30,2011-09-30,BBG000BL8J55,0000918160
AL (Alc),CA0137161059,Alcan Inc.,1970-03-31,2002-06-30,BBG000BBJQH6,0001487712
ALB,US0126531013,Albemarle Corp,2016-07-31,2020-06-30,BBG000BJ27W2,0000915913
ALGN,US0162551016,Align Technology Inc.,2017-06-30,2020-06-30,BBG000BRNWJ1,0001097149
ALK,US0116591092,Alaska Air Group,2016-06-30,2020-06-30,BBG000BBL222,0000766421
ALL,US0200021014,Allstate Corp.,1995-09-30,2020-06-30,BBG000BVMJ93,0000899051
ALLE,IE00BFRT3W74,Allegion Plc,2013-12-31,2020-06-30,BBG004T9FH88,0001579241
ALTR (Alt),US0214411003,Altera Corp.,2000-06-30,2015-09-30,BBG000BBN2V8,0001701732
ALXN,US0153511094,Alexion Pharmaceuticals Inc,2012-06-30,2020-06-30,BBG000G32HL2,0000899866
AM,US0263751051,American Greetings Corp,1989-12-31,2004-03-31,,
AMAT,US0382221051,Applied Materials Inc.,1995-03-31,2020-06-30,BBG000BBPST2,0000006951
AMBC,US0231398845,Ambac Financial Group Inc.,2000-12-31,2008-03-31,BBG004HQHL46,0000874501
AMCC,US03822W4069,Applied Micro Circuits Corp.,2001-03-31,2006-03-31,BBG000BQ7MS3,0000711065
AMCR,JE00BJ1F3079,Amcor plc,2019-06-30,2020-06-30,BBG00LNJRTX7,0001748790
AMD,US0079031078,Advanced Micro Devices Inc,1984-06-30,2020-06-30,BBG000BBQPP1,0000002488
AME,US0311001004,AMETEK Inc,2013-09-30,2020-06-30,BBG000B9XKF0,0001037868
AMG,US0082521081,Affiliated Managers Group Inc,2014-09-30,2019-11-30,BBG000C06204,0001004434
AMGN,US0311621009,Amgen Inc.,1992-03-31,2020-06-30,BBG000BBSCX9,0000318154
AMH (Amd),US0239051024,Amdahl Corp.,1986-12-31,1997-06-30,,
AMP,US03076C1062,Ameriprise Financial Inc,2005-12-31,2020-06-30,BBG000G3QP92,0000820027
AMP (Old),US0318971019,Amp Inc.,1970-03-31,1999-03-31,,
AMR (AMR),US0017651060,AMR Corp.,1970-03-31,2002-12-31,BBG000BBVK30,
AMT,US03027X1000,American Tower Corp.,2007-12-31,2020-06-30,BBG000B9Y214,0001053507
AMT (Acme),US0046261071,Acme-Cleveland Corp,1970-03-31,1992-06-30,,
AMX (AMA),US0231271034,AMAX Inc.,1970-03-31,1993-09-30,,
AMZN,US0231351067,Amazon.com Inc.,2005-12-31,2020-06-30,BBG000BVQ4Z3,0001018724
AN,US05329W1027,AutoNation Inc.,2003-03-31,2017-07-31,BBG000BBXP55,0000350698
AN (Amoco),US0319051027,Amoco Corp.,1970-03-31,1998-12-31,,
ANDV,US03349M1053,Andeavor,2007-09-30,2018-09-30,BBG000BVPRM7,0000050104
ANDW,US0344251089,Andrew Corp.,1984-12-31,2006-09-30,BBG002GPYSW8,0000317093
ANET,US0404131064,Arista Networks Inc,2018-08-31,2020-06-30,BBG0068J0HN3,0001596532
ANF,US0028962076,Abercrombie & Fitch Co,2007-03-31,2013-09-30,BBG000H9G9Y7,0001018840
ANR,US02076X1028,Alpha Natural Resources Inc,2011-06-30,2012-09-30,BBG000PM7JF8,0001301063
ANSS,US03662Q1058,ANSYS Inc.,2017-06-30,2020-06-30,BBG000GXZJ63,0001013462
ANTM,US0367521038,Anthem Inc.,2002-09-30,2020-06-30,BBG000BCGBK6,0001156039
ANV,US0078691005,Aeroquip Vickers Inc,1970-03-31,1999-03-31,,
AON,IE00BLP1HW54,Aon plc,1996-06-30,2020-06-30,BBG00SSQW978,
AOS,US8318652091,A. O. Smith Corp,2017-07-31,2020-06-30,BBG000BC1MP3,0000091142
APA,US0374111054,Apache Corp,1997-09-30,2020-06-30,BBG000BC2FG7,0000006769
APC,US0325111070,Anadarko Petroleum Corp.,1997-09-30,2019-07-31,BBG000BC43D5,0000773910
APCC,US0290661075,American Power Conversion Corp,2000-06-30,2006-12-31,BBG002GQ1LG5,
APD,US0091581068,Air Products & Chemicals Inc,1985-06-30,2020-06-30,BBG000BC4LR0,0000002969
APH,US0320951017,Amphenol Corp.,2008-09-30,2020-06-30,BBG000B9YL12,0000820313
APOL,US0376041051,Apollo Education Group,2002-06-30,2013-06-30,BBG000BB2YT4,0000929887
APTV,JE00B783TY65,Aptiv PLC,2012-12-31,2020-06-30,BBG001QD41R4,0001521332
AR (Asa),US0434131035,Asarco Inc.,1970-03-31,1999-09-30,,
ARC (Atl),US0488251036,Atlantic Richfield Co,1970-03-31,2000-03-31,,
ARE,US0152711091,Alexandria Real Estate Equities,2017-03-31,2020-06-30,BBG000BC3621,0001035443
ARG,US0093631028,Airgas Inc.,2009-09-30,2016-03-31,BBG000BC8JR1,0000804212
AS,US0421701006,Armco Inc.,1970-03-31,1998-09-30,,
ASC (Ame),US0300961010,American Stores Co.,1970-03-31,1999-03-31,,
ASH,US0441861046,Ashland Global Holdings Inc,1989-09-30,2008-09-30,BBG00D20JBT2,0001305014
ASN,US0395831094,Archstone-Smith Trust,2004-12-31,2007-09-30,BBG002GPRFN4,
ASND,US0434911097,Ascend Comm's Inc,1998-06-30,1999-03-31,,
ASO,US0321651020,AmSouth Bancorp,1999-03-31,2006-09-30,BBG002GLND52,
AT (All),US0200391037,Alltel Corp,1994-12-31,2007-09-30,BBG002GLMS32,0001419242
ATGE,US00737L1035,"DeVry, Inc.",2009-06-30,2012-09-30,BBG000DQC147,0000730464
ATI,US01741R1023,Allegheny Technologies Inc.,1978-12-31,2015-06-30,BBG000LC2KK0,0001018963
ATI (AirT),US00949T1007,Airtouch Communications Inc.,1994-06-30,1999-03-31,,
ATO,US0495601058,Atmos Energy Corp,2019-02-28,2020-06-30,BBG000BRNJ37,0000731802
ATVI,US00507V1098,Activision Blizzard Inc,2015-09-30,2020-06-30,BBG000CVWRL9,0000718877
AV,US0534991098,Avaya Inc.,2000-12-31,2007-09-30,BBG009BNZ0T7,0001116521
AVB,US0534841012,AvalonBay Communities,2007-03-31,2020-06-30,BBG000BLPDS4,0000915912
AVGO,US11135F1012,Broadcom Ltd,2014-06-30,2020-06-30,BBG00KHY5SQ7,0001730168
AVP,US0543031027,Avon Products Inc,1970-03-31,2014-12-31,BBG000BCP0C9,0000008868
AVY,US0536111091,Avery Dennison Corp,1987-12-31,2020-06-30,BBG000BCQ742,0000008818
AW,US0195893088,Allied Waste Industries Inc.,1999-09-30,2008-09-30,BBG002GQ2846,0000848865
AWE,US00209A1060,AT&T Wireless,2001-09-30,2004-09-30,BBG002GV7RM8,
AWK,US0304201033,American Water Works Inc,2016-03-31,2020-06-30,BBG000TRJ3B9,0001410636
AXP,US0258161092,American Express Co,1976-09-30,2020-06-30,BBG000BCR153,0000004962
AYE,US0173611064,Allegheny Energy Inc.,1970-03-31,2010-12-31,BBG000FJP646,
AYI,US00508Y1029,Acuity Brands Inc,2016-06-30,2018-05-31,BBG000BJ5KS5,0001144215
AZA.A,US0226151084,ALZA Corp.,1990-12-31,2001-03-31,BBG002GLMTN8,0000004310
AZO,US0533321024,AutoZone Inc,1997-03-31,2020-06-30,BBG000C7MR60,0000866787
BA,US0970231058,Boeing Co.,1970-03-31,2020-06-30,BBG000BCSV38,0000012927
