company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
D.R. Horton Inc,DHI,,882184,2012.0,FY,2011-10-01,2012-09-30,2014-11-17 18:57:57+00:00,3.01,3.01,0.15,2.77,,-713400000.0,956300000.0,956300000.0,956300000.0,,3486200000.0,4354000000.0,-11400000.0,-6900000.0,614200000.0,3492400000.0,861600000.0,,607300000.0,254300000.0,-11400000.0,242900000.0,4354000000.0,317700000.0,317700000.0,345200000.0
D.R. Horton Inc,DHI,,882184,2012.0,Q3,2012-04-01,2012-06-30,2013-07-25 17:08:38+00:00,2.47,2.47,0.0375,2.22,,-715600000.0,787800000.0,787800000.0,787800000.0,,915400000.0,1150000000.0,-3600000.0,-1600000.0,157900000.0,917900000.0,232100000.0,,156300000.0,75800000.0,-3600000.0,72200000.0,1150000000.0,318900000.0,318900000.0,354900000.0
D.R. Horton Inc,DHI,,882184,2013.0,FY,2012-10-01,2013-09-30,2015-11-18 18:15:33+00:00,1.44,1.44,0.1875,1.33,0.0,195100000.0,462700000.0,462700000.0,462700000.0,,4853500000.0,6259300000.0,9800000.0,-8500000.0,766300000.0,4853500000.0,1405800000.0,,757800000.0,648000000.0,9800000.0,657800000.0,6259300000.0,321300000.0,321300000.0,347900000.0
D.R. Horton Inc,DHI,,882184,2013.0,Q3,2013-04-01,2013-06-30,2014-07-24 17:14:16+00:00,0.45,0.45,0.0,0.42,,59100000.0,146000000.0,146000000.0,146000000.0,,1294600000.0,1692800000.0,3800000.0,-2700000.0,198800000.0,1295400000.0,397400000.0,,196100000.0,201300000.0,3800000.0,205100000.0,1692800000.0,324400000.0,324400000.0,347600000.0
D.R. Horton Inc,DHI,,882184,2014.0,FY,2013-10-01,2014-09-30,2016-11-18 15:56:19+00:00,1.57,1.57,0.1375,1.5,0.0,280700000.0,533500000.0,533500000.0,533500000.0,,6268600000.0,8024900000.0,5500000.0,-25400000.0,972700000.0,6268600000.0,1756300000.0,,947300000.0,809000000.0,5500000.0,814200000.0,8024900000.0,339800000.0,339800000.0,355700000.0
D.R. Horton Inc,DHI,,882184,2014.0,Q3,2014-04-01,2014-06-30,2015-07-28 14:53:07+00:00,0.32,0.32,0.0375,0.32,,58700000.0,113100000.0,113100000.0,113100000.0,,1725500000.0,2147000000.0,3100000.0,-2900000.0,255700000.0,1725500000.0,421500000.0,,252800000.0,168700000.0,3100000.0,171800000.0,2147000000.0,353400000.0,353400000.0,353400000.0
D.R. Horton Inc,DHI,,882184,2015.0,FY,2014-10-01,2015-09-30,2017-11-15 17:31:38+00:00,2.05,2.05,0.25,2.03,9800000.0,372700000.0,750700000.0,750700000.0,750700000.0,,8535700000.0,10824000000.0,7800000.0,-23100000.0,1186000000.0,8535700000.0,2288300000.0,,1172700000.0,1115600000.0,7800000.0,1123400000.0,10824000000.0,366200000.0,366200000.0,369800000.0
D.R. Horton Inc,DHI,,882184,2015.0,Q4,2015-07-01,2015-09-30,,0.66,0.66,0.06,0.64,9800000.0,99900000.0,238900000.0,238900000.0,238900000.0,,2514900000.0,3172600000.0,-6100000.0,-14300000.0,323300000.0,2508900000.0,663700000.0,,318800000.0,344900000.0,-6100000.0,338800000.0,3172600000.0,366200000.0,366200000.0,369800000.0
D.R. Horton Inc,DHI,,882184,2015.0,Q3,2015-04-01,2015-06-30,2016-07-25 18:15:36+00:00,0.6,0.6,0.0625,0.6,,112400000.0,221400000.0,221400000.0,221400000.0,,2320400000.0,2950800000.0,3900000.0,-3300000.0,303800000.0,2320400000.0,630400000.0,,300500000.0,329900000.0,3900000.0,333800000.0,2950800000.0,369000000.0,369000000.0,369000000.0
D.R. Horton Inc,DHI,,882184,2015.0,Q3YTD,2014-10-01,2015-06-30,,1.39,1.39,0.19,1.39,,272800000.0,511800000.0,511800000.0,511800000.0,,6020800000.0,7651400000.0,13900000.0,-8800000.0,862700000.0,6026800000.0,1624600000.0,,853900000.0,770700000.0,13900000.0,784600000.0,7651400000.0,369000000.0,369000000.0,369000000.0
D.R. Horton Inc,DHI,,882184,2015.0,Q2,2015-01-01,2015-03-31,2016-04-25 17:32:12+00:00,0.4,0.4,0.0625,0.4,,82200000.0,147900000.0,147900000.0,147900000.0,,1892000000.0,2398000000.0,4500000.0,-2700000.0,283100000.0,1892000000.0,506000000.0,,280400000.0,225600000.0,4500000.0,230100000.0,2398000000.0,369800000.0,369800000.0,369800000.0
