company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,otherrevenue,otherspecialcharges,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Bristol-Myers Squibb Co,BMY,HLYYNH7UQUORYSJQCN42,14272,2007.0,FY,2007-01-01,2007-12-31,2010-02-19 15:38:21+00:00,,1.09,1.09,1.15,1.09,,471000000.0,1097000000.0,2928000000.0,2052000000.0,876000000.0,2165000000.0,763000000.0,4919000000.0,15617000000.0,-77000000.0,,,14000000.0,3390000000.0,180000000.0,3941000000.0,4919000000.0,10698000000.0,524000000.0,8622000000.0,2076000000.0,447000000.0,2523000000.0,15617000000.0,1986200000.0,1986200000.0,1986200000.0
Bristol-Myers Squibb Co,BMY,HLYYNH7UQUORYSJQCN42,14272,2008.0,FY,2008-01-01,2008-12-31,2011-02-18 13:34:50+00:00,,2.64,2.64,1.24,2.62,,1090000000.0,1181000000.0,6243000000.0,3686000000.0,2557000000.0,5247000000.0,996000000.0,5316000000.0,17715000000.0,-22000000.0,,,-862000000.0,3544000000.0,215000000.0,4140000000.0,5316000000.0,12399000000.0,617000000.0,8218000000.0,4181000000.0,595000000.0,4776000000.0,17715000000.0,1977000000.0,1977000000.0,1977000000.0
Bristol-Myers Squibb Co,BMY,HLYYNH7UQUORYSJQCN42,14272,2008.0,Q3,2008-07-01,2008-09-30,2009-10-22 11:39:55+00:00,,1.3,1.3,0.31,1.28,,308000000.0,362000000.0,2837000000.0,847000000.0,1990000000.0,2578000000.0,259000000.0,1634000000.0,5254000000.0,-169000000.0,,,30000000.0,834000000.0,26000000.0,1208000000.0,1634000000.0,3620000000.0,164000000.0,2460000000.0,1160000000.0,-5000000.0,1155000000.0,5254000000.0,1983100000.0,1983100000.0,2014100000.0
Bristol-Myers Squibb Co,BMY,HLYYNH7UQUORYSJQCN42,14272,2008.0,Q2,2008-04-01,2008-06-30,2009-07-23 14:01:55+00:00,,0.38,0.38,0.31,0.38,,258000000.0,420000000.0,1005000000.0,963000000.0,42000000.0,764000000.0,241000000.0,1670000000.0,5203000000.0,13000000.0,,,2000000.0,858000000.0,30000000.0,1165000000.0,1670000000.0,3533000000.0,150000000.0,2475000000.0,1058000000.0,163000000.0,1221000000.0,5203000000.0,2010500000.0,2010500000.0,2010500000.0
Bristol-Myers Squibb Co,BMY,HLYYNH7UQUORYSJQCN42,14272,2009.0,FY,2009-01-01,2009-12-31,2012-02-17 08:44:56+00:00,,5.35,5.35,1.25,5.34,,1182000000.0,1136000000.0,11862000000.0,4420000000.0,7442000000.0,10612000000.0,1250000000.0,5140000000.0,18808000000.0,381000000.0,,,132000000.0,3647000000.0,136000000.0,3946000000.0,5140000000.0,13668000000.0,550000000.0,8997000000.0,4671000000.0,931000000.0,5602000000.0,18808000000.0,1983600000.0,1983600000.0,1987300000.0
Bristol-Myers Squibb Co,BMY,HLYYNH7UQUORYSJQCN42,14272,2009.0,Q4,2009-10-01,2009-12-31,,,4.1,4.05,0.32,4.05,,188000000.0,334000000.0,8353000000.0,1132000000.0,7221000000.0,8025000000.0,328000000.0,1433000000.0,5033000000.0,264000000.0,,,,1108000000.0,47000000.0,1170000000.0,1433000000.0,3600000000.0,115000000.0,2659000000.0,941000000.0,379000000.0,1320000000.0,5033000000.0,1983600000.0,1983600000.0,1987300000.0
Bristol-Myers Squibb Co,BMY,HLYYNH7UQUORYSJQCN42,14272,2009.0,Q3YTD,2009-01-01,2009-09-30,,,1.25,1.3,0.93,1.29,,994000000.0,802000000.0,3509000000.0,3288000000.0,221000000.0,2587000000.0,922000000.0,3707000000.0,13775000000.0,117000000.0,,,132000000.0,2539000000.0,89000000.0,2776000000.0,3707000000.0,10068000000.0,435000000.0,6338000000.0,3730000000.0,552000000.0,4282000000.0,13775000000.0,1980000000.0,1980000000.0,1980000000.0
Bristol-Myers Squibb Co,BMY,HLYYNH7UQUORYSJQCN42,14272,2009.0,Q3,2009-07-01,2009-09-30,2010-10-26 10:29:00+00:00,,0.49,0.49,0.31,0.48,,366000000.0,256000000.0,1290000000.0,1199000000.0,91000000.0,966000000.0,324000000.0,1317000000.0,4788000000.0,35000000.0,,,0.0,820000000.0,51000000.0,953000000.0,1317000000.0,3471000000.0,139000000.0,2080000000.0,1391000000.0,174000000.0,1565000000.0,4788000000.0,1980000000.0,1980000000.0,1980000000.0
Bristol-Myers Squibb Co,BMY,HLYYNH7UQUORYSJQCN42,14272,2009.0,Q2YTD,2009-01-01,2009-06-30,,,0.76,0.81,0.62,0.81,,628000000.0,546000000.0,2219000000.0,2089000000.0,130000000.0,1621000000.0,598000000.0,2390000000.0,8987000000.0,82000000.0,,,132000000.0,1719000000.0,38000000.0,1823000000.0,2390000000.0,6597000000.0,296000000.0,4258000000.0,2339000000.0,378000000.0,2717000000.0,8987000000.0,2234100000.0,1980000000.0,1980000000.0
Bristol-Myers Squibb Co,BMY,HLYYNH7UQUORYSJQCN42,14272,2009.0,Q2,2009-04-01,2009-06-30,2010-07-22 10:50:12+00:00,,0.44,0.49,0.31,0.49,,353000000.0,298000000.0,1298000000.0,1169000000.0,129000000.0,983000000.0,315000000.0,1225000000.0,4665000000.0,10000000.0,,,28000000.0,811000000.0,19000000.0,922000000.0,1225000000.0,3440000000.0,150000000.0,2078000000.0,1362000000.0,160000000.0,1522000000.0,4665000000.0,2234100000.0,1980000000.0,1980000000.0
Bristol-Myers Squibb Co,BMY,HLYYNH7UQUORYSJQCN42,14272,2009.0,Q1,2009-01-01,2009-03-31,2010-04-29 10:49:28+00:00,,0.32,0.32,0.31,0.32,,275000000.0,248000000.0,921000000.0,920000000.0,1000000.0,638000000.0,283000000.0,1165000000.0,4322000000.0,72000000.0,,,104000000.0,908000000.0,19000000.0,901000000.0,1165000000.0,3157000000.0,146000000.0,2180000000.0,977000000.0,218000000.0,1195000000.0,4322000000.0,1993800000.0,1993800000.0,1993800000.0
Bristol-Myers Squibb Co,BMY,HLYYNH7UQUORYSJQCN42,14272,2010.0,FY,2010-01-01,2010-12-31,2013-02-15 08:55:25+00:00,,1.8,1.8,1.29,1.79,,1558000000.0,977000000.0,4513000000.0,4513000000.0,,3102000000.0,1411000000.0,5277000000.0,19484000000.0,93000000.0,,,,3566000000.0,,3686000000.0,5277000000.0,14207000000.0,,8229000000.0,5978000000.0,93000000.0,6071000000.0,19484000000.0,1713000000.0,1713000000.0,1713000000.0
Bristol-Myers Squibb Co,BMY,HLYYNH7UQUORYSJQCN42,14272,2010.0,Q4,2010-10-01,2010-12-31,,,0.28,0.28,0.33,0.28,,571000000.0,271000000.0,842000000.0,842000000.0,,483000000.0,359000000.0,1414000000.0,5111000000.0,177000000.0,,,-22000000.0,1010000000.0,-50000000.0,1000000000.0,1414000000.0,3697000000.0,-252000000.0,2209000000.0,1488000000.0,-75000000.0,1413000000.0,5111000000.0,1713000000.0,1713000000.0,1713000000.0
Bristol-Myers Squibb Co,BMY,HLYYNH7UQUORYSJQCN42,14272,2010.0,Q3,2010-07-01,2010-09-30,2011-10-27 12:01:45+00:00,,0.55,0.55,0.32,0.55,,312000000.0,231000000.0,1302000000.0,1302000000.0,,949000000.0,353000000.0,1280000000.0,4798000000.0,10000000.0,,,22000000.0,824000000.0,15000000.0,892000000.0,1280000000.0,3518000000.0,70000000.0,1984000000.0,1534000000.0,80000000.0,1614000000.0,4798000000.0,1725500000.0,1725500000.0,1725500000.0
Bristol-Myers Squibb Co,BMY,HLYYNH7UQUORYSJQCN42,14272,2010.0,Q3YTD,2010-01-01,2010-09-30,,,1.52,1.52,0.96,1.51,,987000000.0,706000000.0,3671000000.0,3671000000.0,,2619000000.0,1052000000.0,3863000000.0,14373000000.0,-84000000.0,,,22000000.0,2556000000.0,50000000.0,2686000000.0,3863000000.0,10510000000.0,252000000.0,6020000000.0,4490000000.0,168000000.0,4658000000.0,14373000000.0,1725500000.0,1725500000.0,1725500000.0
Bristol-Myers Squibb Co,BMY,HLYYNH7UQUORYSJQCN42,14272,2010.0,Q3TTM,2009-10-01,2010-09-30,,,5.62,5.57,1.28,5.56,,1175000000.0,1040000000.0,12024000000.0,4803000000.0,7221000000.0,10644000000.0,1380000000.0,5296000000.0,19406000000.0,180000000.0,,,22000000.0,3664000000.0,97000000.0,3856000000.0,5296000000.0,14110000000.0,367000000.0,8679000000.0,5431000000.0,547000000.0,5978000000.0,19406000000.0,1725500000.0,1725500000.0,1725500000.0
