company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,currentdeferredtaxassets,currentdeferredtaxliabilities,dividendspayable,goodwill,intangibleassets,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,noncurrentdeferredrevenue,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,otherequity,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
Bristol-Myers Squibb Co,BMY,HLYYNH7UQUORYSJQCN42,14272,2008.0,FY,,2008-12-31,2010-02-19 15:38:21+00:00,1535000000.0,3644000000.0,3780000000.0,-2719000000.0,7976000000.0,,2977000000.0,277000000.0,703000000.0,347000000.0,617000000.0,4827000000.0,1151000000.0,6585000000.0,188000000.0,1765000000.0,5405000000.0,-33000000.0,1257000000.0,2137000000.0,,2285000000.0,,,,,,1081000000.0,441000000.0,320000000.0,22549000000.0,154000000.0,289000000.0,29486000000.0,12241000000.0,14697000000.0,6710000000.0,12241000000.0,12208000000.0,17278000000.0,29486000000.0,9384000000.0,10568000000.0,0.0,-10566000000.0
Bristol-Myers Squibb Co,BMY,HLYYNH7UQUORYSJQCN42,14272,2009.0,FY,,2009-12-31,2011-02-18 13:34:50+00:00,1711000000.0,3164000000.0,3407000000.0,-2541000000.0,7683000000.0,,3988000000.0,237000000.0,611000000.0,175000000.0,552000000.0,5218000000.0,2865000000.0,6130000000.0,1369000000.0,1413000000.0,5055000000.0,-58000000.0,1700000000.0,1636000000.0,,1658000000.0,,,,,,907000000.0,422000000.0,256000000.0,30760000000.0,231000000.0,831000000.0,31008000000.0,14843000000.0,13958000000.0,6313000000.0,14843000000.0,14785000000.0,16223000000.0,31008000000.0,11995000000.0,9910000000.0,0.0,-17364000000.0
Bristol-Myers Squibb Co,BMY,HLYYNH7UQUORYSJQCN42,14272,2009.0,Q3,,2009-09-30,2009-10-22 11:39:55+00:00,1796000000.0,3699000000.0,3801000000.0,-2218000000.0,6367000000.0,,4028000000.0,276000000.0,702000000.0,433000000.0,626000000.0,5475000000.0,2726000000.0,6307000000.0,1202000000.0,1824000000.0,5561000000.0,-147000000.0,1455000000.0,1437000000.0,,1018000000.0,,174000000.0,,,-75000000.0,1163000000.0,408000000.0,493000000.0,23287000000.0,286000000.0,302000000.0,30951000000.0,14518000000.0,13387000000.0,7392000000.0,14518000000.0,14371000000.0,16580000000.0,30951000000.0,12003000000.0,9188000000.0,0.0,-10504000000.0
Bristol-Myers Squibb Co,BMY,HLYYNH7UQUORYSJQCN42,14272,2009.0,Q2,,2009-06-30,2009-07-23 14:01:55+00:00,1802000000.0,3619000000.0,3363000000.0,-2255000000.0,7507000000.0,0.0,4010000000.0,267000000.0,666000000.0,394000000.0,630000000.0,4827000000.0,1070000000.0,6235000000.0,983000000.0,1780000000.0,5468000000.0,-160000000.0,872000000.0,1802000000.0,531000000.0,1061000000.0,,164000000.0,,,-87000000.0,1089000000.0,430000000.0,385000000.0,22936000000.0,124000000.0,613000000.0,29809000000.0,14096000000.0,14570000000.0,6744000000.0,14096000000.0,13936000000.0,15873000000.0,29809000000.0,9771000000.0,9129000000.0,0.0,-10508000000.0
Bristol-Myers Squibb Co,BMY,HLYYNH7UQUORYSJQCN42,14272,2010.0,FY,,2010-12-31,2012-02-17 08:44:56+00:00,1983000000.0,3480000000.0,3597000000.0,-2371000000.0,5033000000.0,0.0,3902000000.0,402000000.0,1036000000.0,65000000.0,575000000.0,5233000000.0,3370000000.0,5328000000.0,2681000000.0,1204000000.0,4664000000.0,-75000000.0,1650000000.0,850000000.0,,1297000000.0,,,,,,1005000000.0,424000000.0,252000000.0,31636000000.0,117000000.0,2268000000.0,31076000000.0,15713000000.0,13273000000.0,6739000000.0,15713000000.0,15638000000.0,15438000000.0,31076000000.0,13139000000.0,8699000000.0,0.0,-17454000000.0
Bristol-Myers Squibb Co,BMY,HLYYNH7UQUORYSJQCN42,14272,2010.0,Q3,,2010-09-30,2010-10-26 10:29:00+00:00,1725000000.0,3285000000.0,3425000000.0,-2334000000.0,7581000000.0,,3881000000.0,289000000.0,1071000000.0,46000000.0,556000000.0,5218000000.0,2720000000.0,6479000000.0,2562000000.0,1369000000.0,4723000000.0,-113000000.0,1647000000.0,1079000000.0,,1209000000.0,,,,,,1207000000.0,409000000.0,292000000.0,31721000000.0,243000000.0,778000000.0,31885000000.0,15970000000.0,14376000000.0,6284000000.0,15970000000.0,15857000000.0,16028000000.0,31885000000.0,12786000000.0,9744000000.0,0.0,-17298000000.0
Bristol-Myers Squibb Co,BMY,HLYYNH7UQUORYSJQCN42,14272,2010.0,Q2,,2010-06-30,2010-07-22 10:50:12+00:00,1681000000.0,3172000000.0,3057000000.0,-2300000000.0,5918000000.0,,3917000000.0,275000000.0,796000000.0,49000000.0,556000000.0,5218000000.0,2763000000.0,6248000000.0,2795000000.0,1265000000.0,4745000000.0,-94000000.0,1664000000.0,1331000000.0,,1248000000.0,,,,,,1216000000.0,409000000.0,296000000.0,31322000000.0,290000000.0,1536000000.0,31051000000.0,15668000000.0,12983000000.0,5908000000.0,15668000000.0,15574000000.0,15477000000.0,31051000000.0,13323000000.0,9569000000.0,0.0,-17271000000.0
Bristol-Myers Squibb Co,BMY,HLYYNH7UQUORYSJQCN42,14272,2010.0,Q1,,2010-03-31,2010-04-29 10:49:28+00:00,1752000000.0,3459000000.0,3137000000.0,-2425000000.0,5135000000.0,,3896000000.0,265000000.0,745000000.0,101000000.0,554000000.0,5218000000.0,2813000000.0,6081000000.0,2997000000.0,1284000000.0,4822000000.0,-16000000.0,1706000000.0,1395000000.0,,1300000000.0,,,,,,976000000.0,416000000.0,268000000.0,30949000000.0,208000000.0,1641000000.0,30753000000.0,15249000000.0,12532000000.0,6017000000.0,15249000000.0,15233000000.0,15520000000.0,30753000000.0,13399000000.0,9503000000.0,0.0,-17171000000.0
Bristol-Myers Squibb Co,BMY,HLYYNH7UQUORYSJQCN42,14272,2011.0,FY,,2011-12-31,2013-02-15 08:55:25+00:00,2603000000.0,3743000000.0,3961000000.0,-3045000000.0,5776000000.0,0.0,3334000000.0,337000000.0,1200000000.0,167000000.0,597000000.0,5586000000.0,3124000000.0,5376000000.0,2909000000.0,1384000000.0,4521000000.0,-89000000.0,1439000000.0,688000000.0,107000000.0,2017000000.0,,,,,,824000000.0,384000000.0,258000000.0,33069000000.0,115000000.0,2957000000.0,32970000000.0,15956000000.0,15318000000.0,7780000000.0,15956000000.0,15867000000.0,17103000000.0,32970000000.0,13131000000.0,9323000000.0,0.0,-17402000000.0
Bristol-Myers Squibb Co,BMY,HLYYNH7UQUORYSJQCN42,14272,2011.0,Q3,,2011-09-30,2011-10-27 12:01:45+00:00,2292000000.0,3687000000.0,3757000000.0,-2282000000.0,4471000000.0,0.0,3446000000.0,321000000.0,1276000000.0,183000000.0,578000000.0,5564000000.0,3196000000.0,5437000000.0,2819000000.0,1357000000.0,4492000000.0,-136000000.0,1550000000.0,333000000.0,,811000000.0,,,,,,741000000.0,467000000.0,356000000.0,32797000000.0,182000000.0,3722000000.0,32014000000.0,16572000000.0,14869000000.0,7313000000.0,16572000000.0,16436000000.0,15578000000.0,32014000000.0,12653000000.0,8265000000.0,0.0,-17389000000.0
