company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,capitalleaseobligations,cashandequivalents,commonequity,currentdeferredtaxassets,goodwill,grossppe,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxliabilities,othercurrentassets,otherequity,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,redeemablenoncontrollinginterest,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities
HCA Healthcare Inc,HCA,,860730,2010.0,FY,,2010-12-31,2012-02-23 19:32:31+00:00,1537000000.0,3832000000.0,2140000000.0,14289000000.0,-428000000.0,,411000000.0,390000000.0,931000000.0,2693000000.0,25641000000.0,27633000000.0,1511000000.0,897000000.0,11352000000.0,-22720000000.0,1608000000.0,848000000.0,23852000000.0,1003000000.0,995000000.0,374000000.0,141000000.0,-11888000000.0,592000000.0,23852000000.0,11926000000.0,6919000000.0,4269000000.0,11926000000.0,-10794000000.0,34505000000.0,23852000000.0,5581000000.0,30236000000.0
HCA Healthcare Inc,HCA,,860730,2011.0,FY,,2011-12-31,2013-02-26 19:07:05+00:00,1597000000.0,4533000000.0,2550000000.0,15241000000.0,-440000000.0,,373000000.0,1605000000.0,594000000.0,5251000000.0,28075000000.0,25645000000.0,649000000.0,1054000000.0,12834000000.0,1244000000.0,1720000000.0,679000000.0,,641000000.0,993000000.0,290000000.0,,-9423000000.0,1407000000.0,26898000000.0,-8258000000.0,7233000000.0,5554000000.0,-8258000000.0,-7014000000.0,33912000000.0,26898000000.0,6831000000.0,28358000000.0
HCA Healthcare Inc,HCA,,860730,2011.0,Q3,,2011-09-30,2011-11-09 17:11:42+00:00,1334000000.0,3925000000.0,2212000000.0,15002000000.0,-424000000.0,,359000000.0,1588000000.0,643000000.0,2701000000.0,26647000000.0,25871000000.0,1382000000.0,891000000.0,11645000000.0,1132000000.0,1683000000.0,875000000.0,,1038000000.0,993000000.0,297000000.0,0.0,-11358000000.0,725000000.0,23756000000.0,-10194000000.0,6693000000.0,4271000000.0,-10194000000.0,-9062000000.0,32818000000.0,23756000000.0,5418000000.0,28547000000.0
HCA Healthcare Inc,HCA,,860730,2011.0,Q2,,2011-06-30,2011-08-05 16:37:17+00:00,1297000000.0,3946000000.0,2292000000.0,14754000000.0,-339000000.0,,539000000.0,3077000000.0,894000000.0,2719000000.0,26338000000.0,24631000000.0,1358000000.0,887000000.0,11584000000.0,1147000000.0,1515000000.0,625000000.0,,993000000.0,987000000.0,332000000.0,0.0,-11419000000.0,689000000.0,23877000000.0,-8681000000.0,6891000000.0,4278000000.0,-8681000000.0,-7534000000.0,31411000000.0,23877000000.0,5402000000.0,27133000000.0
HCA Healthcare Inc,HCA,,860730,2011.0,Q1,,2011-03-31,2011-05-11 17:19:29+00:00,1348000000.0,4060000000.0,2373000000.0,14508000000.0,-344000000.0,,553000000.0,3062000000.0,916000000.0,2705000000.0,25855000000.0,24820000000.0,1442000000.0,881000000.0,11347000000.0,1142000000.0,1507000000.0,576000000.0,,975000000.0,1003000000.0,354000000.0,0.0,-11648000000.0,546000000.0,23809000000.0,-8930000000.0,6986000000.0,4267000000.0,-8930000000.0,-7788000000.0,31597000000.0,23809000000.0,5476000000.0,27330000000.0
HCA Healthcare Inc,HCA,,860730,2012.0,FY,,2012-12-31,2014-02-26 17:09:19+00:00,1768000000.0,4672000000.0,2969000000.0,16342000000.0,-457000000.0,,705000000.0,1757000000.0,385000000.0,5539000000.0,29527000000.0,27495000000.0,619000000.0,1086000000.0,13185000000.0,1319000000.0,1776000000.0,915000000.0,,679000000.0,973000000.0,290000000.0,,-10960000000.0,1435000000.0,28075000000.0,-9660000000.0,7763000000.0,6172000000.0,-9660000000.0,-8341000000.0,36416000000.0,28075000000.0,7127000000.0,30244000000.0
HCA Healthcare Inc,HCA,,860730,2012.0,Q3,,2012-09-30,2012-11-06 17:05:09+00:00,1585000000.0,4598000000.0,2525000000.0,16185000000.0,-440000000.0,,472000000.0,1684000000.0,322000000.0,5460000000.0,29145000000.0,25182000000.0,576000000.0,1052000000.0,12960000000.0,1296000000.0,1860000000.0,828000000.0,,768000000.0,962000000.0,266000000.0,,-9103000000.0,1751000000.0,27302000000.0,-7859000000.0,7272000000.0,5861000000.0,-7859000000.0,-6563000000.0,33865000000.0,27302000000.0,7070000000.0,28004000000.0
HCA Healthcare Inc,HCA,,860730,2012.0,Q2,,2012-06-30,2012-08-06 07:31:37+00:00,1517000000.0,4485000000.0,2621000000.0,15896000000.0,-449000000.0,,518000000.0,1669000000.0,323000000.0,5431000000.0,28742000000.0,25732000000.0,597000000.0,1055000000.0,12846000000.0,1300000000.0,1857000000.0,756000000.0,,840000000.0,1039000000.0,281000000.0,,-9463000000.0,1309000000.0,27132000000.0,-8243000000.0,7137000000.0,5447000000.0,-8243000000.0,-6943000000.0,34075000000.0,27132000000.0,7149000000.0,28628000000.0
HCA Healthcare Inc,HCA,,860730,2012.0,Q1,,2012-03-31,2012-05-08 18:41:04+00:00,1412000000.0,4878000000.0,2362000000.0,15567000000.0,-411000000.0,,471000000.0,1652000000.0,226000000.0,5398000000.0,28354000000.0,26061000000.0,644000000.0,1046000000.0,12787000000.0,1289000000.0,1757000000.0,661000000.0,,736000000.0,1030000000.0,292000000.0,,-9854000000.0,1841000000.0,27139000000.0,-8613000000.0,7282000000.0,5615000000.0,-8613000000.0,-7324000000.0,34463000000.0,27139000000.0,7070000000.0,28848000000.0
HCA Healthcare Inc,HCA,,860730,2013.0,FY,,2013-12-31,2015-02-26 17:06:22+00:00,1803000000.0,5208000000.0,3106000000.0,17454000000.0,-257000000.0,,414000000.0,1390000000.0,489000000.0,5903000000.0,31073000000.0,27590000000.0,569000000.0,1179000000.0,13619000000.0,1342000000.0,1525000000.0,747000000.0,,466000000.0,949000000.0,237000000.0,,-9403000000.0,786000000.0,28831000000.0,-8270000000.0,8037000000.0,5695000000.0,-8270000000.0,-6928000000.0,35759000000.0,28831000000.0,7175000000.0,30064000000.0
