company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othercostofrevenue,otherincome,otheroperatingexpenses,otherspecialcharges,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
HCA Healthcare Inc,HCA,,860730,2009.0,FY,2009-01-01,2009-12-31,2012-02-23 19:32:31+00:00,2.48,2.48,,1425000000.0,2.44,43000000.0,627000000.0,1375000000.0,1375000000.0,1054000000.0,321000000.0,4868000000.0,30052000000.0,3276000000.0,0.0,0.0,15000000.0,16682000000.0,8144000000.0,21908000000.0,1987000000.0,246000000.0,18165000000.0,3743000000.0,-1741000000.0,2002000000.0,30052000000.0,425000000.0,425567000.0,432227000.0
HCA Healthcare Inc,HCA,,860730,2010.0,FY,2010-01-01,2010-12-31,2013-02-26 19:07:05+00:00,2.83,2.83,9.43,1421000000.0,2.76,123000000.0,658000000.0,1573000000.0,1573000000.0,1207000000.0,366000000.0,4961000000.0,28035000000.0,,,,-4000000.0,17488000000.0,4961000000.0,23074000000.0,2097000000.0,282000000.0,19028000000.0,4046000000.0,-1815000000.0,2231000000.0,28035000000.0,426500000.0,426424000.0,437347000.0
HCA Healthcare Inc,HCA,,860730,2010.0,Q4,2010-10-01,2010-12-31,,0.66,0.66,9.43,359000000.0,0.65,4000000.0,170000000.0,394000000.0,394000000.0,283000000.0,111000000.0,1276000000.0,5088000000.0,-2073000000.0,,,-6000000.0,4510000000.0,-797000000.0,5885000000.0,526000000.0,72000000.0,4867000000.0,1018000000.0,-454000000.0,564000000.0,5088000000.0,426500000.0,426424000.0,437347000.0
HCA Healthcare Inc,HCA,,860730,2010.0,Q3YTD,2010-01-01,2010-09-30,,2.17,2.17,,1062000000.0,2.11,119000000.0,488000000.0,1179000000.0,1179000000.0,924000000.0,255000000.0,3685000000.0,22947000000.0,2073000000.0,,,2000000.0,12978000000.0,5758000000.0,17189000000.0,1571000000.0,210000000.0,14161000000.0,3028000000.0,-1361000000.0,1667000000.0,22947000000.0,426300000.0,426361000.0,439032000.0
HCA Healthcare Inc,HCA,,860730,2010.0,Q3,2010-07-01,2010-09-30,2011-11-09 17:11:42+00:00,0.57,0.57,,352000000.0,0.55,10000000.0,143000000.0,325000000.0,325000000.0,243000000.0,82000000.0,1234000000.0,7647000000.0,721000000.0,,,2000000.0,4402000000.0,1955000000.0,5692000000.0,525000000.0,67000000.0,4766000000.0,926000000.0,-458000000.0,468000000.0,7647000000.0,426300000.0,426361000.0,439032000.0
HCA Healthcare Inc,HCA,,860730,2010.0,Q2YTD,2010-01-01,2010-06-30,,1.6,1.6,,710000000.0,1.56,109000000.0,345000000.0,854000000.0,854000000.0,681000000.0,173000000.0,2451000000.0,15300000000.0,1352000000.0,,,,8576000000.0,3803000000.0,11497000000.0,1046000000.0,143000000.0,9395000000.0,2102000000.0,-903000000.0,1199000000.0,15300000000.0,424600000.0,426329000.0,437104000.0
HCA Healthcare Inc,HCA,,860730,2010.0,Q2,2010-04-01,2010-06-30,2011-08-05 16:37:17+00:00,0.69,0.69,,355000000.0,0.67,91000000.0,136000000.0,378000000.0,378000000.0,293000000.0,85000000.0,1251000000.0,7756000000.0,788000000.0,,,,4302000000.0,2039000000.0,5717000000.0,530000000.0,75000000.0,4748000000.0,969000000.0,-455000000.0,514000000.0,7756000000.0,424600000.0,426329000.0,437104000.0
HCA Healthcare Inc,HCA,,860730,2010.0,Q1,2010-01-01,2010-03-31,2011-05-11 17:19:29+00:00,0.91,0.91,,355000000.0,0.89,18000000.0,209000000.0,476000000.0,476000000.0,388000000.0,88000000.0,1200000000.0,7544000000.0,564000000.0,,,,4274000000.0,1764000000.0,5780000000.0,516000000.0,68000000.0,4647000000.0,1133000000.0,-448000000.0,685000000.0,7544000000.0,426400000.0,426350000.0,435680000.0
HCA Healthcare Inc,HCA,,860730,2011.0,FY,2011-01-01,2011-12-31,2014-02-26 17:09:19+00:00,5.17,5.17,,1465000000.0,4.97,,719000000.0,2842000000.0,2842000000.0,2465000000.0,377000000.0,5179000000.0,29682000000.0,,-181000000.0,-210000000.0,-1664000000.0,18910000000.0,5179000000.0,24503000000.0,2518000000.0,258000000.0,18501000000.0,6002000000.0,-2441000000.0,3561000000.0,29682000000.0,476800000.0,476609000.0,495943000.0
HCA Healthcare Inc,HCA,,860730,2011.0,Q4,2011-10-01,2011-12-31,,4.07,4.07,,387000000.0,3.91,,412000000.0,2042000000.0,2042000000.0,1935000000.0,107000000.0,1346000000.0,5605000000.0,-2164000000.0,,-120000000.0,-1667000000.0,4945000000.0,-818000000.0,6423000000.0,465000000.0,41000000.0,3545000000.0,2878000000.0,-424000000.0,2454000000.0,5605000000.0,476800000.0,476609000.0,495943000.0
