company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,amortizationofdeferredpolicyacquisitioncosts,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,longtermdebtinterestexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netinterestincome,netrealizedcapitalgains,otheroperatingexpenses,otherservicechargeincome,policyacquisitioncosts,premiumsearned,propertyliabilityinsuranceclaims,salariesandemployeebenefitsexpense,totalinterestexpense,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Unum Group,UNM,549300E32YFDO6TZ8R31,5513,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 15:22:50+00:00,480400000.0,-556300000.0,1.92,1.92,0.3,1.91,,324800000.0,241900000.0,679300000.0,672400000.0,6900000.0,679300000.0,-241900000.0,2344700000.0,805000000.0,274100000.0,,7901100000.0,6988200000.0,1563500000.0,241900000.0,9280800000.0,10519900000.0,997200000.0,10278000000.0,353800000.0,353800000.0,355700000.0
Unum Group,UNM,549300E32YFDO6TZ8R31,5513,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 14:00:07+00:00,519100000.0,-590900000.0,1.62,1.62,0.3,1.62,,270800000.0,156700000.0,553200000.0,553200000.0,,553200000.0,-156700000.0,1923100000.0,821100000.0,275900000.0,,7783300000.0,6626400000.0,1625900000.0,156700000.0,9001600000.0,9982300000.0,824000000.0,9825600000.0,341022800.0,341022800.0,341022800.0
Unum Group,UNM,549300E32YFDO6TZ8R31,5513,2008.0,Q3,2008-07-01,2008-09-30,2009-11-04 10:02:27+00:00,129300000.0,-145400000.0,0.32,0.32,,0.32,,51800000.0,37200000.0,108000000.0,108000000.0,,108000000.0,-37200000.0,428900000.0,203000000.0,67300000.0,,1946500000.0,1646300000.0,412500000.0,37200000.0,2245700000.0,2442700000.0,159800000.0,2405500000.0,337500000.0,337500000.0,337500000.0
Unum Group,UNM,549300E32YFDO6TZ8R31,5513,2008.0,Q2,2008-04-01,2008-06-30,2009-08-05 16:06:34+00:00,127300000.0,-153600000.0,0.7,0.7,,0.69,,126700000.0,40800000.0,240300000.0,240300000.0,,240300000.0,-40800000.0,639200000.0,214400000.0,67500000.0,,1968600000.0,1674700000.0,404700000.0,40800000.0,2267500000.0,2675300000.0,367000000.0,2634500000.0,343300000.0,343300000.0,348300000.0
Unum Group,UNM,549300E32YFDO6TZ8R31,5513,2009.0,FY,2009-01-01,2009-12-31,2012-02-24 09:18:54+00:00,526200000.0,-593600000.0,2.57,2.57,0.315,2.57,0.0,439700000.0,125400000.0,852600000.0,852600000.0,,852600000.0,-125400000.0,2358300000.0,818700000.0,257200000.0,,7475500000.0,6291600000.0,1630400000.0,125400000.0,8673300000.0,10091000000.0,1292300000.0,9965600000.0,331266200.0,331266200.0,331266200.0
Unum Group,UNM,549300E32YFDO6TZ8R31,5513,2009.0,Q4,2009-10-01,2009-12-31,,131200000.0,-147800000.0,0.59,0.59,0.24,0.61,,96500000.0,34500000.0,199400000.0,199400000.0,,199400000.0,-34500000.0,569800000.0,205300000.0,61100000.0,,1865700000.0,1566600000.0,410900000.0,34500000.0,2166200000.0,2496600000.0,295900000.0,2462100000.0,331266200.0,331266200.0,331266200.0
Unum Group,UNM,549300E32YFDO6TZ8R31,5513,2009.0,Q3YTD,2009-01-01,2009-09-30,,395000000.0,-445800000.0,1.98,1.98,0.08,1.96,,343200000.0,90900000.0,653200000.0,653200000.0,,653200000.0,-90900000.0,1788500000.0,613400000.0,196100000.0,,5609800000.0,4725000000.0,1219500000.0,90900000.0,6507100000.0,7594400000.0,996400000.0,7503500000.0,331411200.0,331411200.0,331411200.0
Unum Group,UNM,549300E32YFDO6TZ8R31,5513,2009.0,Q3,2009-07-01,2009-09-30,2010-11-03 10:16:22+00:00,130400000.0,-143500000.0,0.67,0.67,,0.66,,113500000.0,27900000.0,221100000.0,221100000.0,,221100000.0,-27900000.0,594500000.0,198400000.0,61900000.0,,1861100000.0,1565100000.0,404600000.0,27900000.0,2155000000.0,2517500000.0,334600000.0,2489600000.0,331411200.0,331411200.0,331411200.0
Unum Group,UNM,549300E32YFDO6TZ8R31,5513,2009.0,Q2YTD,2009-01-01,2009-06-30,,264600000.0,-302300000.0,1.31,1.31,0.08,1.3,,229700000.0,63000000.0,432100000.0,432100000.0,,432100000.0,-63000000.0,1194000000.0,415000000.0,134200000.0,,3748700000.0,3159900000.0,814900000.0,63000000.0,4352100000.0,5076900000.0,661800000.0,5013900000.0,331171800.0,331171800.0,331171800.0
Unum Group,UNM,549300E32YFDO6TZ8R31,5513,2009.0,Q2,2009-04-01,2009-06-30,2010-08-04 10:31:15+00:00,132800000.0,-148700000.0,0.81,0.81,,0.8,,144000000.0,30400000.0,267200000.0,267200000.0,,267200000.0,-30400000.0,684900000.0,209500000.0,67200000.0,,1875900000.0,1584200000.0,408600000.0,30400000.0,2186400000.0,2628000000.0,411200000.0,2597600000.0,331171800.0,331171800.0,331171800.0
Unum Group,UNM,549300E32YFDO6TZ8R31,5513,2009.0,Q1,2009-01-01,2009-03-31,2010-05-05 11:14:10+00:00,131800000.0,-153600000.0,0.5,0.5,0.075,0.5,,85700000.0,32600000.0,164900000.0,164900000.0,,164900000.0,-32600000.0,509100000.0,205500000.0,67000000.0,,1872800000.0,1575700000.0,406300000.0,32600000.0,2165700000.0,2448900000.0,250600000.0,2416300000.0,329800000.0,329800000.0,329800000.0
