company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,cashinterestpaid,depreciationexpense,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
aTyr Pharma Inc,LIFE,,1339970,2013.0,FY,2013-01-01,2013-12-31,2016-03-30 16:13:31+00:00,211000.0,254000.0,714000.0,1595000.0,77000.0,15000000.0,38660000.0,50737000.0,-644000.0,-17311000.0,50737000.0,-644000.0,-17311000.0,32782000.0,-20014000.0,-20014000.0,183000.0,,-644000.0,-3000000.0,,,
aTyr Pharma Inc,LIFE,,1339970,2014.0,FY,2014-01-01,2014-12-31,2017-03-16 16:16:52+00:00,469000.0,415000.0,829000.0,-1527000.0,72000.0,5000000.0,,2512000.0,-2246000.0,-22824000.0,2512000.0,-2246000.0,-22824000.0,-22558000.0,-24350000.0,-24350000.0,1755000.0,-5397000.0,-249000.0,-1561000.0,-999000.0,3400000.0,
aTyr Pharma Inc,LIFE,,1339970,2014.0,Q4,2014-10-01,2014-12-31,,145000.0,415000.0,209000.0,-874000.0,,,,-1785000.0,2750000.0,-5801000.0,-1785000.0,2750000.0,-5801000.0,-4836000.0,-6038000.0,-6038000.0,757000.0,,,-786000.0,-999000.0,2750000.0,
aTyr Pharma Inc,LIFE,,1339970,2014.0,Q3,2014-07-01,2014-09-30,,154000.0,,209000.0,-111000.0,2000.0,,,-773000.0,650000.0,-5778000.0,-773000.0,650000.0,-5778000.0,-5901000.0,-6631000.0,-6631000.0,601000.0,,,-775000.0,,650000.0,
aTyr Pharma Inc,LIFE,,1339970,2014.0,Q3YTD,2014-01-01,2014-09-30,2015-11-10 16:38:23+00:00,324000.0,,620000.0,-653000.0,72000.0,5000000.0,,4297000.0,-4996000.0,-17023000.0,4297000.0,-4996000.0,-17023000.0,-17722000.0,-18312000.0,-18312000.0,998000.0,-5397000.0,-249000.0,-775000.0,,650000.0,
aTyr Pharma Inc,LIFE,,1339970,2014.0,Q2,2014-04-01,2014-06-30,,97000.0,,208000.0,162000.0,57000.0,5000000.0,,5057000.0,-38000.0,-4900000.0,5057000.0,-38000.0,-4900000.0,119000.0,-5588000.0,-5588000.0,221000.0,,-38000.0,,,,
aTyr Pharma Inc,LIFE,,1339970,2014.0,Q2YTD,2014-01-01,2014-06-30,2015-08-12 16:18:55+00:00,170000.0,,411000.0,-542000.0,70000.0,5000000.0,,5070000.0,-5646000.0,-11245000.0,5070000.0,-5646000.0,-11245000.0,-11821000.0,-11681000.0,-11681000.0,397000.0,-5397000.0,-249000.0,,,,
aTyr Pharma Inc,LIFE,,1339970,2014.0,Q1,2014-01-01,2014-03-31,2015-06-18 16:22:19+00:00,73000.0,,203000.0,-704000.0,13000.0,,,13000.0,-5608000.0,-6345000.0,13000.0,-5608000.0,-6345000.0,-11940000.0,-6093000.0,-6093000.0,176000.0,-5397000.0,-211000.0,,,,
aTyr Pharma Inc,LIFE,,1339970,2015.0,FY,2015-01-01,2015-12-31,2018-03-20 16:50:25+00:00,789000.0,925000.0,869000.0,2983000.0,77506000.0,,75648000.0,147917000.0,-71994000.0,-36797000.0,147917000.0,-71994000.0,-36797000.0,39126000.0,-47973000.0,-47973000.0,6535000.0,-109445000.0,-664000.0,-5237000.0,,38115000.0,
aTyr Pharma Inc,LIFE,,1339970,2015.0,Q4,2015-10-01,2015-12-31,,72000.0,925000.0,226000.0,3676000.0,-273000.0,,,-1097000.0,3904000.0,-9835000.0,-1097000.0,3904000.0,-9835000.0,-7028000.0,-16493000.0,-16493000.0,2684000.0,-10037000.0,-119000.0,-824000.0,,14060000.0,
aTyr Pharma Inc,LIFE,,1339970,2015.0,Q3YTD,2015-01-01,2015-09-30,2016-11-14 15:41:47+00:00,717000.0,,643000.0,-693000.0,77779000.0,,75648000.0,149014000.0,-75898000.0,-26962000.0,149014000.0,-75898000.0,-26962000.0,46154000.0,-31480000.0,-31480000.0,3851000.0,-99408000.0,-545000.0,-4413000.0,,24055000.0,
aTyr Pharma Inc,LIFE,,1339970,2015.0,Q3TTM,2014-10-01,2015-09-30,,862000.0,415000.0,852000.0,-1567000.0,77779000.0,,75648000.0,147229000.0,-73148000.0,-32763000.0,147229000.0,-73148000.0,-32763000.0,41318000.0,-37518000.0,-37518000.0,4608000.0,-99408000.0,-545000.0,-5199000.0,-999000.0,26805000.0,
aTyr Pharma Inc,LIFE,,1339970,2015.0,Q3,2015-07-01,2015-09-30,,357000.0,,224000.0,231000.0,,,31000.0,-784000.0,7238000.0,-9467000.0,-784000.0,7238000.0,-9467000.0,-3013000.0,-11329000.0,-11329000.0,1050000.0,-14481000.0,-382000.0,-815000.0,,22101000.0,
aTyr Pharma Inc,LIFE,,1339970,2015.0,Q2YTD,2015-01-01,2015-06-30,2016-08-10 16:19:23+00:00,360000.0,,419000.0,-924000.0,77779000.0,,75617000.0,149798000.0,-83136000.0,-17495000.0,149798000.0,-83136000.0,-17495000.0,49167000.0,-20151000.0,-20151000.0,2801000.0,-84927000.0,-163000.0,-3598000.0,,1954000.0,
aTyr Pharma Inc,LIFE,,1339970,2015.0,Q2TTM,2014-07-01,2015-06-30,,659000.0,415000.0,837000.0,-1909000.0,77781000.0,,75617000.0,147240000.0,-79736000.0,-29074000.0,147240000.0,-79736000.0,-29074000.0,38430000.0,-32820000.0,-32820000.0,4159000.0,-84927000.0,-163000.0,-5159000.0,-999000.0,5354000.0,
aTyr Pharma Inc,LIFE,,1339970,2015.0,Q2,2015-04-01,2015-06-30,,228000.0,,210000.0,-1431000.0,77710000.0,,29318000.0,104726000.0,-84963000.0,-11209000.0,104726000.0,-84963000.0,-11209000.0,8554000.0,-11080000.0,-11080000.0,864000.0,-84927000.0,-40000.0,-2803000.0,501000.0,4000.0,
aTyr Pharma Inc,LIFE,,1339970,2015.0,Q1,2015-01-01,2015-03-31,2016-05-11 16:11:28+00:00,132000.0,,209000.0,507000.0,69000.0,,46299000.0,45072000.0,1827000.0,-6286000.0,45072000.0,1827000.0,-6286000.0,40613000.0,-9071000.0,-9071000.0,1937000.0,,-123000.0,-795000.0,-501000.0,1950000.0,
aTyr Pharma Inc,LIFE,,1339970,2015.0,Q1TTM,2014-04-01,2015-03-31,,528000.0,415000.0,835000.0,-316000.0,128000.0,5000000.0,46299000.0,47571000.0,5189000.0,-22765000.0,47571000.0,5189000.0,-22765000.0,29995000.0,-27328000.0,-27328000.0,3516000.0,,-161000.0,-2356000.0,-1500000.0,5350000.0,
aTyr Pharma Inc,LIFE,,1339970,2016.0,FY,2016-01-01,2016-12-31,2019-03-26 17:28:49+00:00,531000.0,225000.0,900000.0,-1668000.0,163000.0,9736000.0,,4697000.0,33527000.0,-52861000.0,4697000.0,33527000.0,-52861000.0,-14637000.0,-57855000.0,-57855000.0,5231000.0,-28089000.0,-600000.0,-5202000.0,,62216000.0,
