company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
Pfizer Inc,PFE,765LHXWGK1KXCLTFYQ30,78003,2007.0,FY,2007-01-01,2007-12-31,2010-02-26 13:43:14+00:00,-464000000.0,5617000000.0,643000000.0,5200000000.0,,41000000.0,-3588000000.0,6187000000.0,-12610000000.0,795000000.0,13353000000.0,-12610000000.0,795000000.0,13353000000.0,1579000000.0,8186000000.0,8186000000.0,3555000000.0,,-260000000.0,,-7975000000.0,-27061000000.0,-1880000000.0,-828000000.0,-9994000000.0,30460000000.0
Pfizer Inc,PFE,765LHXWGK1KXCLTFYQ30,78003,2008.0,Q4,2008-09-29,2008-12-31,,-222000000.0,545000000.0,241000000.0,1178000000.0,,-83000000.0,4541000000.0,9117000000.0,-2253000000.0,-2780000000.0,5973000000.0,-2253000000.0,-2780000000.0,5973000000.0,857000000.0,271000000.0,271000000.0,-17000000.0,,-292000000.0,,-2132000000.0,-17401000000.0,-389000000.0,-9238000000.0,,15524000000.0
Pfizer Inc,PFE,765LHXWGK1KXCLTFYQ30,78003,2008.0,FY,2008-01-01,2008-12-31,2011-02-28 10:00:55+00:00,-1184000000.0,2252000000.0,782000000.0,5090000000.0,,-127000000.0,3577000000.0,40798000000.0,-6560000000.0,-12835000000.0,18238000000.0,-6560000000.0,-12835000000.0,18238000000.0,-1284000000.0,8127000000.0,8127000000.0,1444000000.0,,-1693000000.0,,-8541000000.0,-45062000000.0,-1701000000.0,-38317000000.0,-500000000.0,36805000000.0
Pfizer Inc,PFE,765LHXWGK1KXCLTFYQ30,78003,2008.0,Q3,2008-06-30,2008-09-28,,,651000000.0,95000000.0,1196000000.0,,-22000000.0,228000000.0,14769000000.0,-2378000000.0,-1107000000.0,3952000000.0,-2378000000.0,-1107000000.0,3952000000.0,445000000.0,2284000000.0,2284000000.0,244000000.0,-33000000.0,-1150000000.0,,-2132000000.0,-7699000000.0,-444000000.0,-14982000000.0,,8186000000.0
Pfizer Inc,PFE,765LHXWGK1KXCLTFYQ30,78003,2008.0,Q3YTD,2008-01-01,2008-09-28,2009-11-05 17:15:33+00:00,-962000000.0,1707000000.0,541000000.0,3912000000.0,,-44000000.0,-964000000.0,31681000000.0,-4307000000.0,-10055000000.0,12265000000.0,-4307000000.0,-10055000000.0,12265000000.0,-2141000000.0,7856000000.0,7856000000.0,1461000000.0,,-1401000000.0,,-6409000000.0,-27661000000.0,-1312000000.0,-29079000000.0,-500000000.0,21281000000.0
Pfizer Inc,PFE,765LHXWGK1KXCLTFYQ30,78003,2008.0,Q2YTD,2008-01-01,2008-06-29,2009-08-06 17:20:32+00:00,-962000000.0,1056000000.0,446000000.0,2716000000.0,,-22000000.0,-1192000000.0,16912000000.0,-1929000000.0,-8948000000.0,8313000000.0,-1929000000.0,-8948000000.0,8313000000.0,-2586000000.0,5572000000.0,5572000000.0,1217000000.0,33000000.0,-251000000.0,,-4277000000.0,-19962000000.0,-868000000.0,-14097000000.0,-500000000.0,13095000000.0
Pfizer Inc,PFE,765LHXWGK1KXCLTFYQ30,78003,2009.0,Q4,2009-09-28,2009-12-31,,-43123000000.0,552000000.0,212000000.0,0.0,,20000000.0,0.0,3586000000.0,-2734000000.0,-4367000000.0,4825000000.0,-2734000000.0,-4367000000.0,4825000000.0,-2256000000.0,766000000.0,766000000.0,4059000000.0,,124000000.0,,-1280000000.0,20982000000.0,-422000000.0,-5040000000.0,,18072000000.0
Pfizer Inc,PFE,765LHXWGK1KXCLTFYQ30,78003,2009.0,FY,2009-01-01,2009-12-31,2012-02-28 17:07:08+00:00,-43123000000.0,2300000000.0,935000000.0,4757000000.0,,60000000.0,2405000000.0,56056000000.0,14481000000.0,-31272000000.0,16617000000.0,14481000000.0,-31272000000.0,16587000000.0,-144000000.0,8643000000.0,8643000000.0,812000000.0,,632000000.0,,-5548000000.0,-42219000000.0,-1205000000.0,-36027000000.0,,54643000000.0
Pfizer Inc,PFE,765LHXWGK1KXCLTFYQ30,78003,2009.0,Q3TTM,2008-09-29,2009-09-27,,-222000000.0,2293000000.0,964000000.0,4161000000.0,,-43000000.0,4822000000.0,61587000000.0,14962000000.0,-29685000000.0,17735000000.0,14962000000.0,-29685000000.0,17735000000.0,2969000000.0,8148000000.0,8148000000.0,604000000.0,,216000000.0,,-6400000000.0,-80602000000.0,-1172000000.0,-40225000000.0,,52095000000.0
Pfizer Inc,PFE,765LHXWGK1KXCLTFYQ30,78003,2009.0,Q3,2009-06-29,2009-09-27,,,639000000.0,424000000.0,969000000.0,,15000000.0,-203000000.0,6720000000.0,-1828000000.0,-298000000.0,4101000000.0,-1828000000.0,-298000000.0,4101000000.0,1990000000.0,2881000000.0,2881000000.0,454000000.0,,162000000.0,,-1068000000.0,-19035000000.0,-261000000.0,-7480000000.0,,18836000000.0
